"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00073142","2006","-34.6299","148.0364","335.0","COOTAMUNDRA AIRPORT, AS","    633.4","","     633.4","a","        46","a","        23","a","         1","a","         0","a","        91","a","         0","a","       208","a","        66","a","   -6.5","a,0530, ","  28.4"," ,a,0611, ","   43.2","a,0101, ","-0.6","a,0402","-2.5","a,0417","-4.5","a,0521","","","-1.5","a,1029","-6.0","a,0926","-6.0","a,0926","","","    1807.2","2","    1807.2","a","    243.4"," ,a","     15.38","a","     23.74","a","      7.03","a"
"ASN00073142","2007","-34.6299","148.0364","335.0","COOTAMUNDRA AIRPORT, AS","    727.4","","     727.4","a","        91","a","        50","a","         5","a","         0","a","        49","a","         0","a","       213","a","        51","a","   -5.4","a,0623, ","  42.4"," ,a,1130, ","   41.5","a,0112, ","-1.0","a,0531","-4.0","a,0614","-5.4","a,0623","","","-2.4","a,1017","-2.4","a,1017","","","","","    1605.4","4","    1605.4","a","    565.6"," ,a","     15.91","a","     22.91","a","      8.90","a"
"ASN00073142","2008","-34.6299","148.0364","335.0","COOTAMUNDRA AIRPORT, AS","    576.9","","     576.9","a","        84","a","        42","a","         1","a","         0","a","        54","a","         0","a","       192","a","        32","a","   -4.6","a,0825, ","  31.0"," ,a,1213, ","   38.0","a,0112, ","-0.5","a,0430","-3.5","a,0723","","","","","-1.9","a,1023","-3.5","a,0917","-4.6","a,0825","","","    1760.4","4","    1760.4","a","    445.0"," ,a","     14.93","a","     22.01","a","      7.85","a"
"ASN00073142","2009","-34.6299","148.0364","335.0","COOTAMUNDRA AIRPORT, AS","    613.8","","     613.8","a","        91","a","        51","a","         2","a","         0","a","        38","a","         0","a","       188","a","        65","a","   -5.0","a,0809, ","  35.6"," ,a,0414, ","   42.0","a,0208,+","0.0","a,0528","-2.5","a,0611","","","","","0.0","a,1009","-2.5","a,1008","-5.0","a,0809","","","    1636.2","2","    1636.2","a","    499.4"," ,a","     16.00","a","     23.15","a","      8.85","a"
"ASN00073142","2010","-34.6299","148.0364","335.0","COOTAMUNDRA AIRPORT, AS","    665.9","","     665.9","a","       103","a","        66","a","        12","a","         0","a","        51","a","         0","a","       176","a","        29","a","   -5.0","a,0613, ","  84.0"," ,a,0214, ","   40.2","a,0112, ","-1.0","a,0513","-5.0","a,0613","-5.0","a,0613","","","-2.0","a,0930","-2.2","a,0829","","","","","    1785.8","8","    1785.8","a","   1056.0"," ,a","     14.84","a","     21.55","a","      8.13","a"
"ASN00073142","2011","-34.6299","148.0364","335.0","COOTAMUNDRA AIRPORT, AS","    461.1","","     461.1","a","       110","a","        56","a","         6","a","         0","a","        63","a","         0","a","       186","a","        22","a","   -5.0","a,0611, ","  63.4"," ,a,1126, ","   39.0","a,0126, ","-2.8","a,0507","-2.8","a,0507","-5.0","a,0611","","","-0.6","a,1017","-3.0","a,0914","","","","","    1827.2","2","    1827.2","a","    715.9"," ,a","     14.63","a","     21.67","a","      7.60","a"
"ASN00073142","2012","-34.6299","148.0364","335.0","COOTAMUNDRA AIRPORT, AS","    340.8","","     340.8","a","        89","a","        59","a","         7","a","         0","a","        80","a","         0","a","       186","a","        23","a","   -5.4","a,0901, ","  84.0"," ,a,0229, ","   38.0","a,1230, ","-0.5","a,0410","-3.5","a,0514","-5.3","a,0609","","","0.0","a,1010","-2.4","a,0925","-5.4","a,0901","","","    1982.7","7","    1982.7","a","    771.0"," ,a","     14.03","a","     21.64","a","      6.42","a"
"ASN00073142","2013","-34.6299","148.0364","335.0","COOTAMUNDRA AIRPORT, AS","    598.6","","     598.6","a","        75","a","        41","a","         2","a","         0","a","        54","a","         0","a","       205","a","        50","a","   -4.2","a,0709, ","  37.8"," ,a,0602, ","   42.0","a,0105, ","-0.3","a,0425","-3.0","a,0620","","","","","-0.5","a,1027","-3.0","a,1018","","","","","    1704.1","1","    1704.1","a","    373.8"," ,a","     15.35","a","     23.18","a","      7.52","a"
"ASN00073142","2014","-34.6299","148.0364","335.0","COOTAMUNDRA AIRPORT, AS","    587.7","","     587.7","a","        83","a","        55","a","         3","a","         0","a","        52","a","         0","a","       198","a","        46","a","   -5.5","a,0803, ","  47.0"," ,a,0219, ","   41.4","a,0116, ","0.0","a,0222","-5.0","a,0713","-5.0","a,0713","","","-1.4","a,1103","-3.0","a,0920","-5.4","a,0812","","","    1688.8","8","    1688.8","a","    645.1"," ,a","     15.46","a","     22.99","a","      7.93","a"
"ASN00073142","2015","-34.6299","148.0364","335.0","COOTAMUNDRA AIRPORT, AS","    548.6","","     548.6","a","        95","a","        61","a","         2","a","         0","a","        57","a","         0","a","       207","a","        39","a","   -5.5","a,0604, ","  29.4"," ,a,0825, ","   39.0","a,1220, ","-0.2","a,0428","-2.5","a,0515","-4.7","a,0602","","","-1.0","a,1028","-2.4","a,0924","","","","","    1746.2","2","    1746.2","a","    563.8"," ,a","     15.09","a","     22.39","a","      7.79","a"
"ASN00073142","2016","-34.6299","148.0364","335.0","COOTAMUNDRA AIRPORT, AS","    656.1","","     656.1","a","       116","a","        83","a","         8","a","         0","a","        29","a","         0","a","       184","a","        63","a","   -3.3","a,0812,+","  39.1"," ,a,0903, ","   43.0","a,0225, ","0.0","a,0525","-3.2","a,0613","","","","","0.0","a,0829","-2.6","a,0827","","","","","    1618.8","8","    1618.8","a","    947.2"," ,a","     15.61","a","     22.29","a","      8.92","a"
"ASN00073142","2017","-34.6299","148.0364","335.0","COOTAMUNDRA AIRPORT, AS","    628.6","","     628.6","a","        94","a","        48","a","         4","a","         0","a","        75","a","         0","a","       197","a","        49","a","   -7.8","a,0702, ","  39.5"," ,a,1202, ","   42.5","a,0210, ","0.0","a,0428","-2.9","a,0508","-5.0","a,0602","-7.1","a,0701","0.0","a,1003","-3.5","a,0920","-5.2","a,0918","","","    1832.4","4","    1832.4","a","    571.2"," ,a","     15.13","a","     22.80","a","      7.46","a"
"ASN00073142","2018","-34.6299","148.0364","335.0","COOTAMUNDRA AIRPORT, AS","    666.5","","     666.5","a","        70","a","        43","a","         2","a","         0","a","        67","a","         0","a","       210","a","        50","a","   -7.0","a,0830, ","  38.0"," ,a,1213, ","   42.1","a,0107, ","0.0","a,0507","-4.2","a,0601","-5.0","a,0625","","","-0.5","a,1001","-2.8","a,0921","-4.6","a,0917","-7.0","a,0830","    1643.6","6","    1643.6","a","    417.1"," ,a","     15.67","a","     23.40","a","      7.93","a"
"ASN00073142","2019","-34.6299","148.0364","335.0","COOTAMUNDRA AIRPORT, AS","    800.3","","     800.3","a","        69","a","        39","a","         1","a","         0","a","        60","a","         0","a","       206","a","        64","a","   -4.8","a,0623, ","  45.1"," ,a,0330, ","   43.6","a,0117, ","-1.5","a,0515","-2.5","a,0516","-4.8","a,0623","","","-0.5","a,1020","-2.8","a,0927","-4.7","a,0823","","","    1688.1","1","    1688.1","a","    382.7"," ,a","     15.88","a","     23.46","a","      8.30","a"
"ASN00073142","2020","-34.6299","148.0364","335.0","COOTAMUNDRA AIRPORT, AS","","","","","       102","a","        64","a","         4","a","","","","","         0","a","       185","a","        39","a","","","  51.0"," ,a,0305, ","   45.0","a,0104, ","","","","","","","","","","","","","","","","","","","","","    748.7"," ,a","","","     22.00","a","",""
"ASN00073142","2021","-34.6299","148.0364","335.0","COOTAMUNDRA AIRPORT, AS","","","","","       115","a","        76","a","         7","a","         0","a","        56","a","         0","a","       169","a","        19","a","   -5.5","a,0529, ","  52.4"," ,a,0129, ","   39.0","a,0125,+","-0.3","a,0413","-3.3","a,0516","-5.5","a,0529","","","-0.2","a,1031","-3.2","a,0802","","","","","    1834.0","0","    1834.0","a","    933.4"," ,a","     14.10","a","     20.90","a","      7.30","a"
"ASN00073142","2022","-34.6299","148.0364","335.0","COOTAMUNDRA AIRPORT, AS","    415.2","","     415.2","a","       131","a","        70","a","         9","a","         0","a","        26","a","         0","a","       163","a","        14","a","   -5.2","a,0715, ","  97.3"," ,a,0107, ","   35.2","a,0102, ","-0.1","a,0506","-2.3","a,0615","-5.2","a,0715","","","-0.5","a,0920","","","","","","","    1658.3","3","    1658.3","a","   1008.9"," ,a","     14.84","a","     20.78","a","      8.90","a"
"ASN00073142","2023","-34.6299","148.0364","335.0","COOTAMUNDRA AIRPORT, AS","    375.6","","     375.6","a","        96","a","        50","a","         5","a","         0","a","        52","a","         0","a","       197","a","        36","a","   -4.5","a,0720, ","  58.2"," ,a,1129, ","   38.6","a,1209, ","-0.6","a,0505","-3.1","a,0519","-4.5","a,0720","","","-1.3","a,1101","-2.8","a,0910","","","","","    1655.9","9","    1655.9","a","    571.3"," ,a","     15.15","a","     22.51","a","      7.79","a"
"ASN00073142","2024","-34.6299","148.0364","335.0","COOTAMUNDRA AIRPORT, AS","","","","","        78","a","        50","a","         6","a","","","","","         0","a","       206","a","        50","a","","","  43.2"," ,a,0109, ","   38.0","a,1216, ","","","","","","","","","","","","","","","","","","","","","    633.3"," ,a","","","     23.05","a","",""
