"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00040705","1957","38.55","-122.23333","139.9","BERRYESSA LAKE, CA US","","","","","","","","","","","","","","","","","","","","","","","","","        22"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00040705","1958","38.55","-122.23333","139.9","BERRYESSA LAKE, CA US","","","","","        68","0","        44","0","         5","0","        0","","         0","0","","","","","","","","","","","        17"," ","         2"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  52.1"," ,0,0224, ","","","","","","","","","","","","","","","","","","","","","    721.6"," ,0","        0"," ,0","","","","","","","",""
"USC00040705","1959","38.55","-122.23333","139.9","BERRYESSA LAKE, CA US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","","","","","",""
"USC00040705","1960","38.55","-122.23333","139.9","BERRYESSA LAKE, CA US","    835.4","","     835.4","0","        64","0","        39","0","         5","0","        0","","         0","0","         0","0","         7","0","         0","0","       207","0","        84","0","","","","","   -3.3","0,0103,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  43.2"," ,0,1201, ","   43.3","0,0721,+","","","","","","","0.0","0,0424","-3.3","0,0103","    1327.6","6","    1327.6","0","","","","","    538.4"," ,0","        0"," ,0","     16.77","0","     23.87","0","      9.68","0","     36529","0"
"USC00040705","1961","38.55","-122.23333","139.9","BERRYESSA LAKE, CA US","    802.5","","     802.5","0","        64","0","        31","0","         5","0","        0","","         0","0","         0","0","        13","0","         0","0","       207","0","        85","0","","","","","   -1.7","0,0103, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  41.7"," ,0,0126, ","   44.4","0,0712,+","","","-1.1","0,1130","","","0.0","0,0315","","","    1416.1","1","    1416.1","0","","","","","    416.9"," ,0","        0"," ,0","     16.50","0","     23.76","0","      9.24","0","     31677","0"
"USC00040705","1962","38.55","-122.23333","139.9","BERRYESSA LAKE, CA US","    666.1","","     666.1","0","        46","0","        30","0","         8","0","        0","","         0","0","         0","0","        16","0","         0","0","       215","0","        81","0","","","","","   -2.2","0,0115, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  84.6"," ,0,1012, ","   40.6","0,0815, ","    1921.4","0","0.0","0,1225","","","-0.6","0,0226","-2.2","0,0115","    1455.8","8","    1455.8","0","","","","","    615.9"," ,0","        0"," ,0","     16.47","0","     23.79","0","      9.14","0","     34107","0"
"USC00040705","1963","38.55","-122.23333","139.9","BERRYESSA LAKE, CA US","    579.1","","     579.1","0","        74","0","        48","0","         5","0","        0","","         0","0","         0","0","        11","0","         0","0","       185","0","        60","0","","","","","   -1.7","0,0121,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  71.1"," ,0,0131, ","   38.3","0,0904, ","    1657.2","0","0.0","0,1213","","","0.0","0,0316","","","    1431.4","4","    1431.4","0","","","","","    685.5"," ,0","        0"," ,0","     15.58","0","     22.11","0","      9.04","0","",""
"USC00040705","1964","38.55","-122.23333","139.9","BERRYESSA LAKE, CA US","    672.9","","     672.9","0","        65","0","        39","0","         7","0","        0","","         0","0","         0","0","         2","0","         0","0","       196","0","        67","0","","","","","    0.0","0,0121,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  53.8"," ,0,1223, ","   41.1","0,0712, ","","","","","","","0.0","0,0121","","","    1558.7","7","    1558.7","0","     10.13","0","     23.54","0","    598.2"," ,0","        0"," ,0","     16.06","0","     23.04","0","      9.07","0","     38528","0"
"USC00040705","1965","38.55","-122.23333","139.9","BERRYESSA LAKE, CA US","    547.3","","     547.3","0","        61","0","        34","0","         8","0","        0","","         0","0","         0","0","        10","0","         0","0","       191","0","        52","0","","","","","   -1.7","0,1220,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  60.2"," ,0,0106, ","   37.8","0,0716, ","    1822.7","0","-1.1","0,1215","","","0.0","0,0109","","","    1492.6","6","    1492.6","0","      9.89","0","     23.35","0","    597.6"," ,0","        0"," ,0","     15.61","0","     22.37","0","      8.85","0","",""
"USC00040705","1966","38.55","-122.23333","139.9","BERRYESSA LAKE, CA US","    730.0","","     730.0","0","        62","0","        31","0","         7","0","        0","","         0","0","         0","0","        18","0","         0","0","       214","0","        69","0","","","","","   -2.2","0,0303, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  53.6"," ,0,1120, ","   40.6","0,0808,+","    2083.3","0","-0.6","0,1123","","","0.0","0,0304","-2.2","0,0303","    1452.5","5","    1452.5","0","      9.81","0","     23.00","0","    528.1"," ,0","        0"," ,0","     16.34","0","     23.30","0","      9.39","0","",""
