"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00396170","1961","44.44192","-100.41711","506.9","OAHE DAM, SD US","    600.6","","     600.6","0","        51","0","        28","0","         2","0","","","","","        21","0","       171","0","        48","0","       138","0","        55","0","","","  -29.4","0,0124, ","","","","","  50.8"," ,0,0517, ","   41.1","0,0704, ","0.0","0,0930","-2.2","0,1019","-7.8","0,1025","-7.8","0,1025","-10.0","0,1117","-2.2","0,0501","-2.2","0,0501","-6.7","0,0416","-6.7","0,0416","-9.4","0,0309","    3874.7","7","    3874.7","0","    346.6"," ,0","","","      8.73","0","     15.68","0","      1.79","0"
"USC00396170","1962","44.44192","-100.41711","506.9","OAHE DAM, SD US","","","","","        65","0","        49","0","         3","0","","","","","        32","0","       156","0","        58","0","       151","0","        26","0","","","  -30.6","0,0228, ","","","","","  33.8"," ,0,0516, ","   41.1","0,0828, ","-8.3","0,1025","-8.3","0,1025","-8.3","0,1025","-8.3","0,1025","-23.9","0,1211","-1.1","0,0501","-2.2","0,0416","-6.1","0,0415","-7.8","0,0408","-15.0","0,0318","","","","","    500.9"," ,0","","","      7.99","0","     14.74","0","      1.25","0"
"USC00396170","1963","44.44192","-100.41711","506.9","OAHE DAM, SD US","    634.7","","     634.7","0","        67","0","        44","0","         1","0","       52","","        11","0","        36","0","       145","0","        53","0","       171","0","        43","0","","","  -31.1","0,0120,+","   127"," ,0,0402, ","   127"," ,0,0402, ","  29.7"," ,0,0530, ","   42.8","0,0630, ","-0.6","0,1028","-8.9","0,1113","-8.9","0,1113","-8.9","0,1113","-8.9","0,1113","-1.7","0,0522","-3.9","0,0430","-5.0","0,0404","-10.6","0,0318","-10.6","0,0318","    3671.2","2","    3671.2","0","    406.2"," ,0","      620"," ,0","      9.60","0","     16.64","0","      2.56","0"
"USC00396170","1964","44.44192","-100.41711","506.9","OAHE DAM, SD US","    517.6","","     517.6","0","        53","0","        27","0","         5","0","","","        12","0","        23","0","       165","0","        51","0","       149","0","        44","0","","","  -28.3","0,1217, ","","","   102"," ,0,1225,+","  61.2"," ,0,0427, ","   41.7","0,0802,+","-1.7","0,0927","-2.8","0,1006","-4.4","0,1009","-6.7","0,1114","-10.0","0,1116","-1.1","0,0418","-8.3","0,0408","-8.3","0,0408","-8.3","0,0408","-15.0","0,0330","    3631.1","1","    3631.1","0","    433.5"," ,0","      586"," ,0","      8.52","0","     15.76","0","      1.29","0"
"USC00396170","1965","44.44192","-100.41711","506.9","OAHE DAM, SD US","    455.9","","     455.9","0","        64","0","        38","0","         1","0","       66","","        10","0","        38","0","       161","0","        61","0","       137","0","        28","0","","","  -27.2","0,0224, ","   229"," ,0,0329,+","   203"," ,0,0328, ","  29.5"," ,0,0424, ","   43.3","0,0814, ","-2.8","0,0924","-2.8","0,0924","-4.4","0,1109","-8.9","0,1113","-8.9","0,1113","0.0","0,0528","-6.7","0,0331","-6.7","0,0331","-6.7","0,0331","-15.6","0,0330","    4492.7","7","    4492.7","0","    327.2"," ,0","      591"," ,0","      7.62","0","     14.31","0","      0.94","0"
"USC00396170","1966","44.44192","-100.41711","506.9","OAHE DAM, SD US","    567.0","","     567.0","0","        63","0","        36","0","         2","0","       63","","         9","0","        35","0","       173","0","        74","0","       139","0","        51","0","","","  -32.8","0,0129, ","   178"," ,0,0307,+","   152"," ,0,0209, ","  43.7"," ,0,0713, ","   44.4","0,0711, ","0.0","0,1015","-2.2","0,1029","-11.7","0,1102","-11.7","0,1102","-11.7","0,1102","0.0","0,0513","-7.2","0,0430","-7.2","0,0430","-7.2","0,0430","-11.7","0,0420","    4315.2","2","    4315.2","0","    361.9"," ,0","      697"," ,0","      7.47","0","     14.19","0","      0.75","0"
"USC00396170","1967","44.44192","-100.41711","506.9","OAHE DAM, SD US","    372.0","","     372.0","0","        56","0","        26","0","         1","0","","","","","        23","0","       165","0","        60","0","       125","0","        38","0","","","  -28.9","0,1231, ","","","","","  54.1"," ,0,0619, ","   41.1","0,0825, ","-0.6","0,0928","-3.9","0,1028","-5.6","0,1104","-10.0","0,1105","-10.0","0,1105","0.0","0,0507","-2.2","0,0506","-4.4","0,0505","-11.7","0,0402","-11.7","0,0402","    4249.8","8","    4249.8","0","    313.2"," ,0","","","      7.73","0","     14.21","0","      1.24","0"
"USC00396170","1968","44.44192","-100.41711","506.9","OAHE DAM, SD US","    337.1","","     337.1","0","        63","0","        37","0","         5","0","","","","","        24","0","       154","0","        68","0","       135","0","        24","0","","","  -28.9","0,0101, ","","","","","  40.6"," ,0,0609, ","   40.0","0,0716, ","0.0","0,1011","-2.2","0,1106","-5.0","0,1107","-6.7","0,1109","-14.4","0,1205","-1.1","0,0425","-2.8","0,0415","-8.3","0,0406","-8.3","0,0406","-8.9","0,0405","    4114.5","5","    4114.5","0","    434.1"," ,0","","","      7.62","0","     13.96","0","      1.27","0"
"USC00396170","1969","44.44192","-100.41711","506.9","OAHE DAM, SD US","    449.9","","     449.9","0","        57","0","        29","0","         3","0","","","","","        26","0","       167","0","        83","0","       140","0","        37","0","","","  -26.7","0,0126, ","","","","","  61.0"," ,0,0717, ","   41.1","0,0812, ","-0.6","0,1008","-3.9","0,1014","-5.0","0,1015","-6.7","0,1112","-11.1","0,1127","0.0","0,0429","-3.3","0,0401","-12.2","0,0331","-12.2","0,0331","-12.2","0,0331","    4443.8","8","    4443.8","0","    336.5"," ,0","","","      7.43","0","     13.60","0","      1.26","0"
"USC00396170","1970","44.44192","-100.41711","506.9","OAHE DAM, SD US","    511.9","","     511.9","0","        73","0","        38","0","         2","0","","","","","        36","0","       174","0","        64","0","       138","0","        53","0","","","  -32.8","0,0120,+","","","","","  40.9"," ,0,0807, ","   41.1","0,0827, ","0.0","0,1009","-2.8","0,1010","-5.0","0,1105","-7.2","0,1115","-11.1","0,1122","0.0","0,0424","-2.2","0,0421","-6.7","0,0405","-6.7","0,0405","-10.0","0,0402","    4241.7","7","    4241.7","0","    413.2"," ,0","","","      7.17","0","     13.57","0","      0.77","0"
