"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00024257","1986","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","        28"," ","        11"," ","         4"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00024257","1987","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       3.4","X","   1120.4","","    1120.4","0","        71","0","        52","0","        12","0","        0","","         1","0","         0","0","        34","0","         0","0","       220","0","       113","0","        72"," ","        12"," ","         3"," ","   -3.9","0,1227,+","     0"," ,0,1231,+","    46"," ,0,0321, ","  47.8"," ,0,1209, ","   45.6","0,0714, ","-1.1","0,1127","-2.2","0,1129","","","","","","","-1.7","0,0322","-2.2","0,0226","","","","","","","","","","","    823.8"," ,0","       59"," ,0","     17.28","0","     24.95","0","      9.62","0","   228193","X","","","","","","","       180","X","","","","","","","      25.7","X"
"USW00024257","1988","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       3.4","X","   1186.6","","    1186.6","0","        78","0","        50","0","         8","0","        8","","         3","0","         0","0","        29","0","         0","0","       232","0","       109","0","        70"," ","        10"," ","        10"," ","   -6.7","0,1228, ","   178"," ,0,1224, ","   254"," ,0,1224, ","  79.8"," ,0,1122, ","   47.8","0,0720, ","-0.6","0,1201","-2.2","0,1217","-5.0","0,1227","-6.7","0,1228","","","-0.6","0,0313","-3.3","0,0205","","","","","","","    1433.8","8","    1433.8","0","    783.4"," ,0","      432"," ,0","     17.59","0","     25.34","0","      9.84","0","   234401","X","       170","X","","","","","       180","X","      18.3","X","","","","","      26.7","X"
"USW00024257","1989","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       3.2","X","    882.9","","     882.9","0","        67","0","        51","0","         5","0","        5","","         2","0","         0","0","        54","0","         0","0","       215","0","        98","0","        77"," ","        18"," ","        13"," ","   -6.1","0,0205, ","    76"," ,0,0101, ","    51"," ,0,0105, ","  66.3"," ,0,0917, ","   42.2","0,0719,+","-2.2","0,1128","-2.2","0,1128","-4.4","0,1212","","","","","-2.2","0,0303","-2.2","0,0303","-6.1","0,0205","","","","","    1580.4","4","    1580.4","0","    751.4"," ,0","       81"," ,0","     16.37","0","     24.07","0","      8.67","0","   240943","X","       170","X","","","","","       180","X","      22.8","X","","","","","      29.3","X"
"USW00024257","1990","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       3.0","X","   1022.0","","    1022.0","0","        62","0","        41","0","         8","0","        0","","         2","0","         0","0","        68","0","         1","0","       230","0","        89","0","        61"," ","         9"," ","        19"," ","   -8.3","0,1221, ","     0","T,0,0524, ","    38"," ,0,0523, "," 100.6"," ,0,0107, ","   46.1","0,0806, ","-1.7","0,1120","-2.2","0,1124","-4.4","0,1219","-8.3","0,1221","","","-2.2","0,0313","-2.2","0,0313","","","","","","","    1489.3","3","    1489.3","0","    629.2"," ,0","       74"," ,0","     16.77","0","     24.54","0","      9.01","0","   242712","X","       170","X","","","","","       180","X","      17.9","X","","","","","      26.2","X"
"USW00024257","1991","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       3.1","X","   1103.1","","    1103.1","0","        68","0","        42","0","         8","0","        0","","         0","0","         0","0","        36","0","         0","0","       213","0","       116","0","        61"," ","        17"," ","        10"," ","   -7.2","0,0101, ","     0"," ,0,1231,+","     0","T,0,0106, ","  50.8"," ,0,0202, ","   46.1","0,0703, ","-0.6","0,1116","-2.2","0,1204","","","","","","","0.0","0,0327","-4.4","0,0130","-4.4","0,0130","-6.7","0,0104","","","    1677.9","9","    1677.9","0","    648.2"," ,0","        0","T,0","     17.06","0","     24.92","0","      9.20","0","   240635","X","       170","X","","","","","       180","X","      20.6","X","","","","","      29.8","X"
"USW00024257","1992","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       3.1","X","   1133.8","","    1133.8","0","        83","0","        55","0","        10","0","        0","","         0","0","         0","0","        31","0","         0","0","       225","0","       116","0","        78"," ","        24"," ","        14"," ","   -4.4","0,1205, ","     0"," ,0,1231,+","     0","T,0,1230,+","  98.6"," ,0,1029, ","   43.3","0,0811,+","-1.1","0,1111","-4.4","0,1205","-4.4","0,1205","","","","","0.0","0,0205","-2.2","0,0121","","","","","","","    1356.6","6","    1356.6","0","    959.1"," ,0","        0","T,0","     17.53","0","     24.91","0","     10.15","0","   243176","X","       170","X","","","","","       180","X","      19.7","X","","","","","      28.3","X"
"USW00024257","1993","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       3.1","X","    895.9","","     895.9","0","        93","0","        62","0","        12","0","        0","","         0","0","         0","0","        40","0","         0","0","       205","0","        92","0","        77"," ","        12"," ","        23"," ","   -5.0","0,1123, ","     0"," ,0,1231,+","     8"," ,0,0104, ","  90.7"," ,0,0531, ","   45.0","0,0801, ","0.0","0,1115","-3.3","0,1120","-5.0","0,1123","","","","","-1.1","0,0228","-3.3","0,0112","","","","","","","    1601.4","4","    1601.4","0","   1114.6"," ,0","       11"," ,0","     16.40","0","     23.37","0","      9.42","0","   242499","X","       170","X","","","","","       180","X","      20.6","X","","","","","      28.8","X"
"USW00024257","1994","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       2.9","X","    978.4","","     978.4","0","        73","0","        50","0","         4","0","        0","","         0","0","         0","0","        37","0","         0","0","       221","0","       104","0","        62"," ","        14"," ","        10"," ","   -4.4","0,1209,+","     0","T,0,0220, ","    20"," ,0,0220, ","  38.6"," ,0,0206, ","   42.8","0,0715,+","-2.2","0,1114","-2.2","0,1114","-4.4","0,1123","","","","","-1.7","0,0222","-2.8","0,0212","","","","","","","    1482.9","9","    1482.9","0","    652.4"," ,0","       23"," ,0","     16.45","0","     24.03","0","      8.87","0","   238357","X","       180","X","","","","","       180","X","      15.6","X","","","","","      24.2","X"
"USW00024257","1995","40.51462","-122.29773","152.6","REDDING AIRPORT, CA US","       3.1","X","    911.8","","     911.8","0","       100","0","        72","0","        19","0","        0","","         0","0","         0","0","        12","0","         0","0","       218","0","        91","0","        95"," ","        17"," ","        19"," ","   -2.8","0,0214, ","     0"," ,0,1231,+","     0","T,0,0408,+","  83.3"," ,0,0108, ","   42.8","0,0625, ","-1.7","0,1221","-2.2","0,1225","","","","","","","-1.7","0,0324","-2.2","0,0215","","","","","","","    1713.2","2","    1713.2","0","   1463.4"," ,0","        0","T,0","     17.00","0","     23.92","0","     10.08","0","   228689","X","       170","X","","","","","       180","X","      26.8","X","","","","","      38.0","X"
