"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00291153","1988","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    919.9","","     919.9","0","        41","0","        24","0","         2","0","","","         2","0","         0","0","        99","0","         1","0","       255","0","       104","0","  -11.7","0,0105, ","","","   132"," ,0,1208, ","  76.2"," ,0,0921, ","   39.4","0,0515, ","","","-2.8","0,1116","-2.8","0,1116","-5.0","0,1121","-7.2","0,1122","-10.6","0,1228","0.0","0,0402","-4.4","0,0319","-4.4","0,0319","-7.2","0,0314","-10.0","0,0125","","","","","    379.7"," ,0","      249"," ,0","     16.27","0","     25.11","0","      7.43","0"
"USC00291153","1989","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   1163.7","","    1163.7","0","        48","0","        15","0","         1","0","        1","","         1","0","         0","0","        89","0","         3","0","       254","0","       120","0","  -16.7","0,1223, ","    25"," ,0,0206, ","   127"," ,0,0321, ","  27.2"," ,0,0818, ","   43.3","0,0702, ","","","-2.2","0,1019","-2.2","0,1019","-6.1","0,1102","-14.4","0,1212","-14.4","0,1212","-2.8","0,0322","-2.8","0,0322","-6.7","0,0306","-6.7","0,0306","-8.9","0,0305","    1542.9","9","    1542.9","0","    174.7"," ,0","      140"," ,0","     16.81","0","     25.78","0","      7.85","0"
"USC00291153","1990","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","","","","","        58","0","        31","0","         2","0","        0","","         0","0","","","","","         1","0","       253","0","        88","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  32.8"," ,0,0712, ","   43.3","0,0625, ","","","","","","","","","","","","","","","","","","","","","","","    1737.8","8","    1737.8","0","    350.2"," ,0","        0"," ,0","","","     25.13","0","",""
"USC00291153","1991","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   1199.8","","    1199.8","0","        71","0","        42","0","         4","0","        0","","         0","0","         0","0","        72","0","         1","0","       247","0","       106","0","   -7.2","0,0123,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  39.4"," ,0,0725, ","   42.8","0,0618, ","","","-5.0","0,1031","-5.0","0,1031","-5.0","0,1031","","","","","-5.0","0,0331","-5.0","0,0331","-5.0","0,0331","-6.7","0,0201","","","","","","","    546.9"," ,0","        0"," ,0","     17.27","0","     25.15","0","      9.39","0"
"USC00291153","1992","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","","","","","","","","","","","        0","","         0","0","","","","","         0","0","       251","0","       112","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","   41.1","0,0706, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","     25.27","0","",""
"USC00291153","1993","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","","","","","","","","","","","        0","","         0","0","","","","","         1","0","       234","0","       107","0","","","     0","T,0,1114, ","     0"," ,0,1231,+","","","   40.0","0,0706, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","     25.03","0","",""
"USC00291153","1994","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   1247.2","","    1247.2","0","        46","0","        20","0","         2","0","        2","","         0","0","         0","0","        76","0","         1","0","       250","0","       112","0","  -11.7","0,0201, ","    25"," ,0,0131,+","     3"," ,0,0131,+","  76.2"," ,0,0510, ","   46.7","0,0627, ","","","0.0","0,1118","-4.4","0,1128","-4.4","0,1128","-6.7","0,1130","","","-1.1","0,0407","-2.2","0,0406","-5.0","0,0310","-8.3","0,0214","-8.9","0,0203","","","","","    251.2"," ,0","        6"," ,0","     17.49","0","     26.30","0","      8.68","0"
"USC00291153","1995","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   1150.5","","    1150.5","0","        39","0","        19","0","         2","0","        0","","         0","0","         0","0","        69","0","         0","0","       267","0","       116","0","   -6.7","0,1211, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  36.8"," ,0,0630, ","   43.3","0,0727,+","","","-1.1","0,1124","-2.8","0,1129","-6.1","0,1209","-6.7","0,1211","","","0.0","0,0423","-3.9","0,0308","-5.0","0,0125","","","","","    1368.6","6","    1368.6","0","    235.8"," ,0","        0"," ,0","     17.63","0","     26.15","0","      9.10","0"
"USC00291153","1996","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   1244.9","","    1244.9","0","        33","0","        22","0","         1","0","        0","","         0","0","         0","0","        93","0","         4","0","       266","0","       111","0","  -15.0","0,1218, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  32.0"," ,0,0829, ","   41.7","0,0621,+","","","-1.7","0,1023","-2.8","0,1109","-4.4","0,1125","-15.0","0,1218","-15.0","0,1218","-0.6","0,0327","-3.9","0,0326","-5.0","0,0310","-8.3","0,0309","-9.4","0,0307","    1368.1","1","    1368.1","0","    250.5"," ,0","        0"," ,0","     17.60","0","     26.54","0","      8.65","0"
"USC00291153","1997","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   1121.1","","    1121.1","0","        51","0","        37","0","         3","0","","","         3","0","         0","0","        85","0","         3","0","       237","0","       118","0","  -17.2","0,1227, ","","","   203"," ,0,1226, ","  49.5"," ,0,0627, ","   40.6","0,0630,+","","","-1.1","0,1026","-3.3","0,1115","-5.0","0,1116","-7.8","0,1212","-11.7","0,1226","-0.6","0,0413","-3.3","0,0306","-4.4","0,0227","-6.7","0,0210","-10.6","0,0114","    1607.4","4","    1607.4","0","    432.1"," ,0","      445"," ,0","     16.38","0","     24.50","0","      8.25","0"
