"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00247620","1932","48.998","-110.2157","858.0","SIMPSON 6 N WILDHORSE, MT US","","","","","","","","","","","","","","","        38","6","       193","6","        74","6","       110","6","        11","6","","","","","  -34.4","6,1211, ","","","","","","","   35.6","6,0723,+","0.0","6,0902","-3.3","6,0908","-6.7","6,0914","-6.7","6,0914","-8.9","6,0918","0.0","6,0526","-2.2","6,0426","-4.4","6,0331","-8.9","6,0330","-8.9","6,0330","","","","","","","","","      4.98","6","     11.11","6","     -1.14","6","","","",""
"USC00247620","1934","48.998","-110.2157","858.0","SIMPSON 6 N WILDHORSE, MT US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    4278.7","7","    4278.7"," ","","","","","","","","","","","","","",""
"USC00247620","1935","48.998","-110.2157","858.0","SIMPSON 6 N WILDHORSE, MT US","    157.0","","     157.0","6","","","","","","","","","","","        54","6","       206","6","        89","6","       120","6","        17","6","","","","","  -42.2","6,0120, ","","","","","","","   38.3","6,0715, ","-0.6","6,0903","-8.9","6,0926","-8.9","6,0926","-8.9","6,0926","-8.9","6,0926","-2.2","6,0606","-2.2","6,0606","-4.4","6,0502","-6.7","6,0415","-12.8","6,0414","","","","","","","","","      3.63","6","     11.05","6","     -3.78","6","","","",""
"USC00247620","1936","48.998","-110.2157","858.0","SIMPSON 6 N WILDHORSE, MT US","    357.9","","     357.9","6","        54","6","        20","6","         0","6","","","        16","6","        76","6","       192","6","        92","6","       148","6","        44","6","","","","","  -46.7","6,0215, ","","","   203"," ,6,1207, ","  22.1"," ,6,0803, ","   41.7","6,0627, ","-2.8","6,0914","-2.8","6,0914","-5.6","6,0916","-7.8","6,1001","-12.2","6,1021","0.0","6,0523","-10.0","6,0407","-10.0","6,0407","-10.0","6,0407","-10.0","6,0407","    5581.8","8","    5581.8","6","    171.5"," ,6","     1028"," ,6","      3.93","6","     11.67","6","     -3.80","6","","","",""
"USC00247620","1937","48.998","-110.2157","858.0","SIMPSON 6 N WILDHORSE, MT US","","","","","","","","","","","","","        14","6","","","","","","","","","","","","","","","","","","","   127"," ,6,0402, ","","","","","","","","","","","","","","","","","","","","","","","","","    5168.6","6","    5168.6","6","","","      792"," ,6","","","","","","","","","",""
"USC00247620","1938","48.998","-110.2157","858.0","SIMPSON 6 N WILDHORSE, MT US","    155.3","","     155.3","6","        66","6","        40","6","         1","6","","","        17","6","        45","6","       187","6","        67","6","       135","6","        22","6","","","","","  -39.4","6,0130, ","","","   203"," ,6,0329,+","  31.0"," ,6,0621, ","   36.7","6,0722, ","0.0","6,0820","-6.7","6,1014","-6.7","6,1014","-6.7","6,1014","-11.1","6,1106","-1.1","6,0607","-2.2","6,0508","-6.7","6,0421","-6.7","6,0421","-17.8","6,0401","","","","","    292.5"," ,6","     1372"," ,6","      5.52","6","     12.87","6","     -1.83","6","","","",""
"USC00247620","1939","48.998","-110.2157","858.0","SIMPSON 6 N WILDHORSE, MT US","    212.3","","     212.3","6","        55","6","        24","6","         1","6","","","","","        38","6","       193","6","        54","6","       128","6","        32","6","","","","","  -42.2","6,0210, ","","","","","  26.4"," ,6,0630, ","   38.9","6,0728, ","-1.1","6,0907","-4.4","6,1006","-4.4","6,1006","-8.9","6,1016","-8.9","6,1016","-1.1","6,0512","-2.2","6,0511","-5.0","6,0420","-8.3","6,0417","-10.6","6,0411","    4612.3","3","    4612.3","6","    249.1"," ,6","","","      6.21","6","     13.91","6","     -1.49","6","","","",""
"USC00247620","1940","48.998","-110.2157","858.0","SIMPSON 6 N WILDHORSE, MT US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    4851.7","7","    4851.7"," ","","","","","","","","","","","","","",""
"USC00247620","1941","48.998","-110.2157","858.0","SIMPSON 6 N WILDHORSE, MT US","","","","","        60","6","        36","6","         3","6","","","        13","6","","","","","","","","","","","","","","","","","","","   102"," ,6,1118,+","  41.7"," ,6,0628, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    368.8"," ,6","      659"," ,6","","","","","","","","","",""
"USC00247620","1942","48.998","-110.2157","858.0","SIMPSON 6 N WILDHORSE, MT US","    109.0","","     109.0","6","","","","","","","","","        14","6","        44","6","       200","6","        76","6","       124","6","        19","6","","","","","  -36.1","6,0105, ","","","   203"," ,6,0314, ","","","   35.6","6,0819,+","0.0","6,0917","-2.8","6,0927","-5.0","6,1019","-10.0","6,1023","-10.0","6,1023","0.0","6,0613","-2.8","6,0505","-4.4","6,0428","-10.6","6,0409","-10.6","6,0409","","","","","","","      849"," ,6","      4.54","6","     12.23","6","     -3.15","6","","","",""
"USC00247620","1943","48.998","-110.2157","858.0","SIMPSON 6 N WILDHORSE, MT US","    114.1","","     114.1","6","        58","6","        28","6","         0","6","","","        16","6","        57","6","       204","6","        65","6","       132","6","        21","6","","","","","  -44.4","6,0125, ","","","   152"," ,6,0123, ","  16.0"," ,6,0614, ","   37.2","6,0725, ","-0.6","6,0822","-2.8","6,0908","-5.0","6,0920","-6.7","6,1015","-8.9","6,1021","-3.3","6,0524","-3.3","6,0524","-6.1","6,0512","-8.9","6,0322","-8.9","6,0322","    5524.7","7","    5524.7","6","    210.9"," ,6","      938"," ,6","      4.24","6","     12.67","6","     -4.18","6","","","",""
"USC00247620","1944","48.998","-110.2157","858.0","SIMPSON 6 N WILDHORSE, MT US","    103.2","","     103.2","6","        53","6","        32","6","         0","6","","","        13","6","        46","6","       205","6","        78","6","       137","6","        15","6","","","","","  -28.9","6,0314, ","","","   127"," ,6,0930,+","  14.7"," ,6,0604,+","   37.8","6,0728, ","-6.7","6,0919","-6.7","6,0919","-6.7","6,0919","-6.7","6,0919","-8.9","6,1102","0.0","6,0604","-2.2","6,0509","-5.0","6,0503","-6.7","6,0402","-17.8","6,0328","    4499.1","1","    4499.1","6","    232.5"," ,6","      753"," ,6","      5.38","6","     13.24","6","     -2.48","6","","","",""
"USC00247620","1945","48.998","-110.2157","858.0","SIMPSON 6 N WILDHORSE, MT US","    169.6","","     169.6","6","","","","","","","","","","","        46","6","       206","6","        88","6","       117","6","        23","6","","","","","  -34.4","6,0305, ","","","","","","","   38.3","6,0727, ","-1.1","6,0910","-3.9","6,0927","-6.1","6,1008","-7.8","6,1021","-8.9","6,1023","0.0","6,0613","-7.8","6,0508","-7.8","6,0508","-7.8","6,0508","-10.0","6,0410","    5060.7","7","    5060.7","6","","","","","      4.09","6","     11.51","6","     -3.34","6","","","",""
"USC00247620","1946","48.998","-110.2157","858.0","SIMPSON 6 N WILDHORSE, MT US","    156.7","","     156.7","6","","","","","","","","","","","        44","6","       201","6","        59","6","       120","6","        24","6","","","","","  -32.2","6,1228, ","","","","","","","   38.3","6,0720, ","-1.1","6,0918","-4.4","6,0923","-4.4","6,0923","-6.7","6,1007","-11.1","6,1029","-3.3","6,0515","-3.3","6,0515","-5.6","6,0514","-10.0","6,0510","-10.0","6,0510","    4766.4","4","    4766.4","6","","","","","      5.11","6","     12.77","6","     -2.55","6","","","",""
"USC00247620","1947","48.998","-110.2157","858.0","SIMPSON 6 N WILDHORSE, MT US","    199.6","","     199.6","6","        54","6","        32","6","         0","6","","","        14","6","        51","6","       176","6","        77","6","       120","6","        25","6","","","","","  -36.7","6,0306, ","","","   102"," ,6,0303,+","  22.1"," ,6,0918, ","   38.3","6,0808,+","-1.1","6,0919","-3.9","6,1022","-6.1","6,1023","-14.4","6,1106","-14.4","6,1106","-2.8","6,0520","-2.8","6,0520","-4.4","6,0506","-6.7","6,0415","-9.4","6,0406","    5358.4","4","    5358.4","6","    217.9"," ,6","      661"," ,6","      5.01","6","     12.14","6","     -2.13","6","","","",""
"USC00247620","1948","48.998","-110.2157","858.0","SIMPSON 6 N WILDHORSE, MT US","","","","","        52","0","        24","0","         0","0","","","","","","","","","        72","0","       126","0","        16","0","","","","","","","","","","","  23.6"," ,0,0613, ","   36.7","0,0818, ","","","","","","","","","","","","","","","","","","","","","","","","","    203.8"," ,0","","","","","     12.53","0","","","","","",""
"USC00247620","1949","48.998","-110.2157","858.0","SIMPSON 6 N WILDHORSE, MT US","    157.1","","     157.1","0","        58","0","        18","0","         1","0","","","        19","0","        82","0","       200","0","        91","0","       137","0","        24","0","         8"," ","        11"," ","  -40.0","0,0124,+","","","    76"," ,0,1018, ","  29.0"," ,0,0517, ","   40.6","0,0806, ","0.0","0,0911","-2.8","0,0912","-6.7","0,0913","-6.7","0,0913","-14.4","0,1021","-1.1","0,0618","-2.2","0,0506","-7.2","0,0504","-7.2","0,0504","-9.4","0,0319","    5359.4","4","    5359.4","0","    198.0"," ,0","      805"," ,0","      3.84","0","     12.19","0","     -4.52","0","","","",""
"USC00247620","1950","48.998","-110.2157","858.0","SIMPSON 6 N WILDHORSE, MT US","     86.3","","      86.3","0","        51","0","        26","0","         1","0","      110","","        16","0","        62","0","       219","0","        90","0","       116","0","        10","0","        10"," ","","","  -43.3","0,0126,+","   381"," ,0,0127, ","   102"," ,0,0317, ","  44.2"," ,0,0625, ","   35.6","0,0726, ","-2.2","0,0819","-2.2","0,0819","-9.4","0,1001","-9.4","0,1001","-9.4","0,1001","0.0","0,0609","-2.2","0,0525","-5.6","0,0501","-6.7","0,0425","-12.2","0,0409","    5815.7","7","    5815.7","0","    236.5"," ,0","      805"," ,0","      2.27","0","      9.84","0","     -5.30","0","","","",""
"USC00247620","1951","48.998","-110.2157","858.0","SIMPSON 6 N WILDHORSE, MT US","     80.8","","      80.8","0","        64","0","        42","0","         2","0","      120","","        22","0","        77","0","       215","0","       108","0","        99","0","        15","0","         3"," ","","","  -37.8","0,0308, ","   229"," ,0,0316,+","   152"," ,0,0316, ","  42.2"," ,0,0830, ","   38.9","0,0803, ","0.0","0,0810","-2.8","0,0915","-4.4","0,0920","-6.7","0,0927","-10.0","0,1016","0.0","0,0604","-2.2","0,0601","-6.7","0,0424","-6.7","0,0424","-11.1","0,0422","    5788.6","6","    5788.6","0","    374.5"," ,0","     1396"," ,0","      1.80","0","      8.94","0","     -5.33","0","","","",""
"USC00247620","1952","48.998","-110.2157","858.0","SIMPSON 6 N WILDHORSE, MT US","     86.4","","      86.4","0","        52","0","        28","0","         0","0","","","","","        58","0","       192","0","        90","0","       139","0","        13","0","         1"," ","         1"," ","  -36.7","0,0123, ","","","","","  20.8"," ,0,0719,+","   36.1","0,0822, ","0.0","0,0831","-3.9","0,1004","-11.7","0,1005","-11.7","0,1005","-11.7","0,1005","-1.1","0,0510","-2.2","0,0413","-6.7","0,0410","-6.7","0,0410","-8.9","0,0325","    5661.6","6","    5661.6","0","    217.0"," ,0","","","      4.14","0","     11.80","0","     -3.52","0","","","",""
"USC00247620","1953","48.998","-110.2157","858.0","SIMPSON 6 N WILDHORSE, MT US","","","","","        50","0","        29","0","         1","0","","","         8","0","","","","","","","","","","","","","","","","","","","   102"," ,0,0320, ","  29.0"," ,0,0520, ","","","","","","","","","","","","","","","","","","","","","","","    4761.1","1","    4761.1","0","    294.8"," ,0","      576"," ,0","","","","","","","","","",""
"USC00247620","1955","48.998","-110.2157","858.0","SIMPSON 6 N WILDHORSE, MT US","    108.8","","     108.8","0","        60","0","        34","0","         0","0","","","        20","0","        81","0","       205","0","       101","0","       112","0","        13","0","","","","","  -38.3","0,1218, ","","","   457"," ,0,0403, ","  24.9"," ,0,0419, ","   34.4","0,0801, ","-8.9","0,0910","-8.9","0,0910","-8.9","0,0910","-8.9","0,0910","-8.9","0,0910","0.0","0,0523","-3.9","0,0507","-9.4","0,0416","-9.4","0,0416","-9.4","0,0416","    4875.7","7","    4875.7","0","    365.8"," ,0","     1436"," ,0","      2.86","0","     10.46","0","     -4.75","0","","","",""
"USC00247620","1956","48.998","-110.2157","858.0","SIMPSON 6 N WILDHORSE, MT US","    131.1","","     131.1","0","        57","0","        31","0","         1","0","","","        10","0","        56","0","       204","0","        78","0","       132","0","        17","0","","","","","  -37.8","0,1207,+","","","    76"," ,0,1027, ","  31.8"," ,0,0616, ","   35.6","0,0722, ","-3.9","0,0905","-3.9","0,0905","-5.0","0,1006","-7.8","0,1026","-9.4","0,1029","-0.6","0,0513","-2.2","0,0505","-5.0","0,0430","-7.8","0,0427","-9.4","0,0411","    5609.6","6","    5609.6","0","    219.8"," ,0","      425"," ,0","      4.54","0","     12.49","0","     -3.40","0","","","",""
"USC00247620","1957","48.998","-110.2157","858.0","SIMPSON 6 N WILDHORSE, MT US","    125.9","","     125.9","0","        60","0","        33","0","         0","0","","","        15","0","        43","0","       193","0","        64","0","       129","0","        23","0","","","","","  -42.8","0,0125, ","","","   178"," ,0,1022, ","  14.0"," ,0,0616, ","   37.8","0,0713,+","-1.7","0,0918","-6.1","0,0919","-6.1","0,0919","-15.0","0,1005","-15.0","0,1005","-4.4","0,0523","-4.4","0,0523","-4.4","0,0523","-9.4","0,0412","-9.4","0,0412","    4874.5","5","    4874.5","0","    231.8"," ,0","      837"," ,0","      4.89","0","     12.49","0","     -2.71","0","","","",""
