"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES"
"USC00421256","1949","37.61667","-112.83333","3123.0","CEDAR BREAKS STORAGE, UT US","        14"," ","         9"," "
"USC00421256","1951","37.61667","-112.83333","3123.0","CEDAR BREAKS STORAGE, UT US","         5"," ","",""
"USC00421256","1952","37.61667","-112.83333","3123.0","CEDAR BREAKS STORAGE, UT US","         1"," ","         4"," "
"USC00421256","1955","37.61667","-112.83333","3123.0","CEDAR BREAKS STORAGE, UT US","         1"," ","",""
"USC00421256","1958","37.61667","-112.83333","3123.0","CEDAR BREAKS STORAGE, UT US","         2"," ","         2"," "
"USC00421256","1959","37.61667","-112.83333","3123.0","CEDAR BREAKS STORAGE, UT US","         6"," ","        12"," "
"USC00421256","1960","37.61667","-112.83333","3123.0","CEDAR BREAKS STORAGE, UT US","         1"," ","        12"," "
"USC00421256","1961","37.61667","-112.83333","3123.0","CEDAR BREAKS STORAGE, UT US","         2"," ","",""
"USC00421256","1964","37.61667","-112.83333","3123.0","CEDAR BREAKS STORAGE, UT US","","","         9"," "
"USC00421256","1965","37.61667","-112.83333","3123.0","CEDAR BREAKS STORAGE, UT US","","","         1"," "
"USC00421256","1966","37.61667","-112.83333","3123.0","CEDAR BREAKS STORAGE, UT US","","","         2"," "
"USC00421256","1967","37.61667","-112.83333","3123.0","CEDAR BREAKS STORAGE, UT US","","","        17"," "
"USC00421256","1969","37.61667","-112.83333","3123.0","CEDAR BREAKS STORAGE, UT US","","","         2"," "
"USC00421256","1970","37.61667","-112.83333","3123.0","CEDAR BREAKS STORAGE, UT US","","","        52"," "
