"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00003028","1999","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","       5.3","W","    472.9","","     472.9","W","        66","W","        32","W","         4","W","","","         0","W","       163","W","         7","W","       192","W","        46","W","","","","","  -15.6","W,0104, ","","","  73.7"," ,W,0430, ","   37.8","W,0702, ","-2.2","W,0929","-2.2","W,0929","-5.0","W,1018","-7.2","W,1102","-11.7","W,1124","-0.6","W,0507","-6.1","W,0417","-6.1","W,0417","-6.7","W,0320","-13.3","W,0314","    2788.3","3","    2788.3","W","    490.5"," ,W","","","     11.84","W","     20.41","W","      3.26","W","       210","W","       210","W","      21.5","W","      26.4","W"
"USW00003028","2000","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","       5.3","W","    665.5","","     665.5","W","        70","W","        33","W","         2","W","","","         1","W","       155","W","        11","W","       177","W","        81","W","","","","","  -17.8","W,0104, ","","","  39.6"," ,W,1023, ","   38.3","W,0814, ","-1.7","W,0924","-2.8","W,0925","-4.4","W,1008","-7.2","W,1106","-8.9","W,1108","0.0","W,0519","-6.7","W,0416","-6.7","W,0416","-6.7","W,0416","-8.9","W,0317","    2685.5","5","    2685.5","W","    333.0"," ,W","","","     12.13","W","     20.76","W","      3.51","W","        10","W","        20","W","      25.0","W","      28.6","W"
"USW00003028","2001","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","       5.0","W","    665.1","","     665.1","W","       101","W","        41","W","         0","W","","","         2","W","       149","W","        22","W","       193","W","        69","W","","","","","  -17.8","W,0210,+","","","  21.6"," ,W,0607, ","   38.9","W,0707, ","0.0","W,1005","-2.8","W,1013","-4.4","W,1120","-8.9","W,1126","-8.9","W,1126","-0.6","W,0423","-2.8","W,0414","-8.3","W,0316","-8.3","W,0316","-10.6","W,0228","    3086.8","8","    3086.8","W","    340.5"," ,W","","","     12.23","W","     20.62","W","      3.83","W","       300","W","       310","W","      29.5","W","      34.9","W"
"USW00003028","2002","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","       5.5","W","    671.7","","     671.7","W","        78","W","        28","W","         2","W","","","         3","W","       162","W","        16","W","       190","W","        65","W","","","","","  -18.3","W,0103, ","","","  61.0"," ,W,0705, ","   40.6","W,0628, ","0.0","W,1012","-2.8","W,1015","-5.6","W,1030","-7.2","W,1125","-13.3","W,1126","0.0","W,0512","-2.2","W,0422","-5.0","W,0404","-8.9","W,0403","-8.9","W,0403","    2781.5","5","    2781.5","W","    377.6"," ,W","","","     11.94","W","     20.35","W","      3.53","W","       320","W","       320","W","      25.9","W","      29.5","W"
"USW00003028","2003","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","       5.1","W","    606.3","","     606.3","W","        68","W","        33","W","         4","W","","","         2","W","       128","W","         9","W","       192","W","        66","W","","","","","  -20.0","W,0207, ","","","  46.2"," ,W,0605, ","   40.0","W,0714, ","-1.1","W,1014","-6.1","W,1026","-6.1","W,1026","-7.8","W,1106","-10.0","W,1122","-2.8","W,0409","-2.8","W,0409","-5.6","W,0408","-7.2","W,0329","-8.9","W,0306","    2871.6","6","    2871.6","W","    359.0"," ,W","","","     12.45","W","     20.78","W","      4.11","W","       210","W","       210","W","      25.0","W","      30.8","W"
"USW00003028","2004","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","       5.2","W","    469.1","","     469.1","W","        74","W","        35","W","         4","W","","","         1","W","       137","W","         8","W","       185","W","        44","W","","","","","  -24.4","W,1224, ","","","  38.4"," ,W,0921, ","   37.2","W,0607, ","-1.7","W,1014","-4.4","W,1030","-4.4","W,1030","-6.7","W,1102","-9.4","W,1103","-2.2","W,0514","-2.2","W,0514","-6.1","W,0413","-6.7","W,0226","-9.4","W,0225","    2689.9","9","    2689.9","W","    440.3"," ,W","","","     12.09","W","     20.13","W","      4.05","W","        50","W","        40","W","      26.4","W","      33.1","W"
"USW00003028","2005","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","       5.1","B","    658.7","","     658.7","B","        79","B","        31","B","         2","B","","","         2","B","       145","B","        12","B","       197","B","        73","B","","","","","  -22.8","B,1208, ","","","  29.7"," ,B,0811, ","   40.6","B,0720, ","-0.6","B,1006","-4.4","B,1024","-4.4","B,1024","-10.0","B,1115","-10.0","B,1115","-0.6","W,0429","-2.2","W,0409","-7.8","W,0327","-7.8","W,0327","-9.4","W,0209","    2764.5","5","    2764.5","B","    335.1"," ,B","","","     12.70","B","     20.96","B","      4.44","B","       320","B","       330","B","      21.9","B","      26.4","B"
"USW00003028","2006","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","       5.1","W","    637.7","","     637.7","W","        66","W","        35","W","         4","W","","","         1","W","       145","W","        15","W","       193","W","        64","W","","","","","  -21.0","W,0218, ","","","  68.1"," ,W,0813, ","   40.0","W,0620, ","-2.1","W,1018","-2.7","W,1021","-7.1","W,1031","-7.1","W,1031","-14.9","W,1130","-4.3","W,0426","-4.3","W,0426","-6.0","W,0408","-8.2","W,0324","-12.1","W,0321","    2580.1","1","    2580.1","W","    496.5"," ,W","","","     12.48","W","     21.07","W","      3.89","W","        10","W","        10","W","      24.1","W","      28.2","W"
"USW00003028","2007","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","       5.3","W","    670.4","","     670.4","W","        69","W","        25","W","         1","W","","","         6","W","       136","W","        36","W","       202","W","        70","W","","","","","  -22.7","W,0215, ","","","  29.2"," ,W,0323, ","   39.4","W,0820, ","-1.6","W,1018","-2.7","W,1103","-4.9","W,1105","-7.1","W,1114","-9.3","W,1115","-1.0","W,0426","-3.2","W,0414","-8.2","W,0304","-8.2","W,0304","-9.9","W,0216","    3186.4","4","    3186.4","W","    240.5"," ,W","","","     11.66","W","     19.63","W","      3.69","W","       320","W","       320","W","      26.4","W","      30.9","W"
"USW00003028","2008","37.28346","-102.613784","1337.0","SPRINGFIELD COMANCHE NATIONAL GRASSLAND, CO US","       5.5","W","    575.3","","     575.3","W","        77","W","        30","W","         1","W","","","         1","W","       158","W","        10","W","       184","W","        53","W","","","","","  -21.0","W,0117, ","","","  35.6"," ,W,0808, ","   40.0","W,0801, ","-3.2","W,1023","-3.2","W,1023","-4.9","W,1027","-7.1","W,1115","-11.0","W,1209","-3.2","W,0511","-3.2","W,0511","-8.8","W,0307","-8.8","W,0307","-11.0","W,0218","    2879.9","9","    2879.9","W","    341.5"," ,W","","","     12.12","W","     20.63","W","      3.61","W","       220","W","       220","W","      24.6","W","      28.6","W"
