"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00028815","1895","32.22917","-110.95361","742.2","TUCSON WEATHER FORECAST OFFICE, AZ US","   1489.7","","    1489.7","0","        48","0","        22","0","         3","0","        0","","         0","0","         0","0","        42","0","         0","0","       288","0","       143","0","         1"," ","","","  -10.0","0,1230, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  46.5"," ,0,1123, ","   42.2","0,0626, ","","","0.0","0,1114","-2.8","0,1125","-7.2","0,1219","-7.2","0,1219","-8.9","0,1226","-0.6","0,0407","-2.8","0,0130","","","","","","","","","","","","","","","    281.3"," ,0","        0"," ,0","     19.64","0","     28.65","0","     10.63","0","",""
"USC00028815","1896","32.22917","-110.95361","742.2","TUCSON WEATHER FORECAST OFFICE, AZ US","","","","","        52","0","        29","0","         0","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0","T,0,1012,+","  24.6"," ,0,1001, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    289.3"," ,0","        0","T,0","","","","","","","",""
"USC00028815","1897","32.22917","-110.95361","742.2","TUCSON WEATHER FORECAST OFFICE, AZ US","","","","","        36","0","        24","0","         2","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0","T,0,0221, ","  38.6"," ,0,0802, ","","","","","","","","","","","","","","","","","","","","","","","","","    1033.1","1","    1033.1","0","","","","","    235.0"," ,0","        0","T,0","","","","","","","",""
"USC00028815","1898","32.22917","-110.95361","742.2","TUCSON WEATHER FORECAST OFFICE, AZ US","","","","","        47","0","        34","0","         2","0","        0","","         2","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","    84"," ,0,0124, ","  50.5"," ,0,0822, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    323.2"," ,0","      153"," ,0","","","","","","","",""
"USC00028815","1899","32.22917","-110.95361","742.2","TUCSON WEATHER FORECAST OFFICE, AZ US","   1453.7","","    1453.7","0","        36","0","        27","0","         0","0","        1","","         1","0","         0","0","        61","0","         0","0","       288","0","       132","0","","","","","   -8.3","0,0207, ","    25"," ,0,0206, ","    33"," ,0,0206, ","  16.8"," ,0,0625, ","   41.7","0,0902,+","","","0.0","0,1016","-5.6","0,1210","-5.6","0,1210","","","","","0.0","0,0503","-2.8","0,0313","-5.0","0,0208","-8.3","0,0207","","","    1277.1","1","    1277.1","0","","","","","    213.0"," ,0","       33"," ,0","     19.07","0","     27.86","0","     10.29","0","",""
"USC00028815","1900","32.22917","-110.95361","742.2","TUCSON WEATHER FORECAST OFFICE, AZ US","   1481.9","","    1481.9","0","        42","0","        22","0","         2","0","        0","","         0","0","         0","0","        38","0","         0","0","       301","0","       143","0","","","         1"," ","   -3.9","0,1224,+","     0"," ,0,1231,+","     0","T,0,0404, ","  32.3"," ,0,1117, ","   42.2","0,0712,+","","","-1.7","0,1031","-2.2","0,1223","","","","","","","-0.6","0,0307","-2.8","0,0224","","","","","","","     975.9","9","     975.9","0","","","","","    198.0"," ,0","        0","T,0","     19.81","0","     28.74","0","     10.88","0","",""
"USC00028815","1901","32.22917","-110.95361","742.2","TUCSON WEATHER FORECAST OFFICE, AZ US","   1460.7","","    1460.7","0","        45","0","        24","0","         0","0","        0","","         0","0","         0","0","        38","0","         0","0","       292","0","       152","0","","","         1"," ","  -12.2","0,1214, ","     0"," ,0,1231,+","     0","T,0,0331, ","  20.1"," ,0,0207, ","   42.2","0,0712,+","","","-3.3","0,1208","-3.3","0,1208","-4.4","0,1213","-12.2","0,1214","-12.2","0,1214","-2.2","0,0405","-2.2","0,0405","-5.6","0,0112","-7.2","0,0102","","","     956.4","4","     956.4","0","","","","","    245.2"," ,0","        0","T,0","     19.60","0","     28.73","0","     10.48","0","",""
"USC00028815","1902","32.22917","-110.95361","742.2","TUCSON WEATHER FORECAST OFFICE, AZ US","   1476.2","","    1476.2","0","        35","0","        21","0","         1","0","        0","","         1","0","         0","0","        44","0","         0","0","       289","0","       150","0","         1"," ","","","   -4.4","0,0201, ","     0","T,0,1029, ","    38"," ,0,0324, ","  41.7"," ,0,1029, ","   44.4","0,0624, ","","","0.0","0,1125","-3.3","0,1203","","","","","","","-0.6","0,0326","-2.2","0,0304","-4.4","0,0201","","","","","     994.4","4","     994.4","0","","","","","    218.5"," ,0","       38"," ,0","     19.39","0","     28.39","0","     10.39","0","",""
"USC00028815","1903","32.22917","-110.95361","742.2","TUCSON WEATHER FORECAST OFFICE, AZ US","   1360.6","","    1360.6","0","        43","0","        21","0","         1","0","        2","","         2","0","         0","0","        56","0","         0","0","       290","0","       134","0","","","         1"," ","   -6.1","0,1225, ","    76"," ,0,0215, ","    79"," ,0,0215, ","  36.1"," ,0,0325, ","   42.2","0,0803,+","","","-1.7","0,1204","-3.9","0,1224","-6.1","0,1225","","","","","-1.1","0,0323","-2.2","0,0322","-4.4","0,0318","","","","","    1245.4","4","    1245.4","0","","","","","    218.1"," ,0","      125"," ,0","     18.85","0","     27.97","0","      9.74","0","",""
"USC00028815","1904","32.22917","-110.95361","742.2","TUCSON WEATHER FORECAST OFFICE, AZ US","   1391.9","","    1391.9","0","        39","0","        21","0","         0","0","        0","","         0","0","         0","0","        46","0","         0","0","       300","0","       146","0","         3"," ","         1"," ","   -9.4","0,0122, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  23.9"," ,0,0730, ","   41.7","0,0711,+","","","0.0","0,1113","-2.2","0,1216","","","","","","","0.0","0,0326","-2.2","0,0210","-4.4","0,0201","-7.8","0,0127","-9.4","0,0122","     922.4","4","     922.4","0","","","","","    199.6"," ,0","        0"," ,0","     19.25","0","     28.07","0","     10.42","0","",""
