"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CCLA","2000","34.1369","-117.7069","501.4","CLAREMONT CALIFORNIA, CA US","    659.1","","     659.1","U","         0","U","         0","U","         0","U","       245","U","        55","U","    1.1","U,1115,+","   39.4","U,0916, ","","","","","","","","","","","     17.37","U","     24.16","U","     10.58","U"
"USR0000CCLA","2001","34.1369","-117.7069","501.4","CLAREMONT CALIFORNIA, CA US","    732.5","","     732.5","U","         0","U","         2","U","         0","U","       237","U","        67","U","    0.0","U,0208,+","   38.9","U,0930, ","","","0.0","U,0208","","","    1166.9","9","    1166.9","U","     17.10","U","     24.18","U","     10.02","U"
"USR0000CCLA","2002","34.1369","-117.7069","501.4","CLAREMONT CALIFORNIA, CA US","    649.3","","     649.3","U","         0","U","         2","U","         0","U","       245","U","        56","U","   -0.6","U,0130,+","   42.2","U,0901, ","","","-0.6","U,0130","","","    1073.9","9","    1073.9","U","     17.17","U","     24.64","U","      9.70","U"
"USR0000CCLA","2003","34.1369","-117.7069","501.4","CLAREMONT CALIFORNIA, CA US","    899.8","","     899.8","U","         0","U","         1","U","         0","U","       240","U","        84","U","    0.0","U,1228, ","   40.0","U,0814, ","0.0","U,1228","","","","","     950.2","2","     950.2","U","     18.03","U","     25.13","U","     10.94","U"
"USR0000CCLA","2004","34.1369","-117.7069","501.4","CLAREMONT CALIFORNIA, CA US","    750.0","","     750.0","U","         0","U","         2","U","         0","U","       239","U","        65","U","    0.0","U,1201,+","   39.4","U,0905, ","0.0","U,1130","","","","","     920.4","4","     920.4","U","     17.66","U","     24.55","U","     10.77","U"
"USR0000CCLA","2005","34.1369","-117.7069","501.4","CLAREMONT CALIFORNIA, CA US","    655.5","","     655.5","U","         0","U","         0","U","         0","U","       242","U","        56","U","    1.7","U,0105, ","   38.3","U,0929, ","","","","","","","    1088.2","2","    1088.2","U","     17.47","U","     24.11","U","     10.84","U"
"USR0000CCLA","2006","34.1369","-117.7069","501.4","CLAREMONT CALIFORNIA, CA US","    835.1","","     835.1","U","         0","U","         2","U","         0","U","       237","U","        72","U","   -0.6","U,0312, ","   43.9","U,0722, ","","","-0.6","U,0312","","","    1060.3","3","    1060.3","U","     17.64","U","     24.54","U","     10.73","U"
"USR0000CCLA","2007","34.1369","-117.7069","501.4","CLAREMONT CALIFORNIA, CA US","    777.0","","     777.0","U","         0","U","         6","U","         0","U","       261","U","        75","U","   -2.8","U,0114, ","   43.3","U,0903, ","0.0","U,1227","0.0","U,0116","-2.8","U,0114","     955.9","9","     955.9","U","     17.69","U","     25.17","U","     10.20","U"
"USR0000CCLA","2008","34.1369","-117.7069","501.4","CLAREMONT CALIFORNIA, CA US","    965.4","","     965.4","U","         0","U","         3","U","         0","U","       253","U","        90","U","    0.0","U,1226,+","   40.0","U,0620, ","0.0","U,1218","0.0","U,0205","","","    1066.9","9","    1066.9","U","     18.17","U","     25.49","U","     10.86","U"
"USR0000CCLA","2009","34.1369","-117.7069","501.4","CLAREMONT CALIFORNIA, CA US","    787.4","","     787.4","U","         0","U","         3","U","         0","U","       251","U","        69","U","   -1.1","U,1208, ","   40.6","U,0829,+","-1.1","U,1208","0.0","U,0214","","","     958.5","5","     958.5","U","     17.66","U","     24.94","U","     10.37","U"
