"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00045360","1971","38.4916","-122.1241","146.3","MARKLEY COVE, CA US","    637.1","","     637.1","0","        58","0","        28","0","         5","0","        0","","         0","0","         0","0","        30","0","         0","0","       177","0","        81","0","","","   -2.2","0,1220,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  89.2"," ,0,1227, ","   43.3","0,0811, ","    1826.9","0","0.0","0,1204","-2.2","0,1216","","","","","","","0.0","0,0421","-2.2","0,0302","","","","","    1796.3","3","    1796.3","0","      6.98","0","     20.35","0","    443.6"," ,0","        0"," ,0","     14.81","0","     22.39","0","      7.23","0","     32888","0"
"USC00045360","1972","38.4916","-122.1241","146.3","MARKLEY COVE, CA US","    576.3","","     576.3","0","        70","0","        38","0","         3","0","        0","","         0","0","         0","0","        44","0","         0","0","       189","0","        71","0","","","   -7.8","0,1209, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  65.5"," ,0,1114, ","   45.0","0,0715, ","    1769.1","0","-3.9","0,1205","-3.9","0,1205","-5.0","0,1208","-7.8","0,1209","","","0.0","0,0326","-2.2","0,0202","","","","","    1795.1","1","    1795.1","0","","","     20.64","0","    470.2"," ,0","        0"," ,0","     14.93","0","     22.31","0","      7.56","0","     27654","0"
"USC00045360","1973","38.4916","-122.1241","146.3","MARKLEY COVE, CA US","    578.8","","     578.8","0","        95","0","        59","0","        15","0","        0","","         0","0","         0","0","        19","0","         0","0","       193","0","        70","0","","","   -5.0","0,0105, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  73.7"," ,0,0116, ","   41.1","0,0726, ","    1733.7","0","0.0","0,1104","","","","","","","","","-0.6","0,0322","-2.8","0,0108","-4.4","0,0107","","","    1815.8","8","    1815.8","0","","","     21.08","0","    975.5"," ,0","        0"," ,0","     15.36","0","     22.65","0","      8.07","0","     24869","0"
"USC00045360","1974","38.4916","-122.1241","146.3","MARKLEY COVE, CA US","    605.7","","     605.7","0","        62","0","        40","0","         7","0","        0","","         0","0","         0","0","        29","0","         0","0","       194","0","        84","0","","","   -3.3","0,1225, ","     0","T,0,0104,+","     0","T,0,0103, ","  67.6"," ,0,1228, ","   40.0","0,0725, ","    1714.9","0","-0.6","0,1218","-3.3","0,1225","","","","","","","-0.6","0,0310","-2.8","0,0109","","","","","    1720.8","8","    1720.8","0","","","     20.84","0","    617.1"," ,0","        0","T,0","     15.19","0","     22.96","0","      7.41","0","     25875","0"
"USC00045360","1975","38.4916","-122.1241","146.3","MARKLEY COVE, CA US","    523.0","","     523.0","0","        58","0","        36","0","         8","0","        0","","         0","0","         0","0","        36","0","         0","0","       178","0","        62","0","","","   -5.0","0,0128, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  97.0"," ,0,0201, ","   42.8","0,0726, ","    1672.8","0","-1.1","0,1121","-2.8","0,1129","","","","","","","0.0","0,0417","-3.3","0,0131","-5.0","0,0128","","","    1840.6","6","    1840.6","0","      7.23","0","     20.60","0","    678.3"," ,0","        0"," ,0","     14.53","0","     22.16","0","      6.90","0","     28725","0"
"USC00045360","1976","38.4916","-122.1241","146.3","MARKLEY COVE, CA US","    520.8","","     520.8","0","        38","0","        22","0","         0","0","        0","","         0","0","         0","0","        61","0","         0","0","       214","0","        64","0","","","   -5.6","0,0102, ","     0"," ,0,1231,+","     0","T,0,0302, ","  23.9"," ,0,1231, ","   40.6","0,0629, ","    1919.3","0","-2.2","0,1129","-2.2","0,1129","","","","","","","-0.6","0,0402","-2.8","0,0306","-4.4","0,0103","","","    1780.2","2","    1780.2","0","","","     20.75","0","    197.8"," ,0","        0","T,0","     15.20","0","     23.46","0","      6.94","0","     24550","0"
"USC00045360","1977","38.4916","-122.1241","146.3","MARKLEY COVE, CA US","    586.8","","     586.8","0","        56","0","        27","0","         5","0","        0","","         0","0","         0","0","        30","0","         0","0","       200","0","        70","0","","","   -3.9","0,0109, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  74.9"," ,0,1122, ","   42.2","0,0731, ","    1855.2","0","-2.2","0,1119","-2.2","0,1119","","","","","","","0.0","0,0331","-3.3","0,0110","","","","","    1691.3","3","    1691.3","0","      7.32","0","     20.31","0","    467.5"," ,0","        0"," ,0","     15.40","0","     23.15","0","      7.65","0","     25781","0"
"USC00045360","1978","38.4916","-122.1241","146.3","MARKLEY COVE, CA US","    559.1","","     559.1","0","        63","0","        45","0","        11","0","        0","","         0","0","         0","0","        28","0","         0","0","       203","0","        66","0","","","   -5.0","0,1231,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  90.2"," ,0,0105, ","   43.9","0,0810, ","","","0.0","0,1111","-2.2","0,1112","-4.4","0,1220","","","","","0.0","0,0124","","","","","","","    1447.9","9","    1447.9","0","","","     20.37","0","    846.0"," ,0","        0"," ,0","     15.32","0","     22.62","0","      8.02","0","     26581","0"
"USC00045360","1979","38.4916","-122.1241","146.3","MARKLEY COVE, CA US","    581.0","","     581.0","0","        72","0","        49","0","         9","0","        0","","         0","0","         0","0","        37","0","         0","0","       190","0","        73","0","","","   -5.6","0,0129, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  61.5"," ,0,1224, ","   40.0","0,0916,+","","","-1.7","0,1121","-2.8","0,1212","","","","","","","0.0","0,0217","-2.2","0,0201","-4.4","0,0130","","","    1815.7","7","    1815.7","0","","","     20.00","0","    810.7"," ,0","        0"," ,0","     15.20","0","     22.75","0","      7.64","0","     28360","0"
"USC00045360","1980","38.4916","-122.1241","146.3","MARKLEY COVE, CA US","","","","","        55","0","        35","0","         9","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  91.4"," ,0,0219, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    698.0"," ,0","        0"," ,0","","","","","","","",""
