"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00003822","1948","32.13133","-81.2023","8.7","SAVANNAH HILTON HEAD INTERNATIONAL AIRPORT, GA US","","","   1356.1","","    1356.1","0","       126","0","        91","0","        16","0","        0","","         0","0","         0","0","        13","0","         0","0","       278","0","        59","0","       179"," ","","","        73"," ","   -7.2","0,0115, ","     0"," ,0,1231,+","     0"," ,0,1231,+"," 136.1"," ,0,0710, ","   38.9","0,0625, ","","","-2.8","0,1226","-2.8","0,1226","","","","","","","-0.6","X,0210","-4.4","X,0116","-4.4","X,0116","-7.2","X,0115","","","","","","","","","","","","","","","","","","","","","","","   1634.8"," ,0","","","        0"," ,0","     19.70","0","     24.89","0","     14.50","0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00003822","1949","32.13133","-81.2023","8.7","SAVANNAH HILTON HEAD INTERNATIONAL AIRPORT, GA US","","","   1383.2","","    1383.2","0","       119","0","        78","0","        10","0","        0","","         0","0","         0","0","         2","0","         0","0","       285","0","        53","0","       137"," ","","","        61"," ","   -1.7","0,0101, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  83.8"," ,0,0828, ","   38.9","0,0728, ","","","-1.1","0,1119","","","","","","","","","-1.7","0,0101","","","","","","","","","     609.9","9","","","     609.9","0","","","","","","","","","","","","","","","   1045.7"," ,0","","","        0"," ,0","     20.23","0","     25.44","0","     15.02","0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00003822","1950","32.13133","-81.2023","8.7","SAVANNAH HILTON HEAD INTERNATIONAL AIRPORT, GA US","","","   1317.0","","    1317.0","0","       114","0","        74","0","        15","0","        0","","         0","0","         0","0","        18","0","         1","0","       269","0","        53","0","       109"," ","","","        66"," ","   -9.4","0,1125, ","     0","T,0,1124, ","     0","T,0,1124,+"," 215.1"," ,0,0905, ","   38.9","0,0624, ","","","0.0","0,1124","-9.4","0,1125","-9.4","0,1125","-9.4","0,1125","-9.4","0,1125","-1.1","0,0331","","","","","","","","","     745.2","2","","","     745.2","0","","","","","","","","","","","","","","","   1421.1"," ,0","","","        0","T,0","     19.29","0","     24.79","0","     13.79","0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00003822","1951","32.13133","-81.2023","8.7","SAVANNAH HILTON HEAD INTERNATIONAL AIRPORT, GA US","","","   1337.7","","    1337.7","0","       107","0","        75","0","        14","0","        0","","         0","0","         0","0","        28","0","         0","0","       267","0","        79","0","       146"," ","","","        79"," ","   -6.1","0,0204,+","     0"," ,0,1231,+","     0","T,0,0202, "," 116.6"," ,0,0823, ","   38.3","0,0714, ","","","0.0","0,1108","-2.8","0,1119","-4.4","0,1121","","","","","0.0","0,0314","-2.2","0,0209","-4.4","0,0208","","","","","    1155.9","9","","","    1155.9","0","","","","","","","","","","","","","","","   1236.1"," ,0","","","        0","T,0","     19.20","0","     25.19","0","     13.22","0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00003822","1952","32.13133","-81.2023","8.7","SAVANNAH HILTON HEAD INTERNATIONAL AIRPORT, GA US","","","   1314.1","","    1314.1","0","       100","0","        68","0","         7","0","        0","","         0","0","         0","0","        19","0","         0","0","       274","0","        81","0","       128"," ","","","        75"," ","   -5.0","0,1216, ","     0"," ,0,1231,+","     0","T,0,1214,+","  73.7"," ,0,0525, ","   40.0","0,0724, ","","","-2.2","0,1030","-2.2","0,1030","-5.0","0,1216","","","","","0.0","0,0218","-4.4","0,0131","-4.4","0,0131","","","","","     876.3","3","","","     876.3","0","","","","","","","","","","","","","","","    977.8"," ,0","","","        0","T,0","     19.23","0","     25.48","0","     12.99","0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00003822","1953","32.13133","-81.2023","8.7","SAVANNAH HILTON HEAD INTERNATIONAL AIRPORT, GA US","","","   1284.1","","    1284.1","0","       116","0","        72","0","        21","0","        0","","         0","0","         0","0","        17","0","         0","0","       268","0","        63","0","       142"," ","","","        60"," ","   -8.3","0,1219, ","     0"," ,0,1231,+","     0","T,0,0806,+","  74.2"," ,0,0926, ","   39.4","0,0601, ","","","-1.1","0,1107","-3.3","0,1217","-7.2","0,1218","-7.2","0,1218","","","-1.1","0,0218","-3.3","0,0113","","","","","","","     977.7","7","","","     977.7","0","","","","","","","","","","","","","","","   1403.9"," ,0","","","        0","T,0","     19.27","0","     25.33","0","     13.21","0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00003822","1954","32.13133","-81.2023","8.7","SAVANNAH HILTON HEAD INTERNATIONAL AIRPORT, GA US","","","   1367.2","","    1367.2","0","        84","0","        47","0","         9","0","        0","","         0","0","         0","0","        35","0","         0","0","       260","0","        93","0","       130"," ","","","        47"," ","   -5.6","0,1221,+","     0"," ,0,1231,+","     0","T,0,0414,+"," 148.3"," ,0,0915, ","   40.0","0,0805, ","","","0.0","0,1101","-4.4","0,1103","-4.4","0,1103","","","","","-1.7","0,0317","-3.9","0,0307","","","","","","","     978.7","7","","","     978.7","0","","","","","","","","","","","","","","","    834.6"," ,0","","","        0","T,0","     19.07","0","     25.67","0","     12.47","0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00003822","1955","32.13133","-81.2023","8.7","SAVANNAH HILTON HEAD INTERNATIONAL AIRPORT, GA US","","","   1279.9","","    1279.9","0","        96","0","        59","0","        12","0","        0","","         0","0","         0","0","        36","0","         0","0","       267","0","        68","0","       146"," ","","","        67"," ","   -6.7","0,0213, ","     0"," ,0,1231,+","     0","T,0,1212,+","  69.1"," ,0,0627, ","   36.7","0,0820, ","","","0.0","0,1120","-3.9","0,1129","-5.0","0,1201","","","","","0.0","0,0330","-3.3","0,0327","-4.4","0,0214","-6.7","0,0213","","","    1145.1","1","","","    1145.1","0","","","","","","","","","","","","","","","    978.8"," ,0","","","        0","T,0","     18.77","0","     25.12","0","     12.42","0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00003822","1956","32.13133","-81.2023","8.7","SAVANNAH HILTON HEAD INTERNATIONAL AIRPORT, GA US","","","   1254.3","","    1254.3","0","        86","0","        61","0","        15","0","        0","","         0","0","         0","0","        28","0","         0","0","       273","0","        75","0","       153"," ","","","        56"," ","   -5.0","0,0109, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  71.6"," ,0,0601, ","   36.7","0,0718, ","","","-0.6","0,1110","-3.3","0,1123","-4.4","0,1128","","","","","0.0","0,0323","-3.3","0,0321","-5.0","0,0109","","","","","    1133.9","9","","","    1133.9","0","","","","","","","","","","","","","","","   1095.9"," ,0","","","        0"," ,0","     19.13","0","     25.41","0","     12.86","0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00003822","1957","32.13133","-81.2023","8.7","SAVANNAH HILTON HEAD INTERNATIONAL AIRPORT, GA US","","","   1225.5","","    1225.5","0","       131","0","        95","0","        20","0","        0","","         0","0","         0","0","        18","0","         0","0","       258","0","        60","0","       178"," ","","","        62"," ","   -8.3","0,1213,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  96.0"," ,0,0727, ","   36.7","0,0813, ","","","0.0","0,1029","-2.2","0,1201","-4.4","0,1211","-6.7","0,1212","","","-1.1","0,0310","-8.3","0,0119","-8.3","0,0119","-8.3","0,0119","","","     844.3","3","","","     844.3","0","","","","","","","","","","","","","","","   1625.9"," ,0","","","        0"," ,0","     19.06","0","     24.67","0","     13.45","0","","","","","","","","","","","","","","","","","","","","","","","",""
