"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SAM00040405","1996","26.3","43.767","648.0","GASSIM, SA","","","","","         0","S","       294","S","       183","S","","","   47.0","S,0820, ","     33.34","S","",""
"SAM00040405","2001","26.3","43.767","648.0","GASSIM, SA","","","","","         0","S","       300","S","       209","S","","","   49.0","S,0810, ","     34.44","S","",""
"SAM00040405","2002","26.3","43.767","648.0","GASSIM, SA","","","","","         0","S","       297","S","       196","S","","","   48.4","S,0722, ","     33.81","S","",""
"SAM00040405","2003","26.3","43.767","648.0","GASSIM, SA","","","","","         0","S","       315","S","       202","S","","","   48.4","S,0810, ","     34.11","S","",""
"SAM00040405","2004","26.3","43.767","648.0","GASSIM, SA","","","","","         0","S","       298","S","       209","S","","","   46.5","S,0803, ","     33.72","S","",""
"SAM00040405","2005","26.3","43.767","648.0","GASSIM, SA","","","","","         0","S","       307","S","       209","S","","","   47.8","S,0722, ","     33.44","S","",""
"SAM00040405","2007","26.3","43.767","648.0","GASSIM, SA","","","","","         0","S","       303","S","       199","S","","","   48.0","S,0901, ","     34.16","S","",""
"SAM00040405","2010","26.3","43.767","648.0","GASSIM, SA","         0","S","         0","S","","","","","","","    1.0","S,1228, ","","","","","     18.30","S"
"SAM00040405","2011","26.3","43.767","648.0","GASSIM, SA","","","","","         0","S","       305","S","       202","S","","","   48.4","S,0803, ","     33.54","S","",""
"SAM00040405","2012","26.3","43.767","648.0","GASSIM, SA","","","","","         0","S","       301","S","       208","S","","","   48.0","S,0723, ","     34.37","S","",""
"SAM00040405","2016","26.3","43.767","648.0","GASSIM, SA","","","","","         0","S","       307","S","       204","S","","","   48.2","S,0806,+","     34.37","S","",""
"SAM00040405","2018","26.3","43.767","648.0","GASSIM, SA","","","","","         0","S","       310","S","       204","S","","","   48.3","S,0710, ","     34.10","S","",""
"SAM00040405","2019","26.3","43.767","648.0","GASSIM, SA","","","","","         0","S","       311","S","       189","S","","","   47.0","S,0903,+","     33.56","S","",""
"SAM00040405","2020","26.3","43.767","648.0","GASSIM, SA","","","","","         0","S","       306","S","       183","S","","","   47.2","S,0731,+","     32.82","S","",""
"SAM00040405","2022","26.3","43.767","648.0","GASSIM, SA","","","","","         0","S","       297","S","       206","S","","","   46.0","S,0811,+","     33.13","S","",""
