"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"JA000047606","1962","36.8","137.05","13.0","FUSHIKI, JA","    727.1","","     727.1","I","       207","I","       135","I","        19","I","         0","I","        33","I","         0","I","       145","I","        18","I","   -4.0","I,0214, ","  86.8"," ,I,0609, ","   37.8","I,0803, ","-0.2","I,1225","","","","","","","-0.2","I,0325","-2.6","I,0217","","","","","    2004.1","1","    2004.1","I","   2073.8"," ,I","     14.23","I","     17.97","I","     10.49","I"
"JA000047606","1963","36.8","137.05","13.0","FUSHIKI, JA","    685.7","","     685.7","I","       213","I","       165","I","        26","I","         0","I","        60","I","         4","I","       136","I","        15","I","   -4.9","I,0214, "," 144.2"," ,I,0603, ","   37.1","I,0727, ","0.0","I,1220","","","","","","","-0.8","I,0403","-2.8","I,0307","-4.9","I,0214","","","    2270.5","5","    2270.5","I","   2664.9"," ,I","     13.84","I","     17.47","I","     10.21","I"
"JA000047606","1964","36.8","137.05","13.0","FUSHIKI, JA","    741.2","","     741.2","I","       212","I","       158","I","        22","I","         0","I","        39","I","         0","I","       149","I","        20","I","   -4.1","I,0206, "," 160.6"," ,I,0718, ","   36.5","I,0811, ","-0.7","I,1205","","","","","","","-0.5","I,0324","-2.4","I,0227","","","","","    2084.3","3","    2084.3","I","   2526.8"," ,I","     14.23","I","     17.79","I","     10.67","I"
"JA000047606","1965","36.8","137.05","13.0","FUSHIKI, JA","    615.9","","     615.9","I","       206","I","       157","I","        26","I","         0","I","        62","I","         5","I","       153","I","         9","I","   -5.6","I,0118, ","  84.3"," ,I,0917, ","   37.5","I,0806, ","-0.5","I,1202","-2.4","I,1216","","","","","-1.7","I,0327","-2.9","I,0307","-5.6","I,0118","","","    2427.4","4","    2427.4","I","   2481.9"," ,I","     13.32","I","     17.27","I","      9.36","I"
"JA000047606","1966","36.8","137.05","13.0","FUSHIKI, JA","    656.3","","     656.3","I","       208","I","       159","I","        21","I","         0","I","        48","I","         1","I","       136","I","        19","I","   -5.0","I,0207,+","  70.9"," ,I,0712, ","   35.6","I,0820, ","-0.5","I,1123","-2.2","I,1231","","","","","-0.7","I,0327","-4.4","I,0224","-4.4","I,0224","","","    2284.3","3","    2284.3","I","   2366.5"," ,I","     13.72","I","     17.51","I","      9.93","I"
"JA000047606","1967","36.8","137.05","13.0","FUSHIKI, JA","    730.9","","     730.9","I","       205","I","       151","I","        26","I","         0","I","        67","I","         5","I","       147","I","        18","I","   -8.7","I,1231, ","  73.8"," ,I,0811, ","   36.0","I,0813, ","-0.2","I,1127","-2.5","I,1225","-6.7","I,1230","-6.7","I,1230","-0.7","I,0324","-3.2","I,0301","-5.2","I,0214","","","    2293.3","3","    2293.3","I","   2521.6"," ,I","     13.84","I","     17.55","I","     10.14","I"
"JA000047606","1968","36.8","137.05","13.0","FUSHIKI, JA","    623.5","","     623.5","I","       196","I","       151","I","        21","I","         0","I","        64","I","         0","I","       135","I","        15","I","   -6.4","I,0129, "," 141.0"," ,I,0828, ","   35.4","I,0720, ","-0.5","I,1222","","","","","","","-1.1","I,0319","-2.6","I,0311","-6.1","I,0224","","","    2484.6","6","    2484.6","I","   2175.0"," ,I","     13.59","I","     17.29","I","      9.89","I"
"JA000047606","1969","36.8","137.05","13.0","FUSHIKI, JA","    638.0","","     638.0","I","       212","I","       156","I","        31","I","         0","I","        50","I","         0","I","       140","I","        14","I","   -4.8","I,0116, ","  54.0"," ,I,0811, ","   35.0","I,0713, ","-0.9","I,1129","","","","","","","-0.4","I,0325","-3.0","I,0302","-4.7","I,0206","","","    2267.3","3","    2267.3","I","   2338.5"," ,I","     13.53","I","     17.35","I","      9.71","I"
"JA000047606","1970","36.8","137.05","13.0","FUSHIKI, JA","    701.6","","     701.6","I","       198","I","       156","I","        20","I","         0","I","        71","I","         1","I","       146","I","        15","I","   -5.9","I,0129, ","  69.0"," ,I,0906, ","   35.6","I,0902, ","-0.8","I,1130","-4.6","I,1228","-4.6","I,1228","","","-1.4","I,0331","-2.4","I,0323","-5.9","I,0129","","","    2501.4","4","    2501.4","I","   2259.0"," ,I","     13.40","I","     17.00","I","      9.79","I"
"JA000047606","1971","36.8","137.05","13.0","FUSHIKI, JA","    673.7","","     673.7","I","       195","I","       143","I","        28","I","         0","I","        56","I","         1","I","       142","I","        18","I","   -5.0","I,0202, ","  94.5"," ,I,0726, ","   37.0","I,0708, ","-0.5","I,1209","-2.2","I,1230","","","","","-0.4","I,0325","-3.7","I,0315","-4.4","I,0307","","","    2392.9","9","    2392.9","I","   2371.5"," ,I","     13.64","I","     17.40","I","      9.89","I"
