"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"KSM00047105","1975","37.771","128.868","26.1","GANGNEUNG, KS","         6","S","       121","S","        15","S","   36.0","S,0804, ","     16.86","S"
"KSM00047105","1976","37.771","128.868","26.1","GANGNEUNG, KS","        13","S","       128","S","         6","S","   34.0","S,0821, ","     16.86","S"
"KSM00047105","1977","37.771","128.868","26.1","GANGNEUNG, KS","        16","S","       132","S","        13","S","   38.0","S,0731, ","     17.48","S"
"KSM00047105","1978","37.771","128.868","26.1","GANGNEUNG, KS","         8","S","       154","S","        29","S","   39.0","S,0711, ","     18.52","S"
"KSM00047105","1979","37.771","128.868","26.1","GANGNEUNG, KS","         3","S","       151","S","        14","S","   35.0","S,0730,+","     18.40","S"
"KSM00047105","1980","37.771","128.868","26.1","GANGNEUNG, KS","        16","S","       139","S","        11","S","   35.0","S,0622, ","     16.97","S"
"KSM00047105","1981","37.771","128.868","26.1","GANGNEUNG, KS","        11","S","       131","S","        15","S","   36.0","S,0721,+","     16.83","S"
"KSM00047105","1982","37.771","128.868","26.1","GANGNEUNG, KS","         7","S","       158","S","        15","S","   34.7","S,0810,+","     17.82","S"
"KSM00047105","1983","37.771","128.868","26.1","GANGNEUNG, KS","        11","S","       135","S","        16","S","   37.6","S,0804, ","     17.29","S"
"KSM00047105","1986","37.771","128.868","26.1","GANGNEUNG, KS","        10","S","       117","S","        11","S","   35.8","S,0728, ","     16.16","S"
"KSM00047105","1987","37.771","128.868","26.1","GANGNEUNG, KS","         3","S","       155","S","         5","S","   36.9","S,0605, ","     17.83","S"
"KSM00047105","1988","37.771","128.868","26.1","GANGNEUNG, KS","         5","S","       151","S","         8","S","   34.7","S,0803, ","     17.30","S"
"KSM00047105","1989","37.771","128.868","26.1","GANGNEUNG, KS","         2","S","       142","S","        13","S","   36.7","S,0720, ","     17.75","S"
"KSM00047105","1990","37.771","128.868","26.1","GANGNEUNG, KS","         4","S","       147","S","        15","S","   35.4","S,0728, ","     17.95","S"
"KSM00047105","1991","37.771","128.868","26.1","GANGNEUNG, KS","         5","S","       154","S","         5","S","   35.2","S,0628, ","     17.47","S"
"KSM00047105","1992","37.771","128.868","26.1","GANGNEUNG, KS","         0","S","       138","S","        14","S","   37.4","S,0729, ","     17.55","S"
"KSM00047105","1993","37.771","128.868","26.1","GANGNEUNG, KS","         3","S","       132","S","         0","S","   31.8","S,0823,+","     16.42","S"
"KSM00047105","1994","37.771","128.868","26.1","GANGNEUNG, KS","         2","S","       151","S","        26","S","   39.3","S,0713, ","     18.68","S"
"KSM00047105","1995","37.771","128.868","26.1","GANGNEUNG, KS","         2","S","       142","S","        26","S","   36.5","S,0726, ","     17.84","S"
"KSM00047105","1996","37.771","128.868","26.1","GANGNEUNG, KS","         1","S","       135","S","        11","S","   35.7","S,0729, ","     17.02","S"
"KSM00047105","1997","37.771","128.868","26.1","GANGNEUNG, KS","         2","S","       153","S","        19","S","   36.2","S,0714, ","     17.98","S"
"KSM00047105","1998","37.771","128.868","26.1","GANGNEUNG, KS","         1","S","       159","S","        12","S","   34.1","S,0707, ","     18.36","S"
"KSM00047105","1999","37.771","128.868","26.1","GANGNEUNG, KS","         4","S","       150","S","        12","S","   35.0","S,0615, ","     18.03","S"
"KSM00047105","2000","37.771","128.868","26.1","GANGNEUNG, KS","         6","S","       146","S","        36","S","   36.6","S,0718, ","     18.48","S"
"KSM00047105","2001","37.771","128.868","26.1","GANGNEUNG, KS","         5","S","       158","S","        23","S","   36.1","S,0603, ","     18.41","S"
"KSM00047105","2004","37.771","128.868","26.1","GANGNEUNG, KS","         3","S","       155","S","        13","S","   36.2","S,0723, ","     18.74","S"
"KSM00047105","2008","37.771","128.868","26.1","GANGNEUNG, KS","         1","S","       161","S","        19","S","   36.8","S,0706, ","     18.09","S"
"KSM00047105","2009","37.771","128.868","26.1","GANGNEUNG, KS","         5","S","       167","S","        10","S","   34.1","S,0626, ","     17.69","S"
"KSM00047105","2010","37.771","128.868","26.1","GANGNEUNG, KS","        11","S","       149","S","        21","S","   37.1","S,0805, ","     17.32","S"
"KSM00047105","2011","37.771","128.868","26.1","GANGNEUNG, KS","         8","S","       147","S","        11","S","   35.2","S,0811, ","     16.82","S"
"KSM00047105","2012","37.771","128.868","26.1","GANGNEUNG, KS","        12","S","       159","S","        15","S","   35.6","S,0729, ","     16.90","S"
"KSM00047105","2013","37.771","128.868","26.1","GANGNEUNG, KS","         8","S","       150","S","        31","S","   36.1","S,0816, ","     17.95","S"
"KSM00047105","2014","37.771","128.868","26.1","GANGNEUNG, KS","         2","S","       157","S","        15","S","   36.1","S,0721, ","     17.90","S"
"KSM00047105","2015","37.771","128.868","26.1","GANGNEUNG, KS","         1","S","       162","S","        13","S","   36.8","S,0804,+","     18.24","S"
