"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"PMW00010719","1969","9.36667","-79.95","9.1","FORT SHERMAN, PM","","","","","","","","","","","","","","","","","","","","","         1"," ","        38"," ","","","","","","","","","","","","","","","","","",""
"PMW00010719","1970","9.36667","-79.95","9.1","FORT SHERMAN, PM","   3321.8","","    3321.8","X","       245","X","       167","X","        60","X","         0","X","         0","X","         0","X","       365","X","        69","X","         2"," ","       112"," ","   20.6","X,0117, "," 183.4"," ,X,1117, ","   34.4","X,0705, ","","","","","   4727.6"," ,X","     27.44","X","     30.35","X","     24.52","X"
"PMW00010719","1971","9.36667","-79.95","9.1","FORT SHERMAN, PM","","","","","","","","","","","","","","","","","","","","","         1"," ","        48"," ","","","","","","","       0.0","0","       0.0"," ","","","","","","","",""
