"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES"
"UKW00015035","1950","53.16667","-0.51667","72.2","WADDINGTON, UK","        81"," "
"UKW00015035","1951","53.16667","-0.51667","72.2","WADDINGTON, UK","        64"," "
