"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA006143465","1982","43.7667","-80.1667","427.0","HILLSBURGH, ON CA","       147","C","        83","C","         5","C","        13","C","        28","C","       166","C","        89","C","        78","C","         0","C","  -30.0","C,0112, ","   105"," ,C,1219, ","  42.8"," ,C,0613, ","   29.5","C,0707, ","0.0","C,0919","-4.0","C,1017","-4.5","C,1025","-7.0","C,1116","-11.5","C,1128","-2.0","C,0428","-5.0","C,0422","-5.0","C,0422","-8.5","C,0409","-9.5","C,0408","    954.8"," ,C","      902"," ,C","      5.37","C","     10.51","C","      0.23","C"
"CA006143465","1983","43.7667","-80.1667","427.0","HILLSBURGH, ON CA","       140","C","        68","C","         3","C","        14","C","","","","","","","","","","","","","   210"," ,C,1206, ","  40.2"," ,C,0730, ","","","","","","","","","","","","","","","","","","","","","","","    880.6"," ,C","     1158"," ,C","","","","","",""
"CA006143465","1984","43.7667","-80.1667","427.0","HILLSBURGH, ON CA","       139","C","        70","C","         2","C","        14","C","","","","","","","","","","","","","   140"," ,C,0227, ","  37.4"," ,C,0213, ","","","","","","","","","","","","","","","","","","","","","","","    775.4"," ,C","     1122"," ,C","","","","","",""
"CA006143465","1985","43.7667","-80.1667","427.0","HILLSBURGH, ON CA","       149","C","        72","C","         7","C","        16","C","","","","","","","","","","","","","   128"," ,C,0107, ","  46.7"," ,C,0826, ","","","","","","","","","","","","","","","","","","","","","","","    935.7"," ,C","     1335"," ,C","","","","","",""
"CA006143465","1986","43.7667","-80.1667","427.0","HILLSBURGH, ON CA","       129","C","        62","C","         7","C","         8","C","","","","","","","","","","","","","   100"," ,C,1120, ","  99.2"," ,C,0910, ","","","","","","","","","","","","","","","","","","","","","","","   1063.4"," ,C","      782"," ,C","","","","","",""
"CA006143465","1987","43.7667","-80.1667","427.0","HILLSBURGH, ON CA","       134","C","        75","C","         3","C","        22","C","","","","","","","","","","","","","   132"," ,C,0130, ","  45.6"," ,C,0719, ","","","","","","","","","","","","","","","","","","","","","","","    737.0"," ,C","     1528"," ,C","","","","","",""
"CA006143465","1988","43.7667","-80.1667","427.0","HILLSBURGH, ON CA","       137","C","        79","C","         3","C","        13","C","        16","C","       165","C","        78","C","        92","C","         8","C","  -26.5","C,0114, ","   130"," ,C,0219, ","  56.4"," ,C,0916, ","   35.0","C,0708,+","-1.0","C,1005","-2.5","C,1008","-7.5","C,1031","-7.5","C,1031","-9.0","C,1204","-2.5","C,0514","-2.5","C,0514","-5.0","C,0420","-17.5","C,0322","-17.5","C,0322","    831.0"," ,C","     1024"," ,C","      6.24","C","     11.29","C","      1.18","C"
"CA006143465","1989","43.7667","-80.1667","427.0","HILLSBURGH, ON CA","       102","C","        69","C","         5","C","        23","C","","","","","","","","","","","","","    90"," ,C,0316, ","  51.6"," ,C,0804, ","","","","","","","","","","","","","","","","","","","","","","","    709.9"," ,C","     1274"," ,C","","","","","",""
"CA006143465","1990","43.7667","-80.1667","427.0","HILLSBURGH, ON CA","       119","C","        72","C","         5","C","        14","C","","","","","        61","C","        89","C","         0","C","","","   166"," ,C,1203, ","  34.8"," ,C,1008, ","   31.5","C,0704, ","","","","","","","","","","","","","","","","","","","","","    860.5"," ,C","     1090"," ,C","","","     11.57","C","",""
"CA006143465","1991","43.7667","-80.1667","427.0","HILLSBURGH, ON CA","       119","C","        81","C","         6","C","        16","C","","","","","","","","","","","","","   130"," ,C,0214, ","  45.0"," ,C,0802, ","","","","","","","","","","","","","","","","","","","","","","","    899.6"," ,C","     1180"," ,C","","","","","",""
"CA006143465","1992","43.7667","-80.1667","427.0","HILLSBURGH, ON CA","","","","","","","         8","C","","","","","","","","","","","","","   135"," ,C,1116, ","","","","","","","","","","","","","","","","","","","","","","","","","   1009.0"," ,C","      785"," ,C","","","","","",""
