"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00045120","1969","36.98972","-120.92972","124.1","LOS BANOS DET RESV, CA US","    909.5","","     909.5","0","        46","0","        27","0","         3","0","        0","","         0","0","         0","0","         5","0","         0","0","       200","0","        82","0","   -1.1","0,0127,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  29.2"," ,0,0119, ","   39.4","0,0721, ","    2626.4","0","","","","","","","","","","","0.0","0,0205","","","","","    1510.8","8","    1510.8","0","     10.16","0","     21.86","0","    310.4"," ,0","        0"," ,0","     16.83","0","     22.86","0","     10.79","0","     92939","0"
"USC00045120","1970","36.98972","-120.92972","124.1","LOS BANOS DET RESV, CA US","    939.0","","     939.0","0","        61","0","        27","0","         0","0","        0","","         0","0","         0","0","         7","0","         0","0","       211","0","        93","0","   -2.8","0,0104, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  21.8"," ,0,1129, ","   41.7","0,0705, ","    2948.0","0","-0.6","0,1225","-2.2","0,1228","","","","","","","-1.1","0,0106","-2.8","0,0104","","","    1251.1","1","    1251.1","0","     10.34","0","     22.99","0","    217.5"," ,0","        0"," ,0","     17.32","0","     23.68","0","     10.97","0","     97142","0"
"USC00045120","1971","36.98972","-120.92972","124.1","LOS BANOS DET RESV, CA US","    863.8","","     863.8","0","        40","0","        15","0","         0","0","        0","","         0","0","         0","0","        12","0","         0","0","       180","0","        75","0","   -2.2","0,1221, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  16.8"," ,0,0414, ","   41.1","0,0811, ","    2895.1","0","-0.6","0,1210","-2.2","0,1221","","","","","","","-0.6","0,0302","","","","","    1559.8","8","    1559.8","0","      9.12","0","     22.06","0","    118.3"," ,0","        0"," ,0","     16.05","0","     22.36","0","      9.73","0","    103034","0"
"USC00045120","1972","36.98972","-120.92972","124.1","LOS BANOS DET RESV, CA US","    906.3","","     906.3","0","        49","0","        15","0","         1","0","        0","","         0","0","         0","0","        28","0","         1","0","       211","0","        79","0","   -5.0","0,1209, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  30.5"," ,0,1115, ","   43.3","0,0715, ","","","-5.0","0,1209","-5.0","0,1209","-5.0","0,1209","","","","","-3.9","0,0203","-3.9","0,0203","-4.4","0,0202","    1448.8","8","    1448.8","0","      9.51","0","     22.41","0","    166.4"," ,0","        0"," ,0","     16.65","0","     22.70","0","     10.60","0","",""
"USC00045120","1973","36.98972","-120.92972","124.1","LOS BANOS DET RESV, CA US","    931.9","","     931.9","0","        62","0","        29","0","         1","0","        0","","         0","0","         0","0","         3","0","         0","0","       199","0","        68","0","   -1.7","0,0107,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  27.9"," ,0,0211, ","   42.2","0,0628, ","    2761.2","0","","","","","","","","","","","-1.7","0,0107","","","","","    1555.3","3","    1555.3","0","     11.61","0","     24.52","0","    246.6"," ,0","        0"," ,0","     17.03","0","     22.84","0","     11.23","0","     94464","0"
"USC00045120","1974","36.98972","-120.92972","124.1","LOS BANOS DET RESV, CA US","","","","","        39","0","        19","0","         1","0","        0","","         0","0","         0","0","         7","0","","","","","","","   -1.1","0,0102, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  38.6"," ,0,1203, ","","","    2772.6","0","-0.6","0,1218","","","","","","","","","0.0","0,0127","","","","","","","","","     12.15","0","     25.27","0","    185.7"," ,0","        0"," ,0","","","","","     10.82","0","     88248","0"
"USC00045120","1975","36.98972","-120.92972","124.1","LOS BANOS DET RESV, CA US","    780.3","","     780.3","0","        54","0","        17","0","         1","0","        0","","         0","0","         0","0","        15","0","         0","0","       179","0","        74","0","   -2.2","0,1226,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  25.4"," ,0,0202, ","   42.8","0,0727, ","","","-0.6","0,1209","-2.2","0,1226","","","","","","","-1.1","0,0407","-2.2","0,0128","","","    1607.0","0","    1607.0","0","     11.09","0","     24.22","0","    144.3"," ,0","        0"," ,0","     15.96","0","     22.34","0","      9.57","0","     94363","0"
"USC00045120","1976","36.98972","-120.92972","124.1","LOS BANOS DET RESV, CA US","    864.7","","     864.7","0","        30","0","        19","0","         1","0","        0","","         0","0","         0","0","         6","0","         0","0","       217","0","        66","0","   -2.2","0,0102, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  26.7"," ,0,0929, ","   41.1","0,0727, ","    2875.3","0","0.0","0,1228","","","","","","","","","0.0","0,0206","-2.2","0,0102","","","    1398.1","1","    1398.1","0","     11.31","0","     24.10","0","    167.5"," ,0","        0"," ,0","     17.11","0","     23.23","0","     10.99","0","",""
"USC00045120","1977","36.98972","-120.92972","124.1","LOS BANOS DET RESV, CA US","    900.9","","     900.9","0","        35","0","        13","0","         1","0","        0","","         0","0","         0","0","         4","0","         0","0","       212","0","        78","0","   -1.7","0,0110, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  27.9"," ,0,1217, ","   42.8","0,0623, ","    2926.1","0","","","","","","","","","","","0.0","0,0119","","","","","    1383.9","9","    1383.9","0","     11.21","0","     24.02","0","    124.5"," ,0","        0"," ,0","     17.23","0","     23.49","0","     10.96","0","     98714","0"
"USC00045120","1978","36.98972","-120.92972","124.1","LOS BANOS DET RESV, CA US","    949.0","","     949.0","0","        57","0","        39","0","         0","0","        0","","         0","0","         0","0","        12","0","         0","0","       207","0","        74","0","   -3.9","0,1231, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  23.4"," ,0,0322, ","   41.7","0,0808,+","","","-0.6","0,1207","-2.8","0,1208","","","","","","","","","","","","","    1072.3","3","    1072.3","0","     11.36","0","     24.23","0","    351.3"," ,0","        0"," ,0","     17.30","0","     23.02","0","     11.59","0","     70671","0"
