"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UPM00033777","1939","47.567","31.333","34.0","VOZNESENSK, UP","        89","I","        49","I","         2","I","","","","","","","","","","","","","  32.9"," ,I,1025, ","","","","","","","","","","","","","","","","","","","    446.1"," ,I","","","",""
"UPM00033777","1940","47.567","31.333","34.0","VOZNESENSK, UP","        94","I","        49","I","         4","I","","","","","","","","","","","","","  49.3"," ,I,0524, ","","","","","","","","","","","","","","","","","","","    512.8"," ,I","","","",""
"UPM00033777","1942","47.567","31.333","34.0","VOZNESENSK, UP","        89","I","        46","I","         2","I","","","","","","","","","","","","","  31.2"," ,I,0615, ","","","","","","","","","","","","","","","","","","","    405.2"," ,I","","","",""
"UPM00033777","1946","47.567","31.333","34.0","VOZNESENSK, UP","        95","I","        44","I","         2","I","","","","","","","","","","","","","  28.6"," ,I,0529, ","","","","","","","","","","","","","","","","","","","    387.9"," ,I","","","",""
"UPM00033777","1947","47.567","31.333","34.0","VOZNESENSK, UP","        99","I","        49","I","         4","I","","","","","","","","","","","","","  46.1"," ,I,0716, ","","","","","","","","","","","","","","","","","","","    556.0"," ,I","","","",""
"UPM00033777","1948","47.567","31.333","34.0","VOZNESENSK, UP","        85","I","        35","I","         0","I","","","","","","","","","","","","","  19.2"," ,I,0614, ","","","","","","","","","","","","","","","","","","","    268.6"," ,I","","","",""
"UPM00033777","1949","47.567","31.333","34.0","VOZNESENSK, UP","        82","I","        46","I","         2","I","","","","","","","","","","","","","  57.1"," ,I,0721, ","","","","","","","","","","","","","","","","","","","    438.2"," ,I","","","",""
"UPM00033777","1950","47.567","31.333","34.0","VOZNESENSK, UP","       100","I","        39","I","         1","I","","","","","","","","","","","","","  28.4"," ,I,0821, ","","","","","","","","","","","","","","","","","","","    322.4"," ,I","","","",""
"UPM00033777","1953","47.567","31.333","34.0","VOZNESENSK, UP","        80","I","        45","I","         0","I","","","","","","","","","","","","","  22.0"," ,I,0213, ","","","","","","","","","","","","","","","","","","","    339.9"," ,I","","","",""
"UPM00033777","1954","47.567","31.333","34.0","VOZNESENSK, UP","        87","I","        42","I","         3","I","","","","","","","","","","","","","  47.5"," ,I,0923, ","","","","","","","","","","","","","","","","","","","    421.5"," ,I","","","",""
"UPM00033777","1955","47.567","31.333","34.0","VOZNESENSK, UP","       105","I","        49","I","         5","I","","","","","","","","","","","","","  87.6"," ,I,0701, ","","","","","","","","","","","","","","","","","","","    590.0"," ,I","","","",""
"UPM00033777","1957","47.567","31.333","34.0","VOZNESENSK, UP","        63","I","        32","I","         1","I","","","","","","","","","","","","","  34.0"," ,I,0916, ","","","","","","","","","","","","","","","","","","","    274.1"," ,I","","","",""
"UPM00033777","1958","47.567","31.333","34.0","VOZNESENSK, UP","        92","I","        48","I","         5","I","","","","","","","","","","","","","  33.4"," ,I,0830, ","","","","","","","","","","","","","","","","","","","    549.5"," ,I","","","",""
"UPM00033777","1959","47.567","31.333","34.0","VOZNESENSK, UP","        77","I","        39","I","         0","I","","","","","","","","","","","","","  25.2"," ,I,0928, ","","","","","","","","","","","","","","","","","","","    349.5"," ,I","","","",""
"UPM00033777","1960","47.567","31.333","34.0","VOZNESENSK, UP","        90","I","        56","I","         3","I","","","","","","","","","","","","","  28.8"," ,I,0527, ","","","","","","","","","","","","","","","","","","","    502.8"," ,I","","","",""
"UPM00033777","1964","47.567","31.333","34.0","VOZNESENSK, UP","        87","I","        33","I","         0","I","","","","","","","","","","","","","  24.0"," ,I,0524, ","","","","","","","","","","","","","","","","","","","    314.7"," ,I","","","",""
"UPM00033777","1966","47.567","31.333","34.0","VOZNESENSK, UP","       125","I","        73","I","         2","I","","","","","","","","","","","","","  36.8"," ,I,0708, ","","","","","","","","","","","","","","","","","","","    575.0"," ,I","","","",""
