"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN019100500","1957","28.25","74.917","291.0","CHURU, IN","        51","I","        25","I","         3","I","","","","","","","","","","","","","  75.9"," ,I,0711, ","","","","","    377.0"," ,I","","","",""
"IN019100500","1958","28.25","74.917","291.0","CHURU, IN","        46","I","        27","I","         4","I","","","","","","","","","","","","","  54.2"," ,I,0911, ","","","","","    329.6"," ,I","","","",""
"IN019100500","1959","28.25","74.917","291.0","CHURU, IN","        37","I","        25","I","         4","I","","","","","","","","","","","","","  55.8"," ,I,0802, ","","","","","    372.5"," ,I","","","",""
"IN019100500","1960","28.25","74.917","291.0","CHURU, IN","        28","I","        19","I","         4","I","","","","","","","","","","","","","  57.4"," ,I,0828, ","","","","","    306.8"," ,I","","","",""
"IN019100500","1961","28.25","74.917","291.0","CHURU, IN","        48","I","        27","I","         5","I","","","","","","","","","","","","","  65.0"," ,I,0622, ","","","","","    456.2"," ,I","","","",""
"IN019100500","1962","28.25","74.917","291.0","CHURU, IN","        37","I","        28","I","         3","I","","","","","","","","","","","","","  71.8"," ,I,0921, ","","","","","    363.5"," ,I","","","",""
"IN019100500","1963","28.25","74.917","291.0","CHURU, IN","        42","I","        28","I","         3","I","","","","","","","","","","","","","  72.3"," ,I,0902, ","","","","","    359.3"," ,I","","","",""
"IN019100500","1964","28.25","74.917","291.0","CHURU, IN","        42","I","        32","I","        11","I","","","","","","","","","","","","","  99.0"," ,I,0810, ","","","","","    687.7"," ,I","","","",""
"IN019100500","1965","28.25","74.917","291.0","CHURU, IN","        37","I","        24","I","         1","I","","","","","","","","","","","","","  32.0"," ,I,1017, ","","","","","    207.9"," ,I","","","",""
"IN019100500","1966","28.25","74.917","291.0","CHURU, IN","        44","I","        29","I","         9","I","","","","","","","","","","","","","  67.8"," ,I,0725, ","","","","","    507.4"," ,I","","","",""
"IN019100500","1967","28.25","74.917","291.0","CHURU, IN","        47","I","        27","I","         4","I","","","","","","","","","","","","","  43.6"," ,I,0819, ","","","","","    469.6"," ,I","","","",""
"IN019100500","1968","28.25","74.917","291.0","CHURU, IN","        30","I","        18","I","         4","I","","","","","","","","","","","","","  46.0"," ,I,0713, ","","","","","    330.1"," ,I","","","",""
"IN019100500","1969","28.25","74.917","291.0","CHURU, IN","        28","I","        17","I","         2","I","","","","","","","","","","","","","  34.0"," ,I,0814, ","","","","","    224.9"," ,I","","","",""
"IN019100500","1970","28.25","74.917","291.0","CHURU, IN","        48","I","        33","I","         6","I","","","","","","","","","","","","","  87.8"," ,I,0802, ","","","","","    565.8"," ,I","","","",""
"IN019100500","2016","28.25","74.917","291.0","CHURU, IN","","","","","","","","","","","         0","S","       357","S","       271","S","","","","","   50.2","S,0520,+","","","","","     36.35","S","",""
"IN019100500","2022","28.25","74.917","291.0","CHURU, IN","","","","","","","         0","S","         1","S","","","","","","","    0.0","S,1226, ","","","","","0.0","S,1226","","","","","     17.84","S"
"IN019100500","2023","28.25","74.917","291.0","CHURU, IN","","","","","","","","","","","         0","S","       338","S","       239","S","","","","","   45.7","S,0523,+","","","","","     33.95","S","",""
