"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087416","2006","-33.083","-68.417","653.0","SAN MARTIN, AR","         0","S","         6","S","   -2.0","S,0904, ","","","","","","","","","-2.0","S,0904","","","     10.76","S"
"ARM00087416","2007","-33.083","-68.417","653.0","SAN MARTIN, AR","         0","S","        40","S","   -7.4","S,0710, ","-1.6","S,0508","-4.4","S,0531","-4.4","S,0531","-7.4","S,0710","-0.3","S,0827","-2.6","S,0820","      9.47","S"
"ARM00087416","2009","-33.083","-68.417","653.0","SAN MARTIN, AR","         0","S","        17","S","   -4.0","S,0723, ","-0.5","S,0613","-2.2","S,0711","","","","","-1.5","S,0909","","","     10.57","S"
"ARM00087416","2010","-33.083","-68.417","653.0","SAN MARTIN, AR","         0","S","        23","S","   -6.5","S,0713, ","0.0","S,0627","-3.6","S,0712","-6.5","S,0713","","","-0.6","S,0830","-2.6","S,0802","     10.46","S"
"ARM00087416","2012","-33.083","-68.417","653.0","SAN MARTIN, AR","         0","S","        25","S","   -4.0","S,0703,+","-0.5","S,0605","-4.0","S,0606","","","","","-0.5","S,0812","","","     11.02","S"
"ARM00087416","2013","-33.083","-68.417","653.0","SAN MARTIN, AR","         0","S","        21","S","   -4.0","S,0723,+","-0.5","S,0516","-3.1","S,0620","","","","","-0.1","S,0929","-2.5","S,0917","     10.61","S"
"ARM00087416","2014","-33.083","-68.417","653.0","SAN MARTIN, AR","         0","S","        14","S","   -3.2","S,0724, ","-0.2","S,0524","-2.5","S,0706","","","","","-0.7","S,0813","","","     10.63","S"
"ARM00087416","2015","-33.083","-68.417","653.0","SAN MARTIN, AR","         0","S","        15","S","   -1.5","S,0717,+","-1.5","S,0619","","","","","","","-0.5","S,0815","","","     10.83","S"
"ARM00087416","2016","-33.083","-68.417","653.0","SAN MARTIN, AR","         0","S","         5","S","   -1.5","S,0717,+","-1.4","S,0611","","","","","","","","","","","     10.84","S"
"ARM00087416","2017","-33.083","-68.417","653.0","SAN MARTIN, AR","         0","S","        10","S","   -5.3","S,0717, ","-0.2","S,0607","-3.4","S,0619","-5.3","S,0717","","","-0.2","S,0813","","","     11.25","S"
"ARM00087416","2019","-33.083","-68.417","653.0","SAN MARTIN, AR","         0","S","        19","S","   -2.6","S,0809, ","-0.2","S,0618","-2.3","S,0705","","","","","-2.3","S,0903","-2.3","S,0903","     10.81","S"
"ARM00087416","2020","-33.083","-68.417","653.0","SAN MARTIN, AR","         0","S","        26","S","   -3.4","S,0820, ","0.0","S,0523","-2.5","S,0714","","","","","-0.4","S,1005","-2.6","S,0821","     10.91","S"
"ARM00087416","2021","-33.083","-68.417","653.0","SAN MARTIN, AR","         0","S","        16","S","   -3.9","S,0628, ","-0.3","S,0621","-3.9","S,0628","","","","","","","","","     10.71","S"
"ARM00087416","2022","-33.083","-68.417","653.0","SAN MARTIN, AR","         0","S","        11","S","   -2.1","S,0809, ","-0.9","S,0624","","","","","","","-2.1","S,0809","","","     10.54","S"
"ARM00087416","2023","-33.083","-68.417","653.0","SAN MARTIN, AR","         0","S","         9","S","   -3.1","S,0613, ","-1.0","S,0611","-3.1","S,0613","","","","","","","","","     11.64","S"
