"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00094150","1958","47.46667","-115.76667","1093.0","MULLAN PASS, ID US","","","","","","","","","","","","","","","","","","","","","","","","","        96"," ","","","        19"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00094150","1959","47.46667","-115.76667","1093.0","MULLAN PASS, ID US","     55.3","","      55.3","0","       176","0","       123","0","         4","0","      143","","        55","0","         7","0","       224","0","        30","0","        83","0","        14","0","       116"," ","","","        12"," ","  -25.6","0,0103, ","   787"," ,0,0221,+","   302"," ,0,0124, ","  37.3"," ,0,0905, ","   37.2","0,0731, ","0.0","0,0825","-2.2","0,0902","-5.0","0,1001","-11.7","0,1104","-11.7","0,1104","0.0","0,0729","-3.3","0,0530","-4.4","0,0511","-8.3","0,0410","-10.6","0,0315","    4361.6","6","    4361.6","0","   1110.5"," ,0","     4467"," ,0","      5.50","0","     12.45","0","     -1.45","0"
"USW00094150","1960","47.46667","-115.76667","1093.0","MULLAN PASS, ID US","     81.8","","      81.8","0","       154","0","        97","0","         2","0","      152","","        49","0","         7","0","       219","0","        48","0","       113","0","        19","0","       115"," ","","","         9"," ","  -24.4","0,0227, ","   914"," ,0,0316, ","   279"," ,0,0221, ","  51.3"," ,0,0801, ","   37.2","0,0718, ","0.0","0,0828","-3.3","0,0921","-4.4","0,1010","-8.9","0,1104","-8.9","0,1104","-1.1","0,0618","-2.2","0,0528","-5.0","0,0429","-6.7","0,0422","-10.0","0,0316","    4778.4","4","    4778.4","0","    955.8"," ,0","     4009"," ,0","      5.96","0","     13.10","0","     -1.18","0"
"USW00094150","1961","47.46667","-115.76667","1093.0","MULLAN PASS, ID US","    157.2","","     157.2","0","       174","0","       114","0","         7","0","      163","","        57","0","         2","0","       208","0","        26","0","       112","0","        25","0","       141"," ","","","        15"," ","  -23.3","0,1211, ","  1041"," ,0,1219, ","   483"," ,0,1217, ","  48.5"," ,0,1217, ","   40.0","0,0804, ","-1.1","0,0907","-2.8","0,0921","-6.1","0,1018","-7.2","0,1029","-12.8","0,1102","0.0","0,0528","-2.8","0,0503","-5.6","0,0420","-7.8","0,0405","-12.2","0,0305","    4181.7","7","    4181.7","0","   1124.1"," ,0","     4728"," ,0","      6.93","0","     13.76","0","      0.11","0"
"USW00094150","1962","47.46667","-115.76667","1093.0","MULLAN PASS, ID US","     54.3","","      54.3","0","       163","0","        97","0","         5","0","      128","","        31","0","        12","0","       186","0","        31","0","       100","0","         8","0","       125"," ","","","        12"," ","  -25.0","0,0121, ","  1194"," ,0,0305,+","   185"," ,0,0303, ","  41.1"," ,0,0107, ","   35.0","0,0816,+","-2.2","0,0908","-2.2","0,0908","-5.0","0,1115","-6.7","0,1123","-10.6","0,1129","-1.1","0,0605","-2.8","0,0530","-6.1","0,0330","-7.8","0,0329","-9.4","0,0314","    4552.3","3","    4552.3","0","   1041.1"," ,0","     2305"," ,0","      6.49","0","     13.16","0","     -0.18","0"
"USW00094150","1963","47.46667","-115.76667","1093.0","MULLAN PASS, ID US","    114.3","","     114.3","0","       162","0","        85","0","         3","0","      115","","        31","0","        10","0","       180","0","        31","0","       109","0","        20","0","       130"," ","","","        19"," ","  -30.0","0,0111, ","   635"," ,0,0202, ","   188"," ,0,0131, ","  41.7"," ,0,0203, ","   37.2","0,0806, ","0.0","0,1018","-2.2","0,1019","-4.4","0,1026","-11.1","0,1121","-11.1","0,1121","-0.6","0,0517","-3.3","0,0511","-4.4","0,0504","-7.2","0,0403","-9.4","0,0307","    4299.9","9","    4299.9","0","    868.1"," ,0","     2417"," ,0","      7.13","0","     14.03","0","      0.22","0"
"USW00094150","1964","47.46667","-115.76667","1093.0","MULLAN PASS, ID US","     33.0","","      33.0","0","       188","0","       128","0","         8","0","      171","","        73","0","         3","0","       208","0","        38","0","        85","0","         6","0","       176"," ","","","        14"," ","  -29.4","0,1217, ","  1473"," ,0,0315, ","   231"," ,0,0118, ","  86.1"," ,0,1222, ","   36.1","0,0712, ","-0.6","0,0909","-3.9","0,1003","-4.4","0,1027","-8.3","0,1114","-9.4","0,1116","-3.3","0,0628","-3.3","0,0628","-4.4","0,0525","-8.3","0,0418","-9.4","0,0417","    4376.6","6","    4376.6","0","   1409.8"," ,0","     5704"," ,0","      5.51","0","     11.92","0","     -0.90","0"
"USW00094150","1965","47.46667","-115.76667","1093.0","MULLAN PASS, ID US","     82.6","","      82.6","0","       162","0","        93","0","         5","0","      142","","        45","0","         1","0","       187","0","        29","0","        98","0","        11","0","       130"," ","         3"," ","        17"," ","  -20.6","0,0318, ","  1219"," ,0,0126,+","   287"," ,0,0124, ","  50.8"," ,0,0617, ","   36.1","0,0809, ","-1.7","0,0830","-4.4","0,0916","-4.4","0,0916","-6.7","0,1129","-10.6","0,1214","0.0","0,0629","-3.3","0,0518","-5.0","0,0418","-10.6","0,0328","-10.6","0,0328","    4510.7","7","    4510.7","0","    968.2"," ,0","     3601"," ,0","      6.73","0","     13.26","0","      0.20","0"
"USW00094150","1966","47.46667","-115.76667","1093.0","MULLAN PASS, ID US","     62.3","","      62.3","0","       172","0","       111","0","         3","0","      139","","        55","0","         1","0","       196","0","        31","0","       112","0","        10","0","       146"," ","         1"," ","        19"," ","  -20.6","0,0120, ","  1168"," ,0,0321,+","   168"," ,0,0102, ","  36.3"," ,0,1115, ","   36.1","0,0824, ","-1.1","0,1002","-2.8","0,1003","-4.4","0,1009","-6.7","0,1108","-9.4","0,1110","0.0","0,0613","-2.2","0,0523","-11.1","0,0419","-11.1","0,0419","-11.1","0,0419","    4254.9","9","    4254.9","0","   1067.1"," ,0","     4178"," ,0","      7.01","0","     13.65","0","      0.38","0"
"USW00094150","1967","47.46667","-115.76667","1093.0","MULLAN PASS, ID US","    185.0","","     185.0","0","       158","0","        97","0","         4","0","      135","","        48","0","         1","0","       189","0","        30","0","       122","0","        32","0","       146"," ","         4"," ","        12"," ","  -17.8","0,1213, ","   940"," ,0,0217, ","   213"," ,0,1205, ","  44.7"," ,0,0119, ","   37.2","0,0818, ","0.0","0,0913","-2.8","0,1024","-4.4","0,1102","-10.0","0,1125","-10.0","0,1125","-2.2","0,0526","-2.2","0,0526","-6.1","0,0424","-7.2","0,0415","-12.2","0,0312","    4178.5","5","    4178.5","0","    975.6"," ,0","     3518"," ,0","      7.45","0","     13.85","0","      1.05","0"
