"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MZ000067297","1971","-19.8","34.9","16.0","BEIRA, MZ","   2280.6","","    2280.6","Q","        84","Q","        51","Q","        14","Q","         0","Q","         0","Q","         0","Q","       365","Q","        34","Q","   13.0","Q,0628, "," 136.6"," ,Q,0102, ","   36.7","Q,0102, ","       0.2","2","       0.2","Q","   1136.3"," ,Q","     24.44","Q","     28.85","Q","     20.03","Q"
"MZ000067297","1972","-19.8","34.9","16.0","BEIRA, MZ","   2134.6","","    2134.6","Q","        95","Q","        61","Q","        17","Q","         0","Q","         0","Q","         0","Q","       365","Q","        26","Q","   10.5","Q,0906,+"," 115.5"," ,Q,0317, ","   36.0","Q,0902, ","       3.7","7","       3.7","Q","   1277.7"," ,Q","     24.05","Q","     28.48","Q","     19.62","Q"
"MZ000067297","1973","-19.8","34.9","16.0","BEIRA, MZ","   2231.4","","    2231.4","Q","       103","Q","        69","Q","        16","Q","         0","Q","         0","Q","         0","Q","       365","Q","        49","Q","   12.8","Q,0712, "," 107.3"," ,Q,1017, ","   36.7","Q,0127, ","       1.4","4","       1.4","Q","   1388.4"," ,Q","     24.56","Q","     28.35","Q","     20.77","Q"
"MZ000067297","1974","-19.8","34.9","16.0","BEIRA, MZ","   2179.5","","    2179.5","Q","       111","Q","        74","Q","        19","Q","         0","Q","         0","Q","         0","Q","       365","Q","        29","Q","   12.5","Q,0615, "," 115.1"," ,Q,0315, ","   34.7","Q,0129, ","       0.0","0","       0.0","Q","   1505.1"," ,Q","     24.49","Q","     28.42","Q","     20.56","Q"
"MZ000067297","1975","-19.8","34.9","16.0","BEIRA, MZ","   2262.5","","    2262.5","Q","       100","Q","        68","Q","        21","Q","         0","Q","         0","Q","         0","Q","       365","Q","        26","Q","   11.1","Q,0726, "," 203.6"," ,Q,0301, ","   36.2","Q,0511, ","       1.7","7","       1.7","Q","   1953.4"," ,Q","     24.31","Q","     28.25","Q","     20.37","Q"
"MZ000067297","1976","-19.8","34.9","16.0","BEIRA, MZ","   2185.7","","    2185.7","Q","       106","Q","        77","Q","        20","Q","         0","Q","         0","Q","         0","Q","       365","Q","        36","Q","   12.6","Q,0719, "," 260.3"," ,Q,0217, ","   40.2","Q,1124, ","       2.0","0","       2.0","Q","   1949.3"," ,Q","     24.56","Q","     28.64","Q","     20.48","Q"
"MZ000067297","1977","-19.8","34.9","16.0","BEIRA, MZ","   2359.1","","    2359.1","Q","       120","Q","        75","Q","        18","Q","         0","Q","         0","Q","         0","Q","       364","Q","        45","Q","   12.5","Q,0626, "," 193.3"," ,Q,0316, ","   36.5","Q,0207, ","       0.0","0","       0.0","Q","   1679.3"," ,Q","     24.95","Q","     29.01","Q","     20.88","Q"
"MZ000067297","1978","-19.8","34.9","16.0","BEIRA, MZ","   2401.9","","    2401.9","Q","       125","Q","        76","Q","        19","Q","         0","Q","         0","Q","         0","Q","       365","Q","        45","Q","   13.5","Q,0615, "," 125.3"," ,Q,0315, ","   35.2","Q,0106, ","       0.0","0","       0.0","Q","   1730.8"," ,Q","     24.93","Q","     28.89","Q","     20.97","Q"
"MZ000067297","1979","-19.8","34.9","16.0","BEIRA, MZ","   2362.6","","    2362.6","Q","       102","Q","        60","Q","        12","Q","         0","Q","         0","Q","         0","Q","       364","Q","        39","Q","   13.0","Q,0806,+"," 112.5"," ,Q,0302, ","   38.0","Q,1225, ","       0.0","0","       0.0","Q","   1200.0"," ,Q","     24.77","Q","     28.81","Q","     20.72","Q"
"MZ000067297","1980","-19.8","34.9","16.0","BEIRA, MZ","   2367.1","","    2367.1","Q","       105","Q","        65","Q","        15","Q","         0","Q","         0","Q","         0","Q","       364","Q","        47","Q","   12.0","Q,0626,+"," 101.8"," ,Q,0910, ","   35.2","Q,0417, ","       1.4","4","       1.4","Q","   1218.1"," ,Q","     24.69","Q","     28.73","Q","     20.65","Q"
"MZ000067297","1981","-19.8","34.9","16.0","BEIRA, MZ","   2241.5","","    2241.5","Q","       103","Q","        74","Q","        20","Q","         0","Q","         0","Q","         0","Q","       357","Q","        38","Q","   11.0","Q,0802, "," 118.8"," ,Q,0305, ","   35.0","Q,1106,+","       3.5","5","       3.5","Q","   1621.4"," ,Q","     24.10","Q","     28.11","Q","     20.09","Q"
"MZ000067297","1982","-19.8","34.9","16.0","BEIRA, MZ","   2096.2","","    2096.2","Q","       104","Q","        65","Q","        16","Q","         0","Q","         0","Q","         0","Q","       362","Q","        25","Q","   11.6","Q,0713, "," 113.0"," ,Q,0220, ","   35.5","Q,1211, ","       0.7","7","       0.7","Q","   1297.2"," ,Q","     24.32","Q","     28.28","Q","     20.36","Q"
"MZ000067297","1983","-19.8","34.9","16.0","BEIRA, MZ","   2282.7","","    2282.7","Q","        83","Q","        49","Q","        14","Q","         0","Q","         0","Q","         0","Q","       364","Q","        48","Q","   11.5","Q,0711, "," 108.9"," ,Q,1115, ","   35.0","Q,0923, ","       0.0","0","       0.0","Q","   1184.2"," ,Q","     24.80","Q","     29.19","Q","     20.42","Q"
"MZ000067297","1984","-19.8","34.9","16.0","BEIRA, MZ","   2299.4","","    2299.4","Q","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MZ000067297","1985","-19.8","34.9","16.0","BEIRA, MZ","","","","","       123","Q","        91","Q","        17","Q","         0","Q","         0","Q","         0","Q","       365","Q","        29","Q","   11.8","Q,0614, "," 140.0"," ,Q,0321, ","   36.5","Q,0209, ","       0.8","8","       0.8","Q","   1700.7"," ,Q","     24.60","Q","     28.63","Q","     20.57","Q"
"MZ000067297","1986","-19.8","34.9","16.0","BEIRA, MZ","   2360.6","","    2360.6","Q","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MZ000067297","1987","-19.8","34.9","16.0","BEIRA, MZ","","","","","        93","Q","        67","Q","        12","Q","         0","Q","         0","Q","         0","Q","       365","Q","        80","Q","   11.5","Q,0619, "," 103.0"," ,Q,0127, ","   38.0","Q,1212, ","       1.3","3","       1.3","Q","   1058.3"," ,Q","     25.28","Q","     29.49","Q","     21.06","Q"
"MZ000067297","1988","-19.8","34.9","16.0","BEIRA, MZ","   2555.8","","    2555.8","Q","       115","Q","        87","Q","        22","Q","         0","Q","         0","Q","         0","Q","       366","Q","        36","Q","   10.5","Q,0802, "," 112.3"," ,Q,0126, ","   36.2","Q,0408, ","       0.0","0","       0.0","Q","   1768.3"," ,Q","     24.96","Q","     28.88","Q","     21.03","Q"
"MZ000067297","1989","-19.8","34.9","16.0","BEIRA, MZ","   2265.0","","    2265.0","Q","       101","Q","        64","Q","        11","Q","         0","Q","         0","Q","         0","Q","       363","Q","        28","Q","   13.3","Q,0802, ","  60.0"," ,Q,1026, ","   38.0","Q,1003, ","       0.0","0","       0.0","Q","    980.0"," ,Q","     24.85","Q","     28.97","Q","     20.73","Q"
"MZ000067297","1990","-19.8","34.9","16.0","BEIRA, MZ","   2425.4","","    2425.4","Q","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
