"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00200715","1891","44.61667","-86.16667","253.6","BENZONIA, MI US","","","","","","","","","         2"," ","","","","","","","","","","","",""
"USC00200715","1893","44.61667","-86.16667","253.6","BENZONIA, MI US","","","","","","","","","         1"," ","","","","","","","","","","","",""
"USC00200715","1902","44.61667","-86.16667","253.6","BENZONIA, MI US","","","","","","","","","","","","","","","    4037.0","0","    4037.0","6","","","",""
"USC00200715","1903","44.61667","-86.16667","253.6","BENZONIA, MI US","","","","","","","        34","6","","","   254"," ,6,0111, ","","","","","","","","","     2189"," ,6"
"USC00200715","1904","44.61667","-86.16667","253.6","BENZONIA, MI US","        97","6","        69","6","         4","6","","","","","","","  37.8"," ,6,0704, ","","","","","    756.7"," ,6","",""
"USC00200715","1905","44.61667","-86.16667","253.6","BENZONIA, MI US","       110","6","        86","6","         2","6","        30","6","","","   152"," ,6,0124,+","  35.6"," ,6,0819, ","","","","","    763.0"," ,6","     1930"," ,6"
"USC00200715","1907","44.61667","-86.16667","253.6","BENZONIA, MI US","","","","","","","","","         1"," ","","","","","","","","","","","",""
