"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IRM00040800","1958","32.751","51.862","1545.9","ESFAHAN SHAHID BEHESHTI INTERNATIONAL, IR","","","","","","","         0","S","        66","S","         0","S","       226","S","       103","S","   -7.8","S,1124,+","","","   40.0","S,0726,+","0.0","S,1109","-2.2","S,1116","-5.0","S,1118","-7.8","S,1123","0.0","S,0227","-3.9","S,0211","-5.0","S,0210","-7.2","S,0208","    1546.8","8","    1546.8","S","","","     16.92","S","     24.29","S","      9.56","S"
"IRM00040800","2004","32.751","51.862","1545.9","ESFAHAN SHAHID BEHESHTI INTERNATIONAL, IR","        30","S","        18","S","         1","S","","","","","","","","","","","","","  27.7"," ,S,0114, ","","","","","","","","","","","","","","","","","","","","","","","    157.9"," ,S","","","","","",""
"IRM00040800","2007","32.751","51.862","1545.9","ESFAHAN SHAHID BEHESHTI INTERNATIONAL, IR","        30","S","        17","S","         1","S","","","","","","","","","","","","","  50.0"," ,S,0726, ","","","","","","","","","","","","","","","","","","","","","","","    205.6"," ,S","","","","","",""
"IRM00040800","2009","32.751","51.862","1545.9","ESFAHAN SHAHID BEHESHTI INTERNATIONAL, IR","        37","S","        18","S","         1","S","","","","","","","","","","","","","  30.0"," ,S,0228, ","","","","","","","","","","","","","","","","","","","","","","","    183.3"," ,S","","","","","",""
"IRM00040800","2011","32.751","51.862","1545.9","ESFAHAN SHAHID BEHESHTI INTERNATIONAL, IR","        32","S","        17","S","         3","S","","","","","","","","","","","","","  43.7"," ,S,0813, ","","","","","","","","","","","","","","","","","","","","","","","    217.6"," ,S","","","","","",""
"IRM00040800","2012","32.751","51.862","1545.9","ESFAHAN SHAHID BEHESHTI INTERNATIONAL, IR","        41","S","        20","S","         0","S","","","","","","","","","","","","","  21.6"," ,S,0202, ","","","","","","","","","","","","","","","","","","","","","","","    208.0"," ,S","","","","","",""
"IRM00040800","2013","32.751","51.862","1545.9","ESFAHAN SHAHID BEHESHTI INTERNATIONAL, IR","        27","S","         9","S","         0","S","","","","","","","","","","","","","  16.0"," ,S,0307, ","","","","","","","","","","","","","","","","","","","","","","","     88.2"," ,S","","","","","",""
"IRM00040800","2014","32.751","51.862","1545.9","ESFAHAN SHAHID BEHESHTI INTERNATIONAL, IR","        34","S","        17","S","         0","S","","","","","","","","","","","","","  22.6"," ,S,0312, ","","","","","","","","","","","","","","","","","","","","","","","    162.0"," ,S","","","","","",""
"IRM00040800","2015","32.751","51.862","1545.9","ESFAHAN SHAHID BEHESHTI INTERNATIONAL, IR","        33","S","        12","S","         0","S","","","","","","","","","","","","","  13.7"," ,S,0508, ","","","","","","","","","","","","","","","","","","","","","","","     87.7"," ,S","","","","","",""
"IRM00040800","2016","32.751","51.862","1545.9","ESFAHAN SHAHID BEHESHTI INTERNATIONAL, IR","        18","S","         7","S","         0","S","","","","","","","","","","","","","  13.5"," ,S,0415, ","","","","","","","","","","","","","","","","","","","","","","","     54.7"," ,S","","","","","",""
"IRM00040800","2017","32.751","51.862","1545.9","ESFAHAN SHAHID BEHESHTI INTERNATIONAL, IR","        27","S","        10","S","         0","S","","","","","","","","","","","","","  14.7"," ,S,0508, ","","","","","","","","","","","","","","","","","","","","","","","     78.0"," ,S","","","","","",""
"IRM00040800","2018","32.751","51.862","1545.9","ESFAHAN SHAHID BEHESHTI INTERNATIONAL, IR","        43","S","        13","S","         1","S","","","","","","","","","","","","","  29.2"," ,S,1125, ","","","","","","","","","","","","","","","","","","","","","","","    126.4"," ,S","","","","","",""
"IRM00040800","2019","32.751","51.862","1545.9","ESFAHAN SHAHID BEHESHTI INTERNATIONAL, IR","        47","S","        19","S","         1","S","","","","","","","","","","","","","  39.9"," ,S,0326, ","","","","","","","","","","","","","","","","","","","","","","","    174.7"," ,S","","","","","",""
"IRM00040800","2020","32.751","51.862","1545.9","ESFAHAN SHAHID BEHESHTI INTERNATIONAL, IR","        41","S","        21","S","         0","S","","","","","","","","","","","","","  10.9"," ,S,1206, ","","","","","","","","","","","","","","","","","","","","","","","    129.0"," ,S","","","","","",""
"IRM00040800","2021","32.751","51.862","1545.9","ESFAHAN SHAHID BEHESHTI INTERNATIONAL, IR","        23","S","         9","S","         0","S","","","","","","","","","","","","","  11.2"," ,S,0219, ","","","","","","","","","","","","","","","","","","","","","","","     68.4"," ,S","","","","","",""
"IRM00040800","2022","32.751","51.862","1545.9","ESFAHAN SHAHID BEHESHTI INTERNATIONAL, IR","        34","S","         9","S","         0","S","","","","","","","","","","","","","  12.7"," ,S,1103, ","","","","","","","","","","","","","","","","","","","","","","","     88.0"," ,S","","","","","",""
"IRM00040800","2023","32.751","51.862","1545.9","ESFAHAN SHAHID BEHESHTI INTERNATIONAL, IR","        31","S","        13","S","         1","S","","","","","         0","S","       234","S","       124","S","","","  51.8"," ,S,0215, ","   42.9","S,0722, ","","","","","","","","","","","","","","","","","","","","","    168.1"," ,S","","","     26.59","S","",""
"IRM00040800","2024","32.751","51.862","1545.9","ESFAHAN SHAHID BEHESHTI INTERNATIONAL, IR","        30","S","        13","S","         0","S","","","","","","","","","","","","","  20.8"," ,S,0502, ","","","","","","","","","","","","","","","","","","","","","","","    138.2"," ,S","","","","","",""
