"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"FMW00040502","1946","7.46667","151.85","2.1","TRUK ISLAND CAROLINE ISLANDS, FM FM","","","","","","","","","         2"," ","","","",""
"FMW00040502","1948","7.46667","151.85","2.1","TRUK ISLAND CAROLINE ISLANDS, FM FM","       217","X","       178","X","        38","X","","","",""," 137.9"," ,X,1201, ","   3276.6"," ,X"
"FMW00040502","1949","7.46667","151.85","2.1","TRUK ISLAND CAROLINE ISLANDS, FM FM","","","","","","","","","         1"," ","","","",""
"FMW00040502","1950","7.46667","151.85","2.1","TRUK ISLAND CAROLINE ISLANDS, FM FM","","","","","","","         1"," ","         4"," ","","","",""
"FMW00040502","1951","7.46667","151.85","2.1","TRUK ISLAND CAROLINE ISLANDS, FM FM","","","","","","","","","         1"," ","","","",""
