"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00088111","1967","-37.2","144.4","472.4","MALMSBURY, AS","       107","a","        49","a","         2","a","         0","a","        54","a","   -7.3","a,0627, ","  26.4"," ,a,0610, ","-1.1","a,0424","-2.8","a,0427","-7.3","a,0627","-7.3","a,0627","-2.0","a,1004","-4.1","a,0831","    419.2"," ,a","      5.45","a"
"ASN00088111","1968","-37.2","144.4","472.4","MALMSBURY, AS","       149","a","        91","a","         5","a","","","","","","","  54.9"," ,a,0605, ","","","","","","","","","","","","","    923.2"," ,a","",""
