"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00061017","1898","-32.4022","151.7582","55.0","DUNGOG POST OFFICE, AS","       100","a","        63","a","        11","a","","","","","","","","","","","","","  61.0"," ,a,0506, ","","","","","","","   1009.0"," ,a","","","",""
"ASN00061017","1899","-32.4022","151.7582","55.0","DUNGOG POST OFFICE, AS","       119","a","        82","a","        14","a","","","","","","","","","","","","","  85.3"," ,a,0824, ","","","","","","","   1194.7"," ,a","","","",""
"ASN00061017","1900","-32.4022","151.7582","55.0","DUNGOG POST OFFICE, AS","        88","a","        65","a","         6","a","","","","","","","","","","","","","  47.0"," ,a,0724, ","","","","","","","    719.3"," ,a","","","",""
"ASN00061017","1901","-32.4022","151.7582","55.0","DUNGOG POST OFFICE, AS","        84","a","        58","a","         4","a","","","","","","","","","","","","","  84.6"," ,a,1010, ","","","","","","","    613.6"," ,a","","","",""
"ASN00061017","1902","-32.4022","151.7582","55.0","DUNGOG POST OFFICE, AS","        92","a","        65","a","         6","a","","","","","","","","","","","","","  57.2"," ,a,1013, ","","","","","","","    843.0"," ,a","","","",""
"ASN00061017","1906","-32.4022","151.7582","55.0","DUNGOG POST OFFICE, AS","        74","a","        50","a","         4","a","","","","","","","","","","","","","  81.3"," ,a,0831, ","","","","","","","    584.2"," ,a","","","",""
"ASN00061017","1907","-32.4022","151.7582","55.0","DUNGOG POST OFFICE, AS","        91","a","        60","a","         8","a","","","","","","","","","","","",""," 106.4"," ,a,0317, ","","","","","","","    788.4"," ,a","","","",""
"ASN00061017","1908","-32.4022","151.7582","55.0","DUNGOG POST OFFICE, AS","        74","a","        63","a","        12","a","","","","","","","","","","","","","  86.4"," ,a,0223, ","","","","","","","   1058.7"," ,a","","","",""
"ASN00061017","1909","-32.4022","151.7582","55.0","DUNGOG POST OFFICE, AS","        59","a","        51","a","        12","a","","","","","","","","","","","","","  73.7"," ,a,1225, ","","","","","","","    890.7"," ,a","","","",""
"ASN00061017","1910","-32.4022","151.7582","55.0","DUNGOG POST OFFICE, AS","        57","a","        50","a","         9","a","","","","","","","","","","","","","  57.2"," ,a,0312, ","","","","","","","    753.0"," ,a","","","",""
"ASN00061017","1911","-32.4022","151.7582","55.0","DUNGOG POST OFFICE, AS","        84","a","        61","a","        12","a","","","","","","","","","","","","","  89.7"," ,a,0824, ","","","","","","","   1087.5"," ,a","","","",""
"ASN00061017","1912","-32.4022","151.7582","55.0","DUNGOG POST OFFICE, AS","        76","a","        59","a","        12","a","","","","","","","","","","","","","  71.1"," ,a,1213, ","","","","","","","    979.4"," ,a","","","",""
"ASN00061017","1913","-32.4022","151.7582","55.0","DUNGOG POST OFFICE, AS","        84","a","        64","a","        18","a","","","","","","","","","","","","","  78.0"," ,a,0515, ","","","","","","","   1194.7"," ,a","","","",""
"ASN00061017","1914","-32.4022","151.7582","55.0","DUNGOG POST OFFICE, AS","        87","a","        71","a","        14","a","","","","","","","","","","","",""," 106.2"," ,a,0918, ","","","","","","","   1312.4"," ,a","","","",""
"ASN00061017","1916","-32.4022","151.7582","55.0","DUNGOG POST OFFICE, AS","        95","a","        70","a","        12","a","","","","","","","","","","","","","  65.8"," ,a,1002, ","","","","","","","    911.4"," ,a","","","",""
"ASN00061017","1917","-32.4022","151.7582","55.0","DUNGOG POST OFFICE, AS","        89","a","        63","a","         9","a","","","","","","","","","","","",""," 100.1"," ,a,1109, ","","","","","","","    919.8"," ,a","","","",""
"ASN00061017","1918","-32.4022","151.7582","55.0","DUNGOG POST OFFICE, AS","        75","a","        57","a","         8","a","","","","","","","","","","","","","  46.5"," ,a,0112, ","","","","","","","    721.2"," ,a","","","",""
"ASN00061017","1919","-32.4022","151.7582","55.0","DUNGOG POST OFFICE, AS","        81","a","        58","a","        12","a","","","","","","","","","","","",""," 109.5"," ,a,0310, ","","","","","","","   1032.9"," ,a","","","",""
"ASN00061017","1920","-32.4022","151.7582","55.0","DUNGOG POST OFFICE, AS","        89","a","        61","a","         7","a","","","","","","","","","","","","","  66.0"," ,a,1210, ","","","","","","","    824.9"," ,a","","","",""
"ASN00061017","1921","-32.4022","151.7582","55.0","DUNGOG POST OFFICE, AS","        96","a","        72","a","        18","a","","","","","","","","","","","","","  97.5"," ,a,0624, ","","","","","","","   1329.9"," ,a","","","",""
"ASN00061017","1922","-32.4022","151.7582","55.0","DUNGOG POST OFFICE, AS","        70","a","        58","a","        10","a","","","","","","","","","","","",""," 123.7"," ,a,0725, ","","","","","","","    948.6"," ,a","","","",""
"ASN00061017","1923","-32.4022","151.7582","55.0","DUNGOG POST OFFICE, AS","        75","a","        53","a","         9","a","","","","","","","","","","","","","  50.8"," ,a,0311, ","","","","","","","    769.6"," ,a","","","",""
"ASN00061017","1924","-32.4022","151.7582","55.0","DUNGOG POST OFFICE, AS","        92","a","        63","a","        10","a","","","","","","","","","","","",""," 162.6"," ,a,1208, ","","","","","","","   1064.5"," ,a","","","",""
"ASN00061017","1925","-32.4022","151.7582","55.0","DUNGOG POST OFFICE, AS","        93","a","        71","a","         7","a","","","","","","","","","","","","","  49.8"," ,a,1231, ","","","","","","","    902.3"," ,a","","","",""
"ASN00061017","1926","-32.4022","151.7582","55.0","DUNGOG POST OFFICE, AS","        79","a","        59","a","         9","a","","","","","","","","","","","","","  83.8"," ,a,1229, ","","","","","","","    959.8"," ,a","","","",""
"ASN00061017","1927","-32.4022","151.7582","55.0","DUNGOG POST OFFICE, AS","        95","a","        63","a","        13","a","","","","","","","","","","","",""," 132.8"," ,a,0416, ","","","","","","","   1205.7"," ,a","","","",""
"ASN00061017","1928","-32.4022","151.7582","55.0","DUNGOG POST OFFICE, AS","        96","a","        61","a","        11","a","","","","","","","","","","","",""," 107.4"," ,a,0728, ","","","","","","","    998.4"," ,a","","","",""
"ASN00061017","1929","-32.4022","151.7582","55.0","DUNGOG POST OFFICE, AS","        78","a","        49","a","        19","a","","","","","","","","","","","",""," 118.6"," ,a,0209, ","","","","","","","   1319.7"," ,a","","","",""
