"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00129430","1901","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    700.8","","     700.8","0","       109","0","        69","0","         6","0","       30","","         7","0","        11","0","       132","0","        46","0","       155","0","        45","0","         2"," ","","","  -23.9","0,1215, ","    51"," ,0,0214,+","    58"," ,0,0202, ","  75.7"," ,0,1012, ","   40.0","0,0724,+","-1.7","0,1005","-7.2","0,1104","-7.2","0,1104","-7.2","0,1104","-9.4","0,1205","0.0","0,0421","-2.8","0,0404","-6.1","0,0322","-6.7","0,0316","-16.1","0,0306","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    825.5"," ,0","      431"," ,0","     10.52","0","     16.34","0","      4.69","0"
"USC00129430","1902","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    444.0","","     444.0","0","       132","0","        88","0","         8","0","       44","","        15","0","        11","0","       117","0","        50","0","       161","0","        12","0","         5"," ","","","  -24.4","0,0203, ","   178"," ,0,0205,+","    97"," ,0,0202, ","  65.0"," ,0,0628, ","   33.3","0,0717,+","-2.8","0,1028","-2.8","0,1028","-4.4","0,1029","-7.2","0,1128","-9.4","0,1207","-0.6","0,0420","-3.9","0,0408","-5.6","0,0319","-11.7","0,0318","-11.7","0,0318","    3421.0","0","","","","","","","","","    3421.0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1161.0"," ,0","      902"," ,0","     10.57","0","     15.91","0","      5.24","0"
"USC00129430","1903","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","","","","","       119","0","        70","0","         8","0","       55","","        12","0","        16","0","       127","0","        45","0","       160","0","        17","0","         6"," ","","","  -25.0","0,0217, ","   203"," ,0,0208, ","   152"," ,0,0208, ","  81.3"," ,0,0804, ","   37.8","0,0710, ","-2.8","0,1018","-2.8","0,1018","-5.0","0,1027","-10.0","0,1118","-10.0","0,1118","-1.7","0,0501","-2.2","0,0423","-6.7","0,0404","-6.7","0,0404","-8.9","0,0301","    3017.9","9","","","","","","","","","    3017.9","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    855.9"," ,0","      906"," ,0","     10.13","0","     16.21","0","      4.05","0"
"USC00129430","1904","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","","","","","       111","0","        76","0","        10","0","       48","","        18","0","        20","0","       146","0","        48","0","       151","0","        10","0","         9"," ","","","  -26.7","0,0104,+","   254"," ,0,0126, ","   165"," ,0,0126, ","  55.4"," ,0,0326, ","   33.3","0,0717, ","-0.6","0,1023","-3.3","0,1028","-4.4","0,1111","-7.8","0,1126","-8.9","0,1130","-1.7","0,0421","-3.3","0,0420","-5.0","0,0417","-6.7","0,0327","-10.0","0,0226","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    992.7"," ,0","     1069"," ,0","      9.01","0","     15.24","0","      2.79","0"
"USC00129430","1905","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    502.8","","     502.8","0","       122","0","        71","0","        13","0","       45","","        15","0","        17","0","       136","0","        38","0","       163","0","        13","0","         1"," ","","","  -30.0","0,0214, ","   203"," ,0,0212, ","   127"," ,0,0215, ","  56.6"," ,0,1129, ","   35.0","0,0812, ","-1.7","0,1012","-2.2","0,1026","-6.1","0,1102","-7.8","0,1114","-12.2","0,1203","-1.1","0,0422","-2.2","0,0408","-5.0","0,0313","-10.0","0,0220","-10.0","0,0220","    3220.2","2","","","","","","","","","    3220.2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1108.4"," ,0","      939"," ,0","     10.12","0","     16.01","0","      4.22","0"
"USC00129430","1906","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","    579.3","","     579.3","0","       118","0","        87","0","        10","0","       27","","         8","0","         3","0","       134","0","        28","0","       168","0","        27","0","         9"," ","","","  -24.4","0,0207, ","   229"," ,0,0320,+","   140"," ,0,0319,+","  43.4"," ,0,0609, ","   35.0","0,0629, ","-1.1","0,1010","-6.7","0,1011","-6.7","0,1011","-6.7","0,1011","-10.0","0,1207","-0.6","0,0507","-2.2","0,0402","-5.0","0,0326","-7.8","0,0325","-9.4","0,0324","    2961.9","9","","","","","","","","","    2961.9","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1051.8"," ,0","      685"," ,0","     10.85","0","     16.84","0","      4.85","0"
"USC00129430","1907","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","","","","","       117","0","        85","0","        13","0","       14","","         9","0","","","","","","","","","","","         7"," ","","","","","   178"," ,0,0310, ","   185"," ,0,0310, ","  69.9"," ,0,0601, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1154.3"," ,0","      705"," ,0","","","","","",""
"USC00129430","1908","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","","","","","        93","0","        68","0","         7","0","       20","","         3","0","         2","0","       126","0","        26","0","       164","0","        37","0","         4"," ","","","  -18.9","0,0202, ","   254"," ,0,0221,+","   127"," ,0,0215, ","  44.5"," ,0,0507, ","   36.7","0,0816, ","0.0","0,1002","-2.2","0,1012","-6.1","0,1031","-8.3","0,1105","-8.9","0,1112","0.0","0,0502","-2.2","0,0404","-5.0","0,0403","-8.3","0,0229","-12.2","0,0228","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    823.1"," ,0","      368"," ,0","     11.16","0","     17.38","0","      4.94","0"
"USC00129430","1909","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","","","","","       122","0","        91","0","        10","0","       19","","        10","0","","","","","","","","","","","         2"," ","","","","","   127"," ,0,0113,+","   152"," ,0,1226, "," 102.4"," ,0,0812, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   1386.8"," ,0","      836"," ,0","","","","","",""
"USC00129430","1910","40.475","-86.9919","215.8","WEST LAFAYETTE 6 NW, IN US","","","","","       118","0","        72","0","         7","0","        5","","         6","0","         5","0","       124","0","        37","0","       162","0","        25","0","         4"," ","         1"," ","  -23.3","0,0218, ","    25"," ,0,1214,+","   122"," ,0,0217, ","  49.8"," ,0,0716, ","   35.6","0,0626,+","0.0","0,1023","-4.4","0,1029","-4.4","0,1029","-6.7","0,1106","-9.4","0,1119","-1.1","0,0425","-3.3","0,0424","-6.7","0,0315","-6.7","0,0315","-10.0","0,0226","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    826.8"," ,0","      426"," ,0","     10.27","0","     16.36","0","      4.17","0"
