"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00290989","1948","33.8","-108.33333","2073.9","YORK RANCH, NM US","        46","0","        25","0","         0","0","       14","","        12","0","","","","","","","","","","","         1"," ","         6"," ","","","   330"," ,0,0225, ","   330"," ,0,0225, ","  23.6"," ,0,0225, ","","","","","","","","","","","","","","","","","","","","","","","    218.1"," ,0","     1192"," ,0","","","","","",""
"USC00290989","1949","33.8","-108.33333","2073.9","YORK RANCH, NM US","","","","","","","","","","","","","","","","","","","","","         3"," ","        16"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00290989","1950","33.8","-108.33333","2073.9","YORK RANCH, NM US","        39","0","        27","0","         0","0","        0","","         1","0","         6","0","       198","0","         1","0","       204","0","        23","0","","","         3"," ","  -21.1","0,0106, ","     0"," ,0,1231,+","    25"," ,0,0114, ","  17.3"," ,0,0715, ","   35.6","0,0629, ","-0.6","0,0914","-4.4","0,1028","-4.4","0,1028","-6.7","0,1029","-11.1","0,1110","-2.8","0,0624","-2.8","0,0624","-5.6","0,0610","-10.0","0,0506","-10.0","0,0506","    192.2"," ,0","       25"," ,0","     10.23","0","     21.69","0","     -1.24","0"
"USC00290989","1951","33.8","-108.33333","2073.9","YORK RANCH, NM US","        36","0","        13","0","         0","0","","","         8","0","","","","","","","","","","","         2"," ","         1"," ","","","","","    76"," ,0,1208,+","  16.3"," ,0,1030, ","","","","","","","","","","","","","","","","","","","","","","","    126.1"," ,0","      383"," ,0","","","","","",""
"USC00290989","1952","33.8","-108.33333","2073.9","YORK RANCH, NM US","        56","0","        31","0","         1","0","","","         4","0","","","","","","","","","","","         2"," ","         7"," ","","","","","    51"," ,0,0318,+","  54.6"," ,0,0602, ","","","","","","","","","","","","","","","","","","","","","","","    271.3"," ,0","      199"," ,0","","","","","",""
"USC00290989","1953","33.8","-108.33333","2073.9","YORK RANCH, NM US","","","","","","","","","","","","","","","","","","","","","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00290989","1954","33.8","-108.33333","2073.9","YORK RANCH, NM US","        58","0","        34","0","         0","0","","","         3","0","","","","","","","","","","","         2"," ","        43"," ","","","","","    51"," ,0,0501,+","  22.9"," ,0,1008, ","","","","","","","","","","","","","","","","","","","","","","","    272.1"," ,0","      148"," ,0","","","","","",""
"USC00290989","1955","33.8","-108.33333","2073.9","YORK RANCH, NM US","","","","","","","","","         4","0","","","","","","","","","","","         1"," ","        22"," ","","","","","    76"," ,0,1204, ","","","","","","","","","","","","","","","","","","","","","","","","","    214.7"," ,0","      216"," ,0","","","","","",""
"USC00290989","1956","33.8","-108.33333","2073.9","YORK RANCH, NM US","        44","0","        22","0","         0","0","","","","","","","","","","","","","","","         2"," ","        55"," ","","","","","","","  16.0"," ,0,0801, ","","","","","","","","","","","","","","","","","","","","","","","    137.0"," ,0","","","","","","","",""
"USC00290989","1957","33.8","-108.33333","2073.9","YORK RANCH, NM US","","","","","","","","","","","","","","","","","","","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
