"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00368405","1895","40.61667","-78.15","232.0","SPRUCE CREEK, PA US","","","","","","","","","         3"," ","","","","","",""
"USC00368405","1941","40.61667","-78.15","232.0","SPRUCE CREEK, PA US","","","","","","","","","        18"," ","","","","","",""
"USC00368405","1942","40.61667","-78.15","232.0","SPRUCE CREEK, PA US","","","","","","","","","        42"," ","","","","","",""
"USC00368405","1943","40.61667","-78.15","232.0","SPRUCE CREEK, PA US","","","","","","","","","        23"," ","","","","","",""
"USC00368405","1944","40.61667","-78.15","232.0","SPRUCE CREEK, PA US","","","","","","","","","        32"," ","","","","","",""
"USC00368405","1945","40.61667","-78.15","232.0","SPRUCE CREEK, PA US","","","","","","","","","        30"," ","","","","","",""
"USC00368405","1946","40.61667","-78.15","232.0","SPRUCE CREEK, PA US","","","","","","","","","         6"," ","","","","","",""
"USC00368405","1947","40.61667","-78.15","232.0","SPRUCE CREEK, PA US","       114","6","        74","6","         7","6","","","","","","","  66.8"," ,6,0818, ","    915.4"," ,6"
"USC00368405","1948","40.61667","-78.15","232.0","SPRUCE CREEK, PA US","       130","0","        90","0","         8","0","","","","","","","  46.7"," ,0,0412, ","   1143.2"," ,0"
"USC00368405","1949","40.61667","-78.15","232.0","SPRUCE CREEK, PA US","","","","","","","       10","","","","   152"," ,0,0202,+","","","    907.0"," ,0"
"USC00368405","1951","40.61667","-78.15","232.0","SPRUCE CREEK, PA US","       123","0","        72","0","         7","0","","","","","","","  49.8"," ,0,0614, ","    957.5"," ,0"
"USC00368405","1952","40.61667","-78.15","232.0","SPRUCE CREEK, PA US","       130","0","        74","0","         9","0","       14","","","","   152"," ,0,0301, ","  61.0"," ,0,0901, ","   1039.9"," ,0"
