"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087506","1979","-35.494","-69.574","1430.1","MALARGUE, AR","        60","S","        38","S","         4","S","","","","","","","  54.1"," ,S,0813, ","","","","","","","","","","","","","","","","","","","","","    468.2"," ,S","",""
"ARM00087506","1996","-35.494","-69.574","1430.1","MALARGUE, AR","","","","","","","         0","S","        94","S","  -12.2","S,0628, ","","","0.0","S,0403","-5.1","S,0520","-5.1","S,0520","-8.9","S,0619","-8.9","S,0619","-1.3","S,1005","-2.2","S,0916","-5.6","S,0827","","","","","","","      3.87","S"
"ARM00087506","1999","-35.494","-69.574","1430.1","MALARGUE, AR","","","","","","","         0","S","        83","S","  -14.4","S,0716, ","","","-5.4","S,0416","-5.4","S,0416","-5.4","S,0416","-7.9","S,0609","-9.6","S,0715","-1.7","S,1004","-3.0","S,0910","-5.1","S,0909","-7.1","S,0817","-9.4","S,0814","","","      4.32","S"
"ARM00087506","2000","-35.494","-69.574","1430.1","MALARGUE, AR","","","","","","","         0","S","        91","S","  -15.1","S,0713, ","","","-0.6","S,0327","-4.2","S,0505","-5.8","S,0618","-6.8","S,0619","-8.9","S,0711","-2.9","S,1114","-2.9","S,1114","-4.9","S,0901","-10.2","S,0831","-10.2","S,0831","","","      4.28","S"
"ARM00087506","2001","-35.494","-69.574","1430.1","MALARGUE, AR","","","","","","","         0","S","        94","S","  -10.4","S,0619, ","","","-2.3","S,0424","-2.3","S,0424","-4.7","S,0601","-10.4","S,0619","-10.4","S,0619","-2.0","S,1124","-3.0","S,0914","-4.4","S,0816","","","","","","","      4.73","S"
"ARM00087506","2002","-35.494","-69.574","1430.1","MALARGUE, AR","","","","","","","         0","S","       100","S","   -9.7","S,0702, ","","","-0.4","S,0421","-3.0","S,0521","-4.8","S,0530","-7.5","S,0611","-9.5","S,0612","-3.0","S,1021","-3.0","S,1021","-5.0","S,0906","","","","","","","      3.81","S"
"ARM00087506","2004","-35.494","-69.574","1430.1","MALARGUE, AR","","","","","","","         0","S","        95","S","   -8.0","S,0611, ","","","-0.1","S,0419","-3.3","S,0423","-8.0","S,0611","-8.0","S,0611","","","-3.9","S,1105","-3.9","S,1105","-4.4","S,0823","","","","","","","      4.66","S"
"ARM00087506","2006","-35.494","-69.574","1430.1","MALARGUE, AR","","","","","","","         0","S","        86","S","  -10.6","S,0820, ","","","-0.1","S,0414","-3.5","S,0519","-6.0","S,0521","","","","","-0.9","S,1015","-4.2","S,1005","-5.9","S,0904","-10.6","S,0820","-10.6","S,0820","","","      4.61","S"
"ARM00087506","2010","-35.494","-69.574","1430.1","MALARGUE, AR","","","","","","","         0","S","       118","S","  -11.3","S,0718, ","","","-0.3","S,0403","-3.3","S,0413","-4.4","S,0422","-10.1","S,0712","-10.1","S,0712","-1.1","S,1212","-2.5","S,1002","-6.6","S,0816","-7.0","S,0815","-10.3","S,0802","","","      3.55","S"
"ARM00087506","2011","-35.494","-69.574","1430.1","MALARGUE, AR","","","","","","","         0","S","       108","S","  -16.0","S,0731, ","","","-1.0","S,0415","-2.5","S,0502","-4.4","S,0531","-10.4","S,0626","-10.4","S,0626","-1.3","S,1110","-2.3","S,1009","-4.4","S,0905","-7.5","S,0830","-14.0","S,0802","","","      3.41","S"
