"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00075046","1889","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        59","a","        42","a","         7","a","","","","","","","","","","","",""," 130.8"," ,a,1117, ","","","","","","","","","    683.1"," ,a","","","","","",""
"ASN00075046","1890","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        70","a","        55","a","         1","a","","","","","","","","","","","","","  45.2"," ,a,0331, ","","","","","","","","","    474.1"," ,a","","","","","",""
"ASN00075046","1891","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        57","a","        42","a","         2","a","","","","","","","","","","","","","  42.4"," ,a,0414, ","","","","","","","","","    423.6"," ,a","","","","","",""
"ASN00075046","1892","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        53","a","        39","a","         3","a","","","","","","","","","","","","","  46.2"," ,a,1017, ","","","","","","","","","    361.9"," ,a","","","","","",""
"ASN00075046","1893","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        49","a","        32","a","         2","a","","","","","","","","","","","","","  31.8"," ,a,1111, ","","","","","","","","","    304.5"," ,a","","","","","",""
"ASN00075046","1895","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        46","a","        23","a","         1","a","","","","","","","","","","","","","  31.0"," ,a,0218, ","","","","","","","","","    270.1"," ,a","","","","","",""
"ASN00075046","1896","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        39","a","        26","a","         0","a","","","","","","","","","","","","","  24.1"," ,a,0422, ","","","","","","","","","    219.1"," ,a","","","","","",""
"ASN00075046","1897","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        40","a","        19","a","         1","a","","","","","","","","","","","","","  52.3"," ,a,0109, ","","","","","","","","","    220.6"," ,a","","","","","",""
"ASN00075046","1898","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        56","a","        33","a","         2","a","","","","","","","","","","","","","  31.8"," ,a,1224, ","","","","","","","","","    296.2"," ,a","","","","","",""
"ASN00075046","1899","-35.0885","144.0349","72.0","MOULAMEIN POST OFFICE, AS","","","","","        47","a","        31","a","         0","a","","","","","","","","","","","","","  25.1"," ,a,1107, ","","","","","","","","","    321.7"," ,a","","","","","",""
