"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00144567","1952","38.93333","-95.26667","259.1","LAWRENCE KLWN, KS US","","","","","","","","","","","","","","","","","         1"," ","         3"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00144567","1953","38.93333","-95.26667","259.1","LAWRENCE KLWN, KS US","        78","6","        48","6","         2","6","","","","","        11","6","       169","6","        83","6","         6"," ","         9"," ","","","  35.1"," ,6,0517, ","   41.7","6,0611, ","","","","","","","","","","","","","","","","","","","","","    506.0"," ,6","     21.24","6","",""
"USC00144567","1954","38.93333","-95.26667","259.1","LAWRENCE KLWN, KS US","        69","6","        51","6","        13","6","         3","6","       115","6","","","","","","","         2"," ","","","  -20.6","6,0121, ","  50.8"," ,6,0806, ","","","-3.9","6,1030","-3.9","6,1030","-5.0","6,1031","-7.8","6,1102","-10.0","6,1202","0.0","6,0509","-3.9","6,0404","-5.6","6,0401","-6.7","6,0321","-10.6","6,0316","    844.5"," ,6","","","      7.14","6"
"USC00144567","1955","38.93333","-95.26667","259.1","LAWRENCE KLWN, KS US","        70","6","        43","6","         6","6","         4","6","       126","6","","","","","","","","","","","  -19.4","6,0212, ","  63.5"," ,6,0706, ","","","-1.1","6,1018","-2.2","6,1024","-8.9","6,1103","-8.9","6,1103","-8.9","6,1103","-0.6","6,0408","-3.3","6,0407","-5.0","6,0406","-8.9","6,0328","-8.9","6,0328","    608.0"," ,6","","","      5.83","6"
"USC00144567","1956","38.93333","-95.26667","259.1","LAWRENCE KLWN, KS US","        57","6","        44","6","         4","6","         4","6","       126","6","","","","","","","         4"," ","","","  -25.6","6,0203, ","  50.0"," ,6,0427, ","","","-1.7","6,1026","-6.7","6,1108","-6.7","6,1108","-6.7","6,1108","-9.4","6,1127","-3.3","6,0424","-3.3","6,0424","-5.6","6,0423","-7.2","6,0408","-9.4","6,0330","    606.8"," ,6","","","      5.93","6"
"USC00144567","1957","38.93333","-95.26667","259.1","LAWRENCE KLWN, KS US","","","","","","","         2","6","       110","6","","","","","","","         7"," ","","","  -22.8","6,0123, ","","","","","-3.9","6,0930","-3.9","6,0930","-5.6","6,1109","-8.3","6,1122","-9.4","6,1130","0.0","6,0415","-5.6","6,0413","-5.6","6,0413","-11.7","6,0308","-11.7","6,0308","","","","","      6.43","6"
"USC00144567","1958","38.93333","-95.26667","259.1","LAWRENCE KLWN, KS US","","","","","","","         4","6","       116","6","","","","","","","         6"," ","         3"," ","  -20.6","6,0216, ","","","","","-1.1","6,1001","-2.2","6,1027","-7.8","6,1126","-7.8","6,1126","-15.0","6,1128","0.0","6,0427","-3.9","6,0325","-5.6","6,0320","-6.7","6,0302","-12.8","6,0219","","","","","      5.65","6"
"USC00144567","1959","38.93333","-95.26667","259.1","LAWRENCE KLWN, KS US","","","","","","","         4","6","       113","6","","","","","","","","","","","  -27.8","6,0104, ","","","","","-0.6","6,1009","-3.3","6,1018","-10.6","6,1106","-10.6","6,1106","-10.6","6,1106","-0.6","6,0422","-7.2","6,0322","-7.2","6,0322","-7.2","6,0322","-12.8","6,0220","","","","","      5.73","6"
"USC00144567","1960","38.93333","-95.26667","259.1","LAWRENCE KLWN, KS US","","","","","","","        13","6","       127","6","","","","","","","         3"," ","","","  -22.8","6,0306,+","","","","","-5.6","6,1020","-5.6","6,1020","-5.6","6,1020","-10.6","6,1110","-10.6","6,1110","-1.1","6,0501","-7.2","6,0325","-7.2","6,0325","-7.2","6,0325","-12.8","6,0323","","","","","      4.87","6"
"USC00144567","1961","38.93333","-95.26667","259.1","LAWRENCE KLWN, KS US","","","","","","","         6","6","       121","6","","","","","","","","","","","  -28.9","6,1213, ","","","","","0.0","6,1001","-2.2","6,1020","-4.4","6,1103","-13.3","6,1210","-13.3","6,1210","-2.2","6,0502","-2.2","6,0502","-6.7","6,0225","-6.7","6,0225","-10.0","6,0219","","","","","      5.25","6"
"USC00144567","1962","38.93333","-95.26667","259.1","LAWRENCE KLWN, KS US","","","","","","","        15","6","       122","6","","","","","","","","","","","  -26.1","6,1226,+","","","","","-3.3","6,1025","-3.3","6,1025","-6.1","6,1105","-7.2","6,1124","-9.4","6,1206","-2.2","6,0416","-2.2","6,0416","-5.6","6,0413","-7.8","6,0316","-12.2","6,0306","","","","","      5.51","6"
"USC00144567","1963","38.93333","-95.26667","259.1","LAWRENCE KLWN, KS US","","","","","","","        19","6","       120","6","","","","","","","","","","","  -23.9","6,0123, ","","","","","-1.7","6,1029","-4.4","6,1102","-4.4","6,1102","-6.7","6,1113","-8.9","6,1210","-5.0","6,0501","-5.0","6,0501","-5.0","6,0501","-6.7","6,0309","-9.4","6,0301","","","","","      5.79","6"
