"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSND","DSND_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES"
"NOE00133867","1979","68.2358","14.4739","29.0","KONGSMARKA, NO","       26","","  1600"," ,E,0212, "
"NOE00133867","1980","68.2358","14.4739","29.0","KONGSMARKA, NO","       25","","  1030"," ,E,0204, "
"NOE00133867","1982","68.2358","14.4739","29.0","KONGSMARKA, NO","       10","","   600"," ,E,0315, "
"NOE00133867","1983","68.2358","14.4739","29.0","KONGSMARKA, NO","       22","","   700"," ,E,1212, "
"NOE00133867","1984","68.2358","14.4739","29.0","KONGSMARKA, NO","       18","","  1650"," ,E,0123, "
"NOE00133867","1985","68.2358","14.4739","29.0","KONGSMARKA, NO","       26","","   980"," ,E,0225, "
"NOE00133867","1986","68.2358","14.4739","29.0","KONGSMARKA, NO","       21","","  1620"," ,E,0303, "
"NOE00133867","1987","68.2358","14.4739","29.0","KONGSMARKA, NO","       21","","  1350"," ,E,0223, "
"NOE00133867","1988","68.2358","14.4739","29.0","KONGSMARKA, NO","       15","","  1100"," ,E,0502,+"
"NOE00133867","1989","68.2358","14.4739","29.0","KONGSMARKA, NO","       19","","  1050"," ,E,0306, "
"NOE00133867","1990","68.2358","14.4739","29.0","KONGSMARKA, NO","       17","","   550"," ,E,0305, "
"NOE00133867","1991","68.2358","14.4739","29.0","KONGSMARKA, NO","        5","","   450"," ,E,1230, "
"NOE00133867","1992","68.2358","14.4739","29.0","KONGSMARKA, NO","       24","","   900"," ,E,0113,+"
