"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00101105","1910","43.916667","-115.75","1472.2","BOULDER MINE, ID US","       100","6","        80","6","         2","6","        41","6","","","   318"," ,6,0119, ","  28.4"," ,6,1121, ","    792.7"," ,6","     4081"," ,6"
"USC00101105","1912","43.916667","-115.75","1472.2","BOULDER MINE, ID US","       119","6","        91","6","         4","6","","","","","","","  37.8"," ,6,0520, ","    915.0"," ,6","",""
"USC00101105","1913","43.916667","-115.75","1472.2","BOULDER MINE, ID US","","","","","","","        41","6","","","   686"," ,6,0112, ","","","","","     4494"," ,6"
"USC00101105","1914","43.916667","-115.75","1472.2","BOULDER MINE, ID US","","","","","","","        32","6","","","   249"," ,6,0121, ","","","","","     2681"," ,6"
"USC00101105","1915","43.916667","-115.75","1472.2","BOULDER MINE, ID US","       127","6","        86","6","         4","6","        37","6","","","   287"," ,6,0114, ","  32.8"," ,6,0513, ","    808.3"," ,6","     3820"," ,6"
"USC00101105","1916","43.916667","-115.75","1472.2","BOULDER MINE, ID US","       123","6","        84","6","         8","6","","","","","","","  40.4"," ,6,0206, ","    916.6"," ,6","",""
"USC00101105","1917","43.916667","-115.75","1472.2","BOULDER MINE, ID US","","","","","","","        46","6","","","   249"," ,6,0415, ","","","","","     4835"," ,6"
"USC00101105","1918","43.916667","-115.75","1472.2","BOULDER MINE, ID US","        94","6","        59","6","         1","6","","","","","","","  27.2"," ,6,0923, ","    565.3"," ,6","",""
"USC00101105","1920","43.916667","-115.75","1472.2","BOULDER MINE, ID US","       108","6","        73","6","         4","6","","","","","","","  60.7"," ,6,1227, ","    753.5"," ,6","",""
"USC00101105","1921","43.916667","-115.75","1472.2","BOULDER MINE, ID US","","","","","","","","","         2"," ","","","","","","","",""
"USC00101105","1922","43.916667","-115.75","1472.2","BOULDER MINE, ID US","       114","6","        74","6","         1","6","","","","","","","  29.0"," ,6,0526, ","    720.4"," ,6","",""
