"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00312280","1926","36.33333","-78.81667",,"DEEP CREEK, NC US","","","","","","","","","         1"," ","","","","","","","",""
"USC00312280","1928","36.33333","-78.81667",,"DEEP CREEK, NC US","        72","6","        64","6","        10","6","         0","6","","","     0"," ,6,1231,+","  85.1"," ,6,0918, ","   1006.2"," ,6","        0"," ,6"
"USC00312280","1929","36.33333","-78.81667",,"DEEP CREEK, NC US","        93","6","        93","6","        16","6","","","         1"," ","",""," 106.7"," ,6,1001, ","   1381.1"," ,6","",""
"USC00312280","1930","36.33333","-78.81667",,"DEEP CREEK, NC US","        76","6","        74","6","         7","6","         2","6","","","   457"," ,6,1217, ","  74.9"," ,6,0717, ","    936.5"," ,6","      622"," ,6"
"USC00312280","1931","36.33333","-78.81667",,"DEEP CREEK, NC US","        71","6","        70","6","         8","6","","","","","","","  74.9"," ,6,0520, ","   1089.8"," ,6","",""
"USC00312280","1932","36.33333","-78.81667",,"DEEP CREEK, NC US","        87","6","        86","6","        14","6","","","","","","","  81.8"," ,6,1017, ","   1152.3"," ,6","",""
"USC00312280","1933","36.33333","-78.81667",,"DEEP CREEK, NC US","        73","6","        71","6","         7","6","","","","","",""," 105.4"," ,6,0514, ","    939.5"," ,6","",""
"USC00312280","1934","36.33333","-78.81667",,"DEEP CREEK, NC US","        91","6","        83","6","        19","6","","","","","","","  78.7"," ,6,1129, ","   1412.4"," ,6","",""
"USC00312280","1935","36.33333","-78.81667",,"DEEP CREEK, NC US","        98","6","        88","6","        18","6","         4","6","","","   152"," ,6,1229, ","  71.6"," ,6,0906, ","   1194.4"," ,6","      338"," ,6"
"USC00312280","1936","36.33333","-78.81667",,"DEEP CREEK, NC US","        91","6","        89","6","        13","6","","","","","","","  70.1"," ,6,0318, ","   1182.1"," ,6","",""
"USC00312280","1937","36.33333","-78.81667",,"DEEP CREEK, NC US","       101","6","        91","6","        15","6","         4","6","","","   102"," ,6,0228, ","  67.3"," ,6,0803, ","   1316.4"," ,6","      295"," ,6"
"USC00312280","1938","36.33333","-78.81667",,"DEEP CREEK, NC US","        94","6","        83","6","        17","6","         1","6","","","    38"," ,6,0111, ","  74.9"," ,6,0727, ","   1417.2"," ,6","       56"," ,6"
"USC00312280","1939","36.33333","-78.81667",,"DEEP CREEK, NC US","        98","6","        90","6","        12","6","","","","","","","  62.2"," ,6,0819, ","   1245.6"," ,6","",""
"USC00312280","1940","36.33333","-78.81667",,"DEEP CREEK, NC US","        82","6","        78","6","        18","6","         2","6","","","   356"," ,6,0124, ","  76.2"," ,6,0618, ","   1201.0"," ,6","      478"," ,6"
"USC00312280","1941","36.33333","-78.81667",,"DEEP CREEK, NC US","        62","6","        57","6","         5","6","         1","6","","","    46"," ,6,0227, ","  43.2"," ,6,0903, ","    699.8"," ,6","       46"," ,6"
"USC00312280","1942","36.33333","-78.81667",,"DEEP CREEK, NC US","        96","6","        81","6","        20","6","         2","6","","","    38"," ,6,1217,+","  75.4"," ,6,0515, ","   1398.2"," ,6","       81"," ,6"
"USC00312280","1943","36.33333","-78.81667",,"DEEP CREEK, NC US","        74","6","        60","6","        11","6","         0","6","","","     8"," ,6,0321, ","  85.1"," ,6,0710, ","    896.7"," ,6","       19"," ,6"
"USC00312280","1944","36.33333","-78.81667",,"DEEP CREEK, NC US","        81","6","        74","6","        18","6","         2","6","","","   140"," ,6,0109, "," 101.6"," ,6,0929, ","   1332.9"," ,6","      217"," ,6"
