"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087641","2006","-36.833","-59.883","147.0","AZUL AERO, AR","         0","S","        47","S","   -7.2","S,0521, ","-1.0","S,0417","-3.6","S,0519","-5.6","S,0520","-7.2","S,0521","-2.4","S,0924","-2.4","S,0924","","","","","      6.85","S"
"ARM00087641","2008","-36.833","-59.883","147.0","AZUL AERO, AR","         0","S","        55","S","   -7.4","S,0818, ","-1.4","S,0412","-3.7","S,0415","-6.2","S,0601","","","-1.8","S,1008","-2.3","S,0915","-5.6","S,0905","-7.4","S,0818","      7.49","S"
"ARM00087641","2009","-36.833","-59.883","147.0","AZUL AERO, AR","         0","S","        62","S","   -7.8","S,0624, ","-0.4","S,0420","-2.6","S,0515","-4.6","S,0622","-7.8","S,0624","-0.4","S,1015","-2.2","S,0930","-5.5","S,0802","","","      7.13","S"
"ARM00087641","2010","-36.833","-59.883","147.0","AZUL AERO, AR","         0","S","        57","S","   -6.5","S,0810, ","-0.1","S,0405","-4.6","S,0507","-4.6","S,0507","","","-1.1","S,1023","-2.7","S,0830","-5.8","S,0815","","","      7.27","S"
"ARM00087641","2011","-36.833","-59.883","147.0","AZUL AERO, AR","         0","S","        52","S","   -6.3","S,0704, ","-2.9","S,0415","-2.9","S,0415","-4.4","S,0626","","","-0.4","S,1028","-3.4","S,0914","-4.9","S,0822","","","      7.02","S"
"ARM00087641","2012","-36.833","-59.883","147.0","AZUL AERO, AR","         0","S","        53","S","   -8.6","S,0730,+","-0.4","S,0422","-3.0","S,0424","-4.5","S,0607","-7.7","S,0703","-0.4","S,1011","-3.6","S,0926","","","","","      7.75","S"
"ARM00087641","2013","-36.833","-59.883","147.0","AZUL AERO, AR","         0","S","        59","S","   -7.8","S,0826, ","0.0","S,0507","-5.0","S,0608","-5.0","S,0608","","","-0.4","S,1025","-3.8","S,0925","-6.6","S,0827","-7.8","S,0826","      6.58","S"
"ARM00087641","2015","-36.833","-59.883","147.0","AZUL AERO, AR","         0","S","        38","S","   -5.9","S,0721, ","-2.5","S,0507","-2.5","S,0507","-5.6","S,0623","","","-0.6","S,1017","-3.0","S,0917","","","","","      8.05","S"
"ARM00087641","2016","-36.833","-59.883","147.0","AZUL AERO, AR","         0","S","        45","S","   -5.5","S,0620, ","-2.0","S,0428","-3.0","S,0605","-5.5","S,0620","","","-1.5","S,1028","-4.7","S,0904","-4.7","S,0904","","","      7.51","S"
"ARM00087641","2017","-36.833","-59.883","147.0","AZUL AERO, AR","         0","S","        23","S","   -5.2","S,0620, ","-0.1","S,0527","-3.9","S,0605","-5.0","S,0612","","","-1.1","S,0905","","","","","","","      8.85","S"
"ARM00087641","2018","-36.833","-59.883","147.0","AZUL AERO, AR","         0","S","        28","S","   -6.3","S,0624, ","0.0","S,0522","-2.5","S,0615","-6.3","S,0624","","","-0.7","S,0907","-2.2","S,0901","","","","","      8.36","S"
"ARM00087641","2019","-36.833","-59.883","147.0","AZUL AERO, AR","         0","S","        39","S","   -7.0","S,0814, ","0.0","S,0430","-3.0","S,0701","-6.0","S,0706","","","-2.4","S,1003","-2.4","S,1003","-4.5","S,0922","-7.0","S,0814","      7.16","S"
"ARM00087641","2020","-36.833","-59.883","147.0","AZUL AERO, AR","         0","S","        47","S","   -5.6","S,0729, ","-1.0","S,0512","-2.3","S,0514","-5.0","S,0614","","","-1.0","S,1006","-4.4","S,0921","-4.4","S,0921","","","      7.40","S"
"ARM00087641","2022","-36.833","-59.883","147.0","AZUL AERO, AR","         0","S","        56","S","   -6.8","S,0719, ","-1.1","S,0429","-2.9","S,0519","-4.9","S,0531","-6.8","S,0719","-0.4","S,1101","-2.9","S,1014","","","","","      6.75","S"
"ARM00087641","2023","-36.833","-59.883","147.0","AZUL AERO, AR","         0","S","        41","S","   -6.4","S,0718, ","-0.4","S,0414","-3.2","S,0528","-5.9","S,0618","","","-2.4","S,1012","-2.4","S,1012","-4.4","S,0827","","","      7.91","S"
