"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00204280","2014","47.2752","-88.417","341.4","KEARSARGE, MI US","","","","","","","","","","","","","","","","","","","","","","","","","","","        13"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00204280","2015","47.2752","-88.417","341.4","KEARSARGE, MI US","","","","","","","       121","7","        94","7","         7","7","","","","","","","","","","","","","","","        19"," ","","","","","","","","","  38.6"," ,7,1029, ","","","","","","","","","","","","","","","","","","","","","","","    869.2"," ,7","","","","","","","","","       225","7","      14.3","7"
"USC00204280","2016","47.2752","-88.417","341.4","KEARSARGE, MI US","","","","","","","","","","","","","      141","","        70","7","","","","","","","","","","","        12"," ","","","","","   940"," ,7,0209, ","   330"," ,7,1210,+","","","","","","","","","","","","","","","","","","","","","","","","","   1251.9"," ,7","     6126"," ,7","","","","","","","","","",""
"USC00204280","2017","47.2752","-88.417","341.4","KEARSARGE, MI US","","","","","","","","","","","","","","","","","","","","","","","","","","","        27"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00204280","2018","47.2752","-88.417","341.4","KEARSARGE, MI US","","","","","","","","","","","","","","","","","","","","","","","","","","","        16"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00204280","2019","47.2752","-88.417","341.4","KEARSARGE, MI US","","","","","","","","","","","","","","","","","","","","","","","","","","","        10"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00204280","2020","47.2752","-88.417","341.4","KEARSARGE, MI US","","","","","","","","","","","","","","","","","","","","","","","","","","","         9"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00204280","2021","47.2752","-88.417","341.4","KEARSARGE, MI US","","","","","","","","","","","","","","","","","","","","","","","","","","","         7"," ","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00204280","2022","47.2752","-88.417","341.4","KEARSARGE, MI US","","","","","","","","","","","","","","","","","","","","","","","","","","","        12"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00204280","2023","47.2752","-88.417","341.4","KEARSARGE, MI US","","","","","","","","","","","","","","","","","","","","","","","","","","","        10"," ","         2"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00204280","2024","47.2752","-88.417","341.4","KEARSARGE, MI US","       1.7","7","    193.8","","     193.8","7","","","","","","","      113","","        41","7","         0","7","       130","7","        61","7","       104","7","         4","7","        19"," ","","","  -16.7","7,0229,+","   711"," ,7,0116, ","   406"," ,7,0116, ","","","   33.9","7,0619, ","-1.1","7,1016","-2.2","7,1101","-4.4","7,1112","-10.6","7,1205","-10.6","7,1205","-5.6","7,0425","-5.6","7,0425","-5.6","7,0425","-7.8","7,0325","-12.8","7,0324","   1102.2"," ,7","     3448"," ,7","      7.99","7","     12.70","7","      3.28","7","        15","7","      84.9","7"
