"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00261764","1909","41.116667","-114.4","1676.4","COBRE, NV US","        18","6","       207","6","","","  -26.1","6,1224,+","-3.9","6,0912","-3.9","6,0912","-5.6","6,0917","-7.2","6,0920","-9.4","6,1020","-1.7","6,0728","-4.4","6,0609","-4.4","6,0609","-7.2","6,0524","-8.9","6,0512","     -2.87","6"
"USC00261764","1910","41.116667","-114.4","1676.4","COBRE, NV US","","","","","         2"," ","","","","","","","","","","","","","","","","","","","","","","","",""
