"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA004027000","1953","50.4","-107.4","712.0","RUSH LAKE, SK CA","        86","C","        46","C","         2","C","        14","C","","","","","","","","","","","","","   102"," ,C,0511, ","  58.4"," ,C,0603, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    419.0"," ,C","      874"," ,C","","","","","",""
"CA004027000","1954","50.4","-107.4","712.0","RUSH LAKE, SK CA","        94","C","        45","C","         3","C","         8","C","","","","","","","","","","","","","   114"," ,C,0427, ","  28.4"," ,C,0916, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    432.5"," ,C","      651"," ,C","","","","","",""
"CA004027000","1955","50.4","-107.4","712.0","RUSH LAKE, SK CA","        97","C","        39","C","         2","C","        16","C","","","","","","","","","","","","","    76"," ,C,1214,+","  45.7"," ,C,0707, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    391.4"," ,C","      962"," ,C","","","","","",""
"CA004027000","1956","50.4","-107.4","712.0","RUSH LAKE, SK CA","        76","C","        41","C","         1","C","        15","C","","","","","","","","","","","","","   127"," ,C,1203,+","  45.0"," ,C,0621, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    317.0"," ,C","     1158"," ,C","","","","","",""
"CA004027000","1957","50.4","-107.4","712.0","RUSH LAKE, SK CA","        75","C","        32","C","         0","C","        10","C","","","","","","","","","","","","","    64"," ,C,1023, ","  17.8"," ,C,0719, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    219.9"," ,C","      540"," ,C","","","","","",""
"CA004027000","1958","50.4","-107.4","712.0","RUSH LAKE, SK CA","        83","C","        39","C","         1","C","        15","C","","","","","","","","","","","","","   178"," ,C,0227, ","  37.1"," ,C,0828, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    287.8"," ,C","      966"," ,C","","","","","",""
"CA004027000","1960","50.4","-107.4","712.0","RUSH LAKE, SK CA","        85","C","        35","C","         1","C","        11","C","","","","","","","","","","","","","    69"," ,C,0424, ","  32.0"," ,C,0621, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    277.0"," ,C","      725"," ,C","","","","","",""
"CA004027000","1961","50.4","-107.4","712.0","RUSH LAKE, SK CA","        67","C","        28","C","         0","C","        10","C","","","","","","","","","","","","","   218"," ,C,1021, ","  22.4"," ,C,0403, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    223.1"," ,C","      878"," ,C","","","","","",""
"CA004027000","1962","50.4","-107.4","712.0","RUSH LAKE, SK CA","        88","C","        36","C","         1","C","         7","C","","","","","","","","","","","","","    74"," ,C,0214, ","  26.7"," ,C,0604, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    336.4"," ,C","      514"," ,C","","","","","",""
"CA004027000","1963","50.4","-107.4","712.0","RUSH LAKE, SK CA","        91","C","        39","C","         4","C","","","","","","","","","","","","","","","","","  42.4"," ,C,0630, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    432.8"," ,C","","","","","","","",""
"CA004027000","1964","50.4","-107.4","712.0","RUSH LAKE, SK CA","        84","C","        41","C","         2","C","","","","","","","","","","","","","","","","","  44.5"," ,C,0829, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    394.7"," ,C","","","","","","","",""
"CA004027000","1965","50.4","-107.4","712.0","RUSH LAKE, SK CA","       114","C","        46","C","         1","C","        16","C","","","","","","","","","","","","","   102"," ,C,0914, ","  28.4"," ,C,0903, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    479.0"," ,C","     1307"," ,C","","","","","",""
"CA004027000","1966","50.4","-107.4","712.0","RUSH LAKE, SK CA","        92","C","        33","C","         4","C","         9","C","","","","","","","","","","","","","   178"," ,C,1116, ","  80.0"," ,C,0624, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    452.9"," ,C","      854"," ,C","","","","","",""
"CA004027000","1967","50.4","-107.4","712.0","RUSH LAKE, SK CA","        94","C","        49","C","         1","C","        26","C","","","","","","","","","","","","","   241"," ,C,0330, ","  36.6"," ,C,0912, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    347.8"," ,C","     1583"," ,C","","","","","",""
"CA004027000","1968","50.4","-107.4","712.0","RUSH LAKE, SK CA","        84","C","        40","C","         0","C","         9","C","","","","","        75","C","        88","C","         7","C","","","    51"," ,C,0420,+","  21.8"," ,C,0814, ","   34.4","C,0711, ","","","","","","","","","","","","","","","","","","","","","    5180.5","5","    5180.5","C","    289.8"," ,C","      493"," ,C","","","     10.12","C","",""
"CA004027000","1969","50.4","-107.4","712.0","RUSH LAKE, SK CA","        88","C","        41","C","         1","C","        16","C","","","","","","","","","","","","","   191"," ,C,1003, ","  34.8"," ,C,0706, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    414.3"," ,C","     1503"," ,C","","","","","",""
"CA004027000","1970","50.4","-107.4","712.0","RUSH LAKE, SK CA","        86","C","        45","C","         2","C","        20","C","","","","","","","","","","","","","   127"," ,C,1202, ","  29.0"," ,C,0614, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    390.4"," ,C","     1508"," ,C","","","","","",""
"CA004027000","1971","50.4","-107.4","712.0","RUSH LAKE, SK CA","        80","C","        37","C","         0","C","        13","C","","","","","","","","","","","","","   102"," ,C,0107, ","  17.8"," ,C,0706, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    229.6"," ,C","      762"," ,C","","","","","",""
"CA004027000","1972","50.4","-107.4","712.0","RUSH LAKE, SK CA","        77","C","        29","C","         4","C","        11","C","        72","C","       221","C","       101","C","        93","C","         8","C","  -41.1","C,0126, ","   203"," ,C,0923, ","  42.7"," ,C,0623, ","   35.0","C,0829,+","-1.1","C,0905","-5.0","C,0921","-5.0","C,0921","-6.7","C,0929","-11.1","C,1011","-3.9","C,0509","-3.9","C,0509","-6.1","C,0508","-7.2","C,0506","-9.4","C,0418","","","","","    326.7"," ,C","     1010"," ,C","      1.69","C","      8.67","C","     -5.28","C"
"CA004027000","1973","50.4","-107.4","712.0","RUSH LAKE, SK CA","        74","C","        32","C","         0","C","        12","C","","","","","","","","","","","","","   127"," ,C,1212, ","  19.8"," ,C,0412, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    245.9"," ,C","      822"," ,C","","","","","",""
"CA004027000","1974","50.4","-107.4","712.0","RUSH LAKE, SK CA","        88","C","        52","C","         2","C","        18","C","","","","","","","","","","","","","   102"," ,C,1112,+","  44.5"," ,C,0520, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    434.2"," ,C","     1197"," ,C","","","","","",""
"CA004027000","1975","50.4","-107.4","712.0","RUSH LAKE, SK CA","        81","C","        47","C","         0","C","        11","C","","","","","","","","","","","","","    76"," ,C,1122, ","  23.4"," ,C,0819, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    380.3"," ,C","      645"," ,C","","","","","",""
