"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"NG000061043","1979","14.9","5.25","391.0","TAHOUA, NG","","","","","        46","I","        24","I","         2","I","","","","","         0","I","       334","I","       281","I","","","  43.9"," ,I,0613, ","   45.0","I,0519, ","    298.8"," ,I","","","     36.53","I","",""
"NG000061043","1980","14.9","5.25","391.0","TAHOUA, NG","","","","","        34","I","        20","I","         2","I","","","","","         0","I","       332","I","       280","I","","","  41.9"," ,I,0611, ","   45.0","I,0509,+","    256.6"," ,I","","","     36.67","I","",""
"NG000061043","2010","14.9","5.25","391.0","TAHOUA, NG","","","","","","","","","","","","","","","         0","S","       346","S","       311","S","","","","","   45.5","S,0419, ","","","","","     36.98","S","",""
"NG000061043","2011","14.9","5.25","391.0","TAHOUA, NG","","","","","","","","","","","         0","S","         0","S","         0","S","       344","S","       291","S","   11.5","S,1217, ","","","   45.4","S,0607, ","","","     30.13","S","     36.80","S","     23.46","S"
"NG000061043","2012","14.9","5.25","391.0","TAHOUA, NG","","","","","","","","","","","","","","","         0","S","       354","S","       297","S","","","","","   45.4","S,0506, ","","","","","     36.44","S","",""
"NG000061043","2013","14.9","5.25","391.0","TAHOUA, NG","   3970.3","","    3970.3","S","","","","","","","         0","S","         0","S","         0","S","       354","S","       304","S","   13.5","S,0105, ","","","   44.5","S,0507, ","","","     30.30","S","     36.85","S","     23.75","S"
"NG000061043","2016","14.9","5.25","391.0","TAHOUA, NG","","","","","","","","","","","","","","","         0","S","       341","S","       290","S","","","","","   44.7","S,0414, ","","","","","     36.46","S","",""
"NG000061043","2017","14.9","5.25","391.0","TAHOUA, NG","","","","","","","","","","","","","","","         0","S","       349","S","       304","S","","","","","   44.3","S,0513, ","","","","","     36.59","S","",""
"NG000061043","2018","14.9","5.25","391.0","TAHOUA, NG","","","","","","","","","","","","","","","         0","S","       341","S","       282","S","","","","","   45.0","S,0524, ","","","","","     36.62","S","",""
"NG000061043","2019","14.9","5.25","391.0","TAHOUA, NG","","","","","","","","","","","","","","","         0","S","       344","S","       296","S","","","","","   46.5","S,0506, ","","","","","     36.63","S","",""
"NG000061043","2020","14.9","5.25","391.0","TAHOUA, NG","","","","","","","","","","","","","","","         0","S","       342","S","       285","S","","","","","   45.0","S,0406, ","","","","","     36.33","S","",""
