"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00193405","1991","42.33333","-72.25","226.5","HARDWICK 3 WSW, MA US","","","","","","","","","         4"," ","","","","","","","",""
"USC00193405","1992","42.33333","-72.25","226.5","HARDWICK 3 WSW, MA US","       112","0","        82","0","        11","0","","","         2"," ","","","  74.2"," ,0,0810, ","   1093.8"," ,0","",""
"USC00193405","1993","42.33333","-72.25","226.5","HARDWICK 3 WSW, MA US","       123","0","        75","0","        11","0","","","         6"," ","","","  62.7"," ,0,1206, ","   1070.1"," ,0","",""
"USC00193405","1994","42.33333","-72.25","226.5","HARDWICK 3 WSW, MA US","       120","0","        92","0","        13","0","        20","0","         6"," ","   279"," ,0,0303, ","  51.8"," ,0,0823, ","   1269.0"," ,0","     2246"," ,0"
"USC00193405","1995","42.33333","-72.25","226.5","HARDWICK 3 WSW, MA US","       114","0","        75","0","        12","0","        13","0","         4"," ","   292"," ,0,0205, ","  71.4"," ,0,1007, ","   1074.9"," ,0","     1298"," ,0"
"USC00193405","1996","42.33333","-72.25","226.5","HARDWICK 3 WSW, MA US","       128","0","        97","0","        19","0","","","         1"," ","","","  74.9"," ,0,0714, ","   1519.5"," ,0","",""
"USC00193405","1997","42.33333","-72.25","226.5","HARDWICK 3 WSW, MA US","","","","","","","","","         2"," ","","","","","","","",""
"USC00193405","1998","42.33333","-72.25","226.5","HARDWICK 3 WSW, MA US","       104","0","        72","0","        11","0","         7","0","         3"," ","   229"," ,0,0124, ","  68.1"," ,0,0923, ","   1054.5"," ,0","      648"," ,0"
"USC00193405","1999","42.33333","-72.25","226.5","HARDWICK 3 WSW, MA US","       102","0","        69","0","        12","0","         8","0","","","   178"," ,0,0315,+","  88.6"," ,0,0917, ","   1145.2"," ,0","      921"," ,0"
"USC00193405","2000","42.33333","-72.25","226.5","HARDWICK 3 WSW, MA US","       118","0","        78","0","        14","0","        12","0","","","   305"," ,0,1231, ","  64.8"," ,0,0812,+","   1264.7"," ,0","     1306"," ,0"
"USC00193405","2001","42.33333","-72.25","226.5","HARDWICK 3 WSW, MA US","","","","","","","","","         3"," ","","","","","","","",""
"USC00193405","2002","42.33333","-72.25","226.5","HARDWICK 3 WSW, MA US","","","","","","","","","         3"," ","","","","","","","",""
