"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00367313","2012","40.3815","-78.0754","303.3","RAYSTOWN HQ, PA US","","","","","","","","","","","","","","","","","","","","","","","","","         4"," ","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00367313","2013","40.3815","-78.0754","303.3","RAYSTOWN HQ, PA US","    461.5","","     461.5","7","       134","7","        71","7","         6","7","       39","","        13","7","         0","7","       131","7","        36","7","       150","7","         9","7","        24"," ","        19"," ","  -13.9","7,0124,+","   178"," ,7,1217, ","   157"," ,7,1215, ","  55.9"," ,7,0808, ","   33.9","7,0720, ","0.0","7,1028","-2.8","7,1104","-5.0","7,1124","-8.3","7,1125","-8.9","7,1212","-0.6","7,0514","-5.6","7,0405","-5.6","7,0405","-7.8","7,0305","-9.4","7,0217","","","","","    906.0"," ,7","      996"," ,7","     10.60","7","     15.57","7","      5.62","7"
"USC00367313","2014","40.3815","-78.0754","303.3","RAYSTOWN HQ, PA US","    336.4","","     336.4","7","       159","7","        87","7","         3","7","       60","","        13","7","         9","7","       135","7","        41","7","       141","7","         2","7","        27"," ","        26"," ","  -21.7","7,0107, ","   559"," ,7,0219,+","   297"," ,7,0214, ","  46.2"," ,7,0516, ","   32.2","7,0703,+","-1.7","7,1108","-2.2","7,1114","-5.0","7,1115","-8.3","7,1118","-8.9","7,1119","0.0","7,0424","-3.9","7,0418","-4.4","7,0416","-7.8","7,0328","-8.9","7,0327","    3568.4","4","    3568.4","7","    909.7"," ,7","     1319"," ,7","      9.65","7","     15.01","7","      4.29","7"
"USC00367313","2015","40.3815","-78.0754","303.3","RAYSTOWN HQ, PA US","    513.6","","     513.6","7","       149","7","        83","7","         6","7","","","","","         6","7","       108","7","        33","7","       161","7","        11","7","        35"," ","        20"," ","  -21.1","7,0217, ","","","","","  47.5"," ,7,0910, ","   34.4","7,0909, ","-1.1","7,1020","-2.2","7,1121","-4.4","7,1123","","","","","0.0","7,0412","-2.2","7,0403","-8.9","7,0330","-8.9","7,0330","-8.9","7,0330","    3399.7","7","    3399.7","7","    978.7"," ,7","","","     11.03","7","     16.45","7","      5.62","7"
"USC00367313","2016","40.3815","-78.0754","303.3","RAYSTOWN HQ, PA US","    631.7","","     631.7","7","       147","7","        76","7","         6","7","       28","","         9","7","         0","7","       117","7","        29","7","       163","7","        20","7","        22"," ","        17"," ","  -16.7","7,0214, ","   559"," ,7,0124, ","   457"," ,7,0123, ","  48.8"," ,7,0731, ","   37.2","7,0726, ","-2.2","7,1112","-2.2","7,1112","-5.6","7,1212","-11.1","7,1215","-11.1","7,1215","-0.6","7,0413","-5.6","7,0411","-5.6","7,0411","-6.7","7,0410","-12.8","7,0215","    2833.9","9","    2833.9","7","    857.3"," ,7","      931"," ,7","     11.87","7","     17.29","7","      6.44","7"
"USC00367313","2017","40.3815","-78.0754","303.3","RAYSTOWN HQ, PA US","    445.7","","     445.7","7","       159","7","        99","7","         8","7","       27","","        12","7","         0","7","       110","7","        25","7","       155","7","         2","7","        27"," ","        25"," ","  -15.0","7,1229,+","   229"," ,7,0315, ","   152"," ,7,0314,+","  53.8"," ,7,1030, ","   33.3","7,0614, ","-1.1","7,1108","-6.7","7,1110","-6.7","7,1110","-6.7","7,1110","-9.4","7,1111","-6.7","7,0324","-6.7","7,0324","-6.7","7,0324","-6.7","7,0324","-8.9","7,0316","    2806.6","6","    2806.6","7","   1098.5"," ,7","      927"," ,7","     11.52","7","     16.53","7","      6.51","7"
"USC00367313","2018","40.3815","-78.0754","303.3","RAYSTOWN HQ, PA US","    570.9","","     570.9","7","       177","7","       117","7","        12","7","       38","","        12","7","         1","7","       129","7","        26","7","       152","7","        11","7","        34"," ","        32"," ","  -18.9","7,0107, ","   279"," ,7,0322, ","   264"," ,7,1116, ","  72.4"," ,7,0910, ","   35.0","7,0703, ","0.0","7,1025","-2.2","7,1113","-7.8","7,1122","-7.8","7,1122","-8.9","7,1212","0.0","7,0422","-2.2","7,0410","-6.1","7,0326","-6.7","7,0317","-10.0","7,0205","    3189.7","7","    3189.7","7","   1515.1"," ,7","     1193"," ,7","     11.02","7","     15.74","7","      6.30","7"
"USC00367313","2019","40.3815","-78.0754","303.3","RAYSTOWN HQ, PA US","    515.9","","     515.9","7","       134","7","        82","7","         9","7","","","","","         2","7","       127","7","        26","7","       157","7","         9","7","        28"," ","        27"," ","  -18.9","7,0201,+","","","","","  36.8"," ,7,0718, ","   34.4","7,0912, ","-2.2","7,1102","-2.2","7,1102","-4.4","7,1112","-7.8","7,1113","-10.0","7,1219","-0.6","7,0404","-2.2","7,0403","-5.6","7,0327","-7.8","7,0309","-10.0","7,0307","    3086.5","5","    3086.5","7","   1083.7"," ,7","","","     11.43","7","     16.49","7","      6.38","7"
"USC00367313","2020","40.3815","-78.0754","303.3","RAYSTOWN HQ, PA US","    574.1","","     574.1","7","       148","7","        82","7","         8","7","       11","","         5","7","         0","7","        95","7","         9","7","       146","7","        24","7","        38"," ","        20"," ","  -13.3","7,0216, ","   229"," ,7,1217, ","   239"," ,7,1217, ","  39.4"," ,7,0930, ","   35.6","7,0720,+","0.0","7,1102","-3.3","7,1119","-4.4","7,1219","-7.2","7,1226","","","-0.6","7,0510","-2.8","7,0323","-5.6","7,0229","-8.3","7,0222","-9.4","7,0221","    2895.6","6","    2895.6","7","    953.9"," ,7","      487"," ,7","     12.15","7","     17.32","7","      6.98","7"
"USC00367313","2021","40.3815","-78.0754","303.3","RAYSTOWN HQ, PA US","    528.3","","     528.3","7","       159","7","        84","7","        10","7","","","","","         0","7","       116","7","        18","7","       158","7","        12","7","        23"," ","        11"," ","  -11.7","7,0208, ","","","",""," 113.0"," ,7,0610, ","   34.4","7,0814, ","-2.2","7,1104","-2.2","7,1104","-7.8","7,1220","-7.8","7,1220","","","-0.6","7,0423","-3.3","7,0403","-5.0","7,0402","-7.8","7,0309","-9.4","7,0222","    2923.1","1","    2923.1","7","   1210.9"," ,7","","","     12.02","7","     16.97","7","      7.08","7"
