"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00298086","1917","35.683333","-105.933333","2133.6","SANTA FE FIELD STATION, NM US","    200.2","","     200.2","6","        63","6","        14","6","         0","6","         0","6","       175","6","        15","6","       135","6","         3","6","  -15.0","6,1208,+","  20.3"," ,6,0824, ","   37.2","6,0701, ","   19254.5","6","0.0","6,0927","-2.2","6,1019","-8.9","6,1029","-8.9","6,1029","-8.9","6,1029","-1.7","6,0527","-6.1","6,0507","-6.1","6,0507","-7.2","6,0420","-8.9","6,0404","    3784.2","2","    3784.2","6","    131.7"," ,6","      9.05","6","     16.62","6","      1.49","6","     51896","6"
"USC00298086","1918","35.683333","-105.933333","2133.6","SANTA FE FIELD STATION, NM US","    176.0","","     176.0","6","       107","6","        45","6","         0","6","         8","6","       157","6","        29","6","       145","6","         5","6","  -21.1","6,0121, ","  23.6"," ,6,1021, ","   32.8","6,0630, ","","","0.0","6,1023","-4.4","6,1026","-4.4","6,1026","-7.8","6,1108","-12.8","6,1126","0.0","6,0513","-2.8","6,0429","-5.6","6,0421","-6.7","6,0419","-8.9","6,0220","    3375.0","0","    3375.0","6","    383.4"," ,6","      8.62","6","     15.74","6","      1.49","6","     40082","6"
"USC00298086","1919","35.683333","-105.933333","2133.6","SANTA FE FIELD STATION, NM US","    143.8","","     143.8","6","       106","6","        49","6","         2","6","         3","6","       160","6","        24","6","       132","6","         0","6","  -23.3","6,0102, ","  30.5"," ,6,0524, ","   31.1","6,0824,+","   14248.7","6","0.0","6,1010","-5.6","6,1028","-5.6","6,1028","-6.7","6,1101","-12.8","6,1128","-0.6","6,0602","-3.9","6,0416","-5.0","6,0415","-8.9","6,0316","-8.9","6,0316","    3873.4","4","    3873.4","6","    557.7"," ,6","      8.34","6","     15.04","6","      1.63","6","     31228","6"
"USC00298086","1920","35.683333","-105.933333","2133.6","SANTA FE FIELD STATION, NM US","    113.7","","     113.7","6","        94","6","        36","6","         2","6","         1","6","       180","6","        17","6","       133","6","         0","6","  -17.8","6,1227, ","  29.0"," ,6,0522, ","   31.1","6,0808, ","   15628.5","6","-0.6","6,1014","-3.9","6,1021","-6.7","6,1022","-6.7","6,1022","-10.6","6,1129","0.0","6,0515","-5.6","6,0427","-5.6","6,0427","-12.2","6,0404","-12.2","6,0404","    3525.1","1","    3525.1","6","    336.0"," ,6","      8.58","6","     15.63","6","      1.53","6","     33903","6"
"USC00298086","1921","35.683333","-105.933333","2133.6","SANTA FE FIELD STATION, NM US","    100.0","","     100.0","6","        87","6","        39","6","         1","6","         0","6","       154","6","        11","6","       138","6","         0","6","  -14.4","6,1204,+","  41.7"," ,6,0605, ","   31.1","6,0703,+","   16087.2","6","-1.1","6,1026","-2.8","6,1027","-7.2","6,1109","-7.2","6,1109","-10.0","6,1119","0.0","6,0511","-3.3","6,0428","-4.4","6,0427","-7.8","6,0426","-8.9","6,0425","    3577.2","2","    3577.2","6","    457.7"," ,6","      9.49","6","     16.47","6","      2.51","6","     32090","6"
"USC00298086","1922","35.683333","-105.933333","2133.6","SANTA FE FIELD STATION, NM US","    240.0","","     240.0","6","        67","6","        32","6","         1","6","         1","6","       175","6","        18","6","       147","6","         2","6","  -21.1","6,0301, ","  28.4"," ,6,0813, ","   33.3","6,0706, ","   17511.8","6","0.0","6,1016","-3.3","6,1023","-5.6","6,1029","-6.7","6,1030","-11.1","6,1113","0.0","6,0513","-3.3","6,0511","-7.8","6,0419","-7.8","6,0419","-11.1","6,0310","    3418.3","3","    3418.3","6","    269.2"," ,6","      9.17","6","     16.34","6","      2.00","6","     34862","6"
"USC00298086","1923","35.683333","-105.933333","2133.6","SANTA FE FIELD STATION, NM US","    164.2","","     164.2","6","        96","6","        45","6","         1","6","         1","6","       177","6","        15","6","       131","6","         2","6","  -18.9","6,0204, ","  25.4"," ,6,1010, ","   33.3","6,0726, ","","","0.0","6,1015","-2.8","6,1018","-5.6","6,1026","-11.1","6,1128","-11.1","6,1128","-0.6","6,0427","-2.8","6,0423","-4.4","6,0327","-6.7","6,0324","-10.0","6,0323","    3474.8","8","    3474.8","6","    356.7"," ,6","      8.57","6","     15.42","6","      1.72","6","     35036","6"
"USC00298086","1924","35.683333","-105.933333","2133.6","SANTA FE FIELD STATION, NM US","    194.8","","     194.8","6","        75","6","        28","6","         0","6","         4","6","       176","6","        20","6","       145","6","         7","6","  -21.7","6,1225, ","  19.6"," ,6,0715, ","   33.9","6,0629, ","","","-1.1","6,0927","-2.2","6,1003","-8.3","6,1107","-8.3","6,1107","-11.7","6,1124","0.0","6,0508","-3.3","6,0428","-7.8","6,0417","-7.8","6,0417","-12.2","6,0331","    3747.6","6","    3747.6","6","    214.8"," ,6","      8.81","6","     16.33","6","      1.29","6","     52803","6"
"USC00298086","1925","35.683333","-105.933333","2133.6","SANTA FE FIELD STATION, NM US","    169.8","","     169.8","6","        74","6","        37","6","         1","6","         1","6","       156","6","        16","6","       159","6","         4","6","  -18.3","6,0113, ","  31.8"," ,6,0913, ","   33.9","6,0716, ","   16981.9","6","-0.6","6,1015","-2.2","6,1018","-5.0","6,1030","-7.2","6,1104","-13.3","6,1115","0.0","6,0430","-3.3","6,0424","-6.1","6,0319","-8.9","6,0318","-8.9","6,0318","    3312.4","4","    3312.4","6","    322.2"," ,6","      9.54","6","     16.92","6","      2.17","6","     36925","6"
"USC00298086","1926","35.683333","-105.933333","2133.6","SANTA FE FIELD STATION, NM US","    170.3","","     170.3","6","        99","6","        42","6","         1","6","         4","6","       158","6","        21","6","       144","6","         6","6","  -18.9","6,1224,+","  30.5"," ,6,0917, ","   33.3","6,0828, ","   15403.6","6","-0.6","6,1004","-2.2","6,1024","-5.0","6,1102","-7.2","6,1109","-11.7","6,1214","0.0","6,0429","-2.8","6,0415","-6.1","6,0412","-10.0","6,0331","-10.0","6,0331","    3617.3","3","    3617.3","6","    348.9"," ,6","      9.12","6","     16.40","6","      1.85","6","     32497","6"
"USC00298086","1927","35.683333","-105.933333","2133.6","SANTA FE FIELD STATION, NM US","    148.4","","     148.4","6","        88","6","        36","6","         1","6","         0","6","       154","6","         7","6","       154","6","         1","6","  -16.7","6,1218, ","  55.4"," ,6,0612, ","   32.8","6,0716, ","","","-0.6","6,0928","-3.9","6,1012","-6.1","6,1115","-7.2","6,1116","-8.9","6,1201","-1.7","6,0510","-2.8","6,0509","-4.4","6,0414","-6.7","6,0413","-11.1","6,0321","    3090.7","7","    3090.7","6","    355.3"," ,6","      9.91","6","     17.31","6","      2.51","6","     45362","6"
