"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00093006","1944","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","       131","a","        57","a","         5","a","","","","","","","","","","","","","  50.3"," ,a,0705, ","","","","","","","","","","","","","","","","","","","","","    641.8"," ,a","","","","","",""
"ASN00093006","1945","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","       113","a","        45","a","         2","a","","","","","","","","","","","","","  38.6"," ,a,0117, ","","","","","","","","","","","","","","","","","","","","","    520.1"," ,a","","","","","",""
"ASN00093006","1946","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","       169","a","        57","a","         3","a","","","","","","","","","","","",""," 112.3"," ,a,0219, ","","","","","","","","","","","","","","","","","","","","","    634.2"," ,a","","","","","",""
"ASN00093006","1947","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","       158","a","        63","a","         4","a","","","","","","","","","","","","","  35.8"," ,a,1109, ","","","","","","","","","","","","","","","","","","","","","    672.1"," ,a","","","","","",""
"ASN00093006","1948","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","       156","a","        54","a","         0","a","","","","","","","","","","","","","  19.8"," ,a,0106, ","","","","","","","","","","","","","","","","","","","","","    445.6"," ,a","","","","","",""
"ASN00093006","1949","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","       159","a","        57","a","         1","a","","","","","","","","","","","","","  29.7"," ,a,0922, ","","","","","","","","","","","","","","","","","","","","","    537.7"," ,a","","","","","",""
"ASN00093006","1951","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","       152","a","        56","a","         3","a","","","","","","","","","","","","","  45.7"," ,a,0224, ","","","","","","","","","","","","","","","","","","","","","    555.3"," ,a","","","","","",""
"ASN00093006","1952","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","       160","a","        69","a","         4","a","","","","","","","","","","","","","  40.6"," ,a,1010, ","","","","","","","","","","","","","","","","","","","","","    757.0"," ,a","","","","","",""
"ASN00093006","1953","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","       168","a","        62","a","         2","a","","","","","","","","","","","","","  30.5"," ,a,1102, ","","","","","","","","","","","","","","","","","","","","","    569.4"," ,a","","","","","",""
"ASN00093006","1954","-42.0283","147.33","220.0","ROSS ELLINTHORP, AS","       160","a","        37","a","         2","a","","","","","","","","","","","","","  35.6"," ,a,0201, ","","","","","","","","","","","","","","","","","","","","","    440.9"," ,a","","","","","",""
