"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00421258","2019","37.6094","-112.8377","3161.4","CEDAR BREAKS N.M., UT US","","","","","","","","","","","","","","","         2"," ","         1"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00421258","2021","37.6094","-112.8377","3161.4","CEDAR BREAKS N.M., UT US","     26.3","","      26.3","7","         0","7","       172","7","        54","7","        38","7","         0","7","","","","","  -15.0","7,0228, ","   27.2","7,0617, ","-0.6","7,0920","-3.3","7,0930","-5.6","7,1012","-6.7","7,1013","-10.6","7,1210","-1.7","7,0524","-3.3","7,0523","-5.6","7,0522","-9.4","7,0418","-9.4","7,0418","","","","","      5.47","7","      9.56","7","      1.38","7"
"USC00421258","2022","37.6094","-112.8377","3161.4","CEDAR BREAKS N.M., UT US","      1.5","","       1.5","7","         2","7","       178","7","        56","7","        23","7","         0","7","","","","","  -21.1","7,0102,+","   23.9","7,0907, ","-10.0","7,1023","-10.0","7,1023","-10.0","7,1023","-10.0","7,1023","-10.0","7,1023","-0.6","7,0620","-3.3","7,0531","-6.1","7,0530","-8.3","7,0512","-11.1","7,0414","    4776.9","9","    4776.9","7","      4.72","7","      8.95","7","      0.49","7"
"USC00421258","2024","37.6094","-112.8377","3161.4","CEDAR BREAKS N.M., UT US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    4513.7","7","    4513.7","7","","","","","",""
