"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USW00012920","1944","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","        25"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00012920","1946","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","        26"," ","","","        10"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00012920","1947","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","","","        64","0","        28","0","         7","0","        0","","         2","0","         0","0","         8","0","         0","0","       287","0","       178","0","        56"," ","","","        46"," ","   -3.3","0,0105,+","     0","T,0,1214,+","    51"," ,0,0104, "," 141.0"," ,0,0412, ","   40.0","0,0718,+","","","","","","","0.0","0,0308","-3.3","0,0105","","","","","     659.9","9","     659.9","0","    609.0"," ,0","       76"," ,0","     22.47","0","     28.56","0","     16.38","0","",""
"USW00012920","1948","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","   2375.3","","    2375.3","0","        53","0","        26","0","         2","0","        0","","         0","0","         0","0","        10","0","         1","0","       303","0","       171","0","        63"," ","","","        29"," ","   -2.8","0,0128, ","     0"," ,0,1231,+","     0","T,0,0311,+","  39.6"," ,0,1017, ","   43.3","0,0501, ","","","-0.6","0,1129","","","-2.2","0,0311","-2.2","0,0311","","","","","","","","","    360.8"," ,0","        0","T,0","     23.20","0","     29.41","0","     16.99","0","",""
"USW00012920","1949","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","   2333.4","","    2333.4","0","        76","0","        35","0","         5","0","        0","","         0","0","         0","0","         4","0","         0","0","       303","0","       170","0","        74"," ","","","        49"," ","   -5.6","0,0131, ","     0"," ,0,1231,+","     0","T,0,0423,+","  67.3"," ,0,0425, ","   42.8","0,0624, ","    2368.0","0","","","","","-5.6","0,0131","-5.6","0,0131","-5.6","0,0131","","","     511.3","3","     511.3","0","    510.3"," ,0","        0","T,0","     23.39","0","     29.27","0","     17.51","0","     56287","0"
"USW00012920","1950","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","   2574.5","","    2574.5","0","        50","0","        21","0","         3","0","        0","","         0","0","         0","0","         2","0","         0","0","       327","0","       199","0","        42"," ","","","        34"," ","   -1.7","0,1206, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  49.0"," ,0,1117, ","   40.6","0,0805,+","    2918.6","0","-1.7","0,1206","","","","","","","","","","","     279.9","9","     279.9","0","    270.2"," ,0","        0"," ,0","     24.43","0","     30.87","0","     17.99","0","     55944","0"
"USW00012920","1951","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","   2476.8","","    2476.8","0","        41","0","        18","0","         4","0","        0","","         0","0","         0","0","        13","0","         1","0","       323","0","       173","0","        33"," ","","","        25"," ","   -7.8","0,0202, ","     0"," ,0,1231,+","     0","T,0,1215,+"," 103.4"," ,0,0914, ","   41.1","0,0808,+","    3033.8","0","0.0","0,1216","","","0.0","0,0313","-5.6","0,0203","-5.6","0,0203","-7.8","0,0202","     478.9","9","     478.9","0","    393.5"," ,0","        0","T,0","     23.77","0","     30.19","0","     17.36","0","     66562","0"
"USW00012920","1952","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","   2249.2","","    2249.2","0","        42","0","        23","0","         3","0","        0","","         0","0","         0","0","         0","0","         0","0","       324","0","       162","0","        42"," ","","","        12"," ","    2.2","0,1215, ","     0"," ,0,1231,+","     0","T,0,0606,+","  70.1"," ,0,0606, ","   40.6","0,0901,+","    3022.1","0","","","","","","","","","","","","","     327.4","4","     327.4","0","    267.7"," ,0","        0","T,0","     23.40","0","     29.81","0","     17.00","0","     65426","0"
"USW00012920","1953","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","   2502.3","","    2502.3","0","        51","0","        27","0","         2","0","        0","","         0","0","         0","0","         4","0","         0","0","       319","0","       177","0","        38"," ","","","        19"," ","   -3.3","0,1225, ","     0"," ,0,1231,+","     0","T,0,1209, "," 125.2"," ,0,0823, ","   41.7","0,0809,+","","","-2.2","0,1223","-2.2","0,1223","-0.6","0,0117","","","","","","","     409.0","0","     409.0","0","    423.7"," ,0","        0","T,0","     24.00","0","     30.48","0","     17.52","0","",""
"USW00012920","1954","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","   2443.1","","    2443.1","0","        47","0","        25","0","         2","0","        0","","         0","0","         0","0","         0","0","         0","0","       334","0","       181","0","        33"," ","","","        24"," ","    0.6","0,1229, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  33.0"," ,0,0626, ","   42.8","0,0727, ","","","","","","","","","","","","","","","     449.1","1","     449.1","0","    342.8"," ,0","        0"," ,0","     24.14","0","     30.55","0","     17.74","0","",""
