"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00268034","1930","38.6","-118.6","1281.1","THORNE, NV US","    564.6","","     564.6","6","","","","","","","","","","","         0","6","       133","6","         7","6","       165","6","        71","6","  -15.0","6,0108, ","","","","","","","   38.3","6,0714, ","-1.7","6,1026","-2.2","6,1103","-6.7","6,1114","-6.7","6,1114","-8.9","6,1119","-0.6","6,0507","-2.2","6,0320","-4.4","6,0310","-8.9","6,0301","-8.9","6,0301","","","","","","","","","     11.94","6","     19.53","6","      4.35","6"
"USC00268034","1931","38.6","-118.6","1281.1","THORNE, NV US","    694.9","","     694.9","6","        25","6","        16","6","         0","6","","","","","         0","6","       104","6","         8","6","       189","6","        72","6","  -13.9","6,1216, ","","","","","  13.2"," ,6,0525, ","   41.1","6,0727, ","-1.7","6,1027","-3.9","6,1109","-6.1","6,1112","-7.2","6,1121","-10.6","6,1122","-0.6","6,0424","-2.8","6,0403","-5.0","6,0307","-8.9","6,0306","-8.9","6,0306","    2664.0","0","    2664.0","6","    103.2"," ,6","","","     13.08","6","     20.59","6","      5.57","6"
"USC00268034","1932","38.6","-118.6","1281.1","THORNE, NV US","    581.5","","     581.5","6","        12","6","         8","6","         0","6","","","","","         3","6","       126","6","         8","6","       184","6","        72","6","  -20.6","6,1213, ","","","","","  17.3"," ,6,0426, ","   42.8","6,0807, ","-2.2","6,1019","-2.2","6,1019","-4.4","6,1021","-7.8","6,1207","-11.7","6,1210","0.0","6,0427","-6.1","6,0406","-6.1","6,0406","-8.3","6,0304","-10.0","6,0219","    2848.0","0","    2848.0","6","     56.6"," ,6","","","     12.30","6","     20.54","6","      4.05","6"
"USC00268034","1933","38.6","-118.6","1281.1","THORNE, NV US","    661.1","","     661.1","6","        16","6","         9","6","         0","6","","","","","         1","6","       136","6","        12","6","       171","6","        72","6","  -20.6","6,0210, ","","","","","  11.9"," ,6,1231, ","   40.6","6,0724, ","-1.7","6,1101","-2.2","6,1102","-5.6","6,1105","-6.7","6,1106","-9.4","6,1201","-1.7","6,0514","-2.2","6,0420","-6.7","6,0410","-6.7","6,0410","-8.9","6,0322","    3031.2","2","    3031.2","6","     59.1"," ,6","","","     12.22","6","     20.28","6","      4.16","6"
"USC00268034","1934","38.6","-118.6","1281.1","THORNE, NV US","    663.7","","     663.7","6","        20","6","        11","6","         0","6","","","","","         0","6","        83","6","         0","6","       202","6","        76","6","   -8.3","6,1229,+","","","","","  19.8"," ,6,1018, ","   41.1","6,0727, ","0.0","6,1023","-3.3","6,1121","-4.4","6,1127","-7.8","6,1202","","","-1.1","6,0404","-2.2","6,0221","-5.6","6,0212","-7.2","6,0211","","","    2035.6","6","    2035.6","6","     95.7"," ,6","","","     14.39","6","     22.38","6","      6.41","6"
"USC00268034","1935","38.6","-118.6","1281.1","THORNE, NV US","    611.4","","     611.4","6","        23","6","        13","6","         0","6","","","","","         0","6","       132","6","         0","6","       169","6","        77","6","  -13.3","6,1218,+","","","","","  11.4"," ,6,0115, ","   40.6","6,0713, ","-2.2","6,1017","-2.2","6,1017","-7.8","6,1023","-7.8","6,1023","-11.1","6,1104","0.0","6,0424","-2.2","6,0328","-8.3","6,0322","-8.3","6,0322","-8.9","6,0308","    2544.9","9","    2544.9","6","     95.6"," ,6","","","     12.20","6","     20.03","6","      4.37","6"
"USC00268034","1936","38.6","-118.6","1281.1","THORNE, NV US","    706.4","","     706.4","6","        19","6","         9","6","         0","6","","","","","         0","6","       123","6","         0","6","       176","6","        82","6","  -11.7","6,0130, ","","","","","  10.9"," ,6,0202, ","   41.7","6,0723, ","-1.7","6,1029","-2.8","6,1103","-5.0","6,1104","-6.7","6,1108","-9.4","6,1202","-2.2","6,0407","-2.2","6,0407","-4.4","6,0406","-6.7","6,0326","-8.9","6,0203","    2631.7","7","    2631.7","6","     66.8"," ,6","","","     13.21","6","     21.39","6","      5.02","6"
"USC00268034","1937","38.6","-118.6","1281.1","THORNE, NV US","    686.8","","     686.8","6","        16","6","         8","6","         0","6","","","","","         7","6","       117","6","        25","6","       186","6","        83","6","  -26.7","6,0109, ","","","","","  15.5"," ,6,1211, ","   40.0","6,0720,+","0.0","6,1004","-2.2","6,1104","-4.4","6,1127","-7.8","6,1130","","","0.0","6,0430","-2.2","6,0423","-6.7","6,0407","-6.7","6,0407","-9.4","6,0209","    3000.0","0","    3000.0","6","     58.5"," ,6","","","     12.46","6","     20.49","6","      4.43","6"
"USC00268034","1938","38.6","-118.6","1281.1","THORNE, NV US","    588.4","","     588.4","6","        36","6","        20","6","         1","6","","","","","         0","6","       122","6","         0","6","       161","6","        62","6","  -11.7","6,1112, ","","","","","  27.2"," ,6,0424, ","   37.8","6,0722,+","0.0","6,1105","-7.2","6,1106","-7.2","6,1106","-7.2","6,1106","-11.7","6,1112","0.0","6,0503","-2.8","6,0407","-6.7","6,0401","-6.7","6,0401","-8.9","6,0217","    2524.3","3","    2524.3","6","    170.1"," ,6","","","     12.40","6","     19.71","6","      5.08","6"
"USC00268034","1939","38.6","-118.6","1281.1","THORNE, NV US","    640.2","","     640.2","6","        19","6","        12","6","         1","6","","","","","         0","6","       104","6","         2","6","       184","6","        66","6","  -12.2","6,0202, ","","","","","  30.2"," ,6,0326, ","   39.4","6,0816,+","-4.4","6,1026","-4.4","6,1026","-4.4","6,1026","-6.7","6,1130","-10.6","6,1225","0.0","6,0414","-2.2","6,0315","-4.4","6,0311","-6.7","6,0305","-10.6","6,0304","    2607.8","8","    2607.8","6","    121.1"," ,6","","","     13.27","6","     21.10","6","      5.43","6"
