"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SAM00041112","1983","18.24","42.657","2090.3","ABHA, SA","         0","S","         0","S","","","","","","","    0.2","S,1230, ","","","","","     11.25","S"
"SAM00041112","1984","18.24","42.657","2090.3","ABHA, SA","","","","","         0","S","       288","S","         0","S","","","   32.0","S,0730, ","     25.37","S","",""
"SAM00041112","1985","18.24","42.657","2090.3","ABHA, SA","","","","","         0","S","       281","S","         3","S","","","   32.7","S,0824, ","     25.15","S","",""
"SAM00041112","1986","18.24","42.657","2090.3","ABHA, SA","","","","","         0","S","       254","S","         3","S","","","   32.7","S,0707, ","     24.66","S","",""
"SAM00041112","1989","18.24","42.657","2090.3","ABHA, SA","","","","","         0","S","       240","S","        13","S","","","   32.6","S,0709, ","     24.67","S","",""
"SAM00041112","1996","18.24","42.657","2090.3","ABHA, SA","","","","","         0","S","       285","S","        11","S","","","   33.5","S,0715, ","     25.85","S","",""
"SAM00041112","1997","18.24","42.657","2090.3","ABHA, SA","","","","","         0","S","       259","S","         8","S","","","   33.8","S,0728, ","     25.20","S","",""
"SAM00041112","2001","18.24","42.657","2090.3","ABHA, SA","","","","","         0","S","       314","S","        21","S","","","   33.4","S,0716, ","     26.48","S","",""
"SAM00041112","2005","18.24","42.657","2090.3","ABHA, SA","","","","","         0","S","       293","S","        12","S","","","   33.8","S,0719, ","     25.96","S","",""
"SAM00041112","2008","18.24","42.657","2090.3","ABHA, SA","","","","","         0","S","       292","S","        20","S","","","   33.4","S,0728, ","     26.49","S","",""
"SAM00041112","2009","18.24","42.657","2090.3","ABHA, SA","","","","","         0","S","       299","S","        44","S","","","   34.0","S,0820,+","     26.84","S","",""
"SAM00041112","2010","18.24","42.657","2090.3","ABHA, SA","","","","","         0","S","       298","S","        28","S","","","   34.8","S,0616, ","     26.56","S","",""
"SAM00041112","2012","18.24","42.657","2090.3","ABHA, SA","","","","","         0","S","       300","S","        34","S","","","   35.1","S,0716, ","     26.52","S","",""
"SAM00041112","2013","18.24","42.657","2090.3","ABHA, SA","","","","","         0","S","       304","S","        22","S","","","   34.2","S,0720, ","     26.42","S","",""
