"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00512110","1950","21.16667","-157.11667","128.0","HOOLEHUA CPC 556, HI US","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00512110","1951","21.16667","-157.11667","128.0","HOOLEHUA CPC 556, HI US","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00512110","1952","21.16667","-157.11667","128.0","HOOLEHUA CPC 556, HI US","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00512110","1953","21.16667","-157.11667","128.0","HOOLEHUA CPC 556, HI US","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00512110","1954","21.16667","-157.11667","128.0","HOOLEHUA CPC 556, HI US","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00512110","1955","21.16667","-157.11667","128.0","HOOLEHUA CPC 556, HI US","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00512110","1956","21.16667","-157.11667","128.0","HOOLEHUA CPC 556, HI US","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00512110","1958","21.16667","-157.11667","128.0","HOOLEHUA CPC 556, HI US","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00512110","1959","21.16667","-157.11667","128.0","HOOLEHUA CPC 556, HI US","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00512110","1960","21.16667","-157.11667","128.0","HOOLEHUA CPC 556, HI US","        0","","         0","0","","","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00512110","1962","21.16667","-157.11667","128.0","HOOLEHUA CPC 556, HI US","        0","","         0","0","         1"," ","     0"," ,0,1231,+","     0"," ,0,1231,+","        0"," ,0"
"USC00512110","1963","21.16667","-157.11667","128.0","HOOLEHUA CPC 556, HI US","","","","","         2"," ","","","","","",""
