"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00067009","1887","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","       139","a","        79","a","         8","a","","","","","","","","","","","","","  65.5"," ,a,0311, ","","","","","","","","","   1067.5"," ,a","","","","","",""
"ASN00067009","1888","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        83","a","        38","a","         6","a","","","","","","","","","","","","","  74.7"," ,a,1201, ","","","","","","","","","    554.7"," ,a","","","","","",""
"ASN00067009","1890","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","       122","a","        81","a","         9","a","","","","","","","","","","","",""," 153.2"," ,a,0325, ","","","","","","","","","   1255.0"," ,a","","","","","",""
"ASN00067009","1891","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","       107","a","        74","a","        11","a","","","","","","","","","","","","","  53.8"," ,a,0622, ","","","","","","","","","   1055.4"," ,a","","","","","",""
"ASN00067009","1893","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","       129","a","        66","a","         7","a","","","","","","","","","","","","","  84.6"," ,a,0123, ","","","","","","","","","    913.7"," ,a","","","","","",""
"ASN00067009","1895","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        97","a","        51","a","         2","a","","","","","","","","","","","","","  73.7"," ,a,0123, ","","","","","","","","","    594.7"," ,a","","","","","",""
"ASN00067009","1896","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","       108","a","        54","a","         4","a","","","","","","","","","","","",""," 118.1"," ,a,0623, ","","","","","","","","","    696.9"," ,a","","","","","",""
"ASN00067009","1897","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    832.9"," ,a","","","","","",""
"ASN00067009","1900","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        75","a","        52","a","        18","a","","","","","","","","","","","",""," 194.3"," ,a,0524, ","","","","","","","","","   1399.3"," ,a","","","","","",""
"ASN00067009","1901","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        81","a","        55","a","         2","a","","","","","","","","","","","","","  86.4"," ,a,0122, ","","","","","","","","","    620.9"," ,a","","","","","",""
"ASN00067009","1902","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        76","a","        44","a","         0","a","","","","","","","","","","","","","  20.3"," ,a,1109, ","","","","","","","","","    403.2"," ,a","","","","","",""
"ASN00067009","1903","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        87","a","        59","a","         4","a","","","","","","","","","","","","","  50.3"," ,a,1026, ","","","","","","","","","    662.5"," ,a","","","","","",""
"ASN00067009","1904","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        80","a","        56","a","         9","a","","","","","","","","","","","",""," 157.7"," ,a,0709, ","","","","","","","","","   1045.6"," ,a","","","","","",""
"ASN00067009","1905","-33.9667","150.9","23.0","GLENFIELD MACQUARIE, AS","        66","a","        46","a","         5","a","","","","","","","","","","","","","  40.6"," ,a,1130, ","","","","","","","","","    514.9"," ,a","","","","","",""
