"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MOE00147756","1947","35.58","-5.33","10.0","TETUAN, MO","","","","","        65","E","        44","E","         7","E","","","","","","","","","","","","","  44.0"," ,E,0330, ","","","","","","","","","","","    587.6"," ,E","","","","","",""
"MOE00147756","1954","35.58","-5.33","10.0","TETUAN, MO","","","","","        57","E","        28","E","         2","E","         0","E","        10","E","         0","E","       176","E","        32","E","   -3.0","E,0202, ","  85.0"," ,E,1202, ","   41.0","E,0820, ","0.0","E,1225","","","0.0","E,0206","-3.0","E,0202","    384.0"," ,E","     16.60","E","     22.67","E","     10.54","E"
"MOE00147756","1955","35.58","-5.33","10.0","TETUAN, MO","    737.1","","     737.1","E","        52","E","        36","E","         1","E","         0","E","         0","E","         0","E","       206","E","        33","E","    1.0","E,1229,+","  54.0"," ,E,0125, ","   41.0","E,0831,+","","","","","","","","","    317.0"," ,E","     17.94","E","     23.91","E","     11.97","E"
"MOE00147756","1956","35.58","-5.33","10.0","TETUAN, MO","","","","","        45","E","        29","E","         1","E","         0","E","        14","E","","","","","","","   -4.0","E,0205, ","  32.0"," ,E,0316, ","","","-1.0","E,1202","","","0.0","E,0303","-3.0","E,0207","    251.0"," ,E","","","","","      9.84","E"
"MOE00147756","1957","35.58","-5.33","10.0","TETUAN, MO","","","","","        44","E","        26","E","         3","E","         0","E","        12","E","","","","","","","   -3.0","E,1219, ","  52.0"," ,E,0314, ","","","-3.0","E,1219","-3.0","E,1219","-1.0","E,0202","","","    326.0"," ,E","","","","","     10.25","E"
"MOE00147756","1959","35.58","-5.33","10.0","TETUAN, MO","","","","","        67","E","        44","E","         2","E","","","","","","","","","","","","","  37.0"," ,E,0506, ","","","","","","","","","","","    531.8"," ,E","","","","","",""
"MOE00147756","1960","35.58","-5.33","10.0","TETUAN, MO","","","","","        80","E","        55","E","         7","E","","","","","","","","","","","","","  45.0"," ,E,0326, ","","","","","","","","","","","    814.6"," ,E","","","","","",""
"MOE00147756","1961","35.58","-5.33","10.0","TETUAN, MO","","","","","        54","E","        45","E","         2","E","","","","","","","","","","","",""," 106.0"," ,E,1102, ","","","","","","","","","","","    611.4"," ,E","","","","","",""
"MOE00147756","1962","35.58","-5.33","10.0","TETUAN, MO","","","","","        58","E","        40","E","         3","E","         0","E","         0","E","","","","","","","    3.0","E,0218,+","  61.0"," ,E,1226, ","","","","","","","","","","","    476.7"," ,E","","","","","     14.35","E"
"MOE00147756","1963","35.58","-5.33","10.0","TETUAN, MO","","","","","       100","E","        71","E","        11","E","","","","","","","","","","","","","  47.0"," ,E,1104, ","","","","","","","","","","","   1064.2"," ,E","","","","","",""
