"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00049013","1878","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        51","a","        32","a","         4","a","","","","","","","","","","","","","  48.3"," ,a,0315, ","","","","","","","","","","","","","","","","","","","    345.7"," ,a","","","","","",""
"ASN00049013","1879","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        82","a","        43","a","         0","a","","","","","","","","","","","","","  23.1"," ,a,0407, ","","","","","","","","","","","","","","","","","","","    329.5"," ,a","","","","","",""
"ASN00049013","1880","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        53","a","        28","a","         3","a","","","","","","","","","","","","","  53.8"," ,a,0227, ","","","","","","","","","","","","","","","","","","","    335.1"," ,a","","","","","",""
"ASN00049013","1881","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        45","a","        30","a","         4","a","","","","","","","","","","","","","  65.8"," ,a,0111, ","","","","","","","","","","","","","","","","","","","    426.6"," ,a","","","","","",""
"ASN00049013","1882","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        51","a","        31","a","         1","a","","","","","","","","","","","","","  29.2"," ,a,1128, ","","","","","","","","","","","","","","","","","","","    242.0"," ,a","","","","","",""
"ASN00049013","1883","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        57","a","        35","a","         0","a","","","","","","","","","","","","","  22.1"," ,a,0506, ","","","","","","","","","","","","","","","","","","","    260.4"," ,a","","","","","",""
"ASN00049013","1884","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        47","a","        29","a","         0","a","","","","","","","","","","","","","  21.6"," ,a,0611, ","","","","","","","","","","","","","","","","","","","    218.9"," ,a","","","","","",""
"ASN00049013","1885","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        43","a","        32","a","         1","a","","","","","","","","","","","","","  44.2"," ,a,0327, ","","","","","","","","","","","","","","","","","","","    278.4"," ,a","","","","","",""
"ASN00049013","1886","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        50","a","        23","a","         2","a","","","","","","","","","","","","","  47.0"," ,a,0108, ","","","","","","","","","","","","","","","","","","","    307.7"," ,a","","","","","",""
"ASN00049013","1887","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        66","a","        43","a","         5","a","","","","","","","","","","","","","  37.1"," ,a,1105, ","","","","","","","","","","","","","","","","","","","    495.9"," ,a","","","","","",""
"ASN00049013","1888","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        53","a","        17","a","         0","a","","","","","","","","","","","","","  14.7"," ,a,0301, ","","","","","","","","","","","","","","","","","","","    152.7"," ,a","","","","","",""
"ASN00049013","1889","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        63","a","        43","a","         5","a","","","","","","","","","","","","","  77.0"," ,a,1116, ","","","","","","","","","","","","","","","","","","","    535.6"," ,a","","","","","",""
"ASN00049013","1890","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        73","a","        40","a","         2","a","","","","","","","","","","","","","  48.5"," ,a,1021, ","","","","","","","","","","","","","","","","","","","    384.8"," ,a","","","","","",""
"ASN00049013","1891","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        64","a","        30","a","         2","a","","","","","","","","","","","","","  26.7"," ,a,0109, ","","","","","","","","","","","","","","","","","","","    323.5"," ,a","","","","","",""
"ASN00049013","1892","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        61","a","        33","a","         0","a","","","","","","","","","","","","","  23.9"," ,a,1017, ","","","","","","","","","","","","","","","","","","","    308.7"," ,a","","","","","",""
"ASN00049013","1893","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        62","a","        32","a","         0","a","","","","","","","","","","","","","  24.9"," ,a,1112, ","","","","","","","","","","","","","","","","","","","    268.9"," ,a","","","","","",""
"ASN00049013","1894","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        71","a","        44","a","         4","a","","","","","","","","","","","","","  64.0"," ,a,1007, ","","","","","","","","","","","","","","","","","","","    583.8"," ,a","","","","","",""
"ASN00049013","1895","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        38","a","        25","a","         0","a","","","","","","","","","","","","","  24.6"," ,a,0104, ","","","","","","","","","","","","","","","","","","","    200.0"," ,a","","","","","",""
"ASN00049013","1896","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        43","a","        21","a","         0","a","","","","","","","","","","","","","  16.5"," ,a,0628, ","","","","","","","","","","","","","","","","","","","    163.2"," ,a","","","","","",""
"ASN00049013","1897","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        42","a","        15","a","         1","a","","","","","","","","","","","","","  50.0"," ,a,0109, ","","","","","","","","","","","","","","","","","","","    183.6"," ,a","","","","","",""
"ASN00049013","1898","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        50","a","        36","a","         2","a","","","","","","","","","","","","","  45.0"," ,a,0604, ","","","","","","","","","","","","","","","","","","","    308.2"," ,a","","","","","",""
"ASN00049013","1899","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        43","a","        26","a","         1","a","","","","","","","","","","","","","  25.4"," ,a,0226, ","","","","","","","","","","","","","","","","","","","    268.0"," ,a","","","","","",""
"ASN00049013","1900","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        73","a","        37","a","         2","a","","","","","","","","","","","","","  50.8"," ,a,0517, ","","","","","","","","","","","","","","","","","","","    317.6"," ,a","","","","","",""
"ASN00049013","1901","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        55","a","        30","a","         2","a","","","","","","","","","","","","","  35.1"," ,a,0220, ","","","","","","","","","","","","","","","","","","","    232.4"," ,a","","","","","",""
"ASN00049013","1902","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        42","a","        19","a","         1","a","","","","","","","","","","","","","  68.3"," ,a,1217, ","","","","","","","","","","","","","","","","","","","    214.0"," ,a","","","","","",""
"ASN00049013","1903","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        68","a","        31","a","         2","a","","","","","","","","","","","","","  43.7"," ,a,1228, ","","","","","","","","","","","","","","","","","","","    346.6"," ,a","","","","","",""
"ASN00049013","1904","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        44","a","        24","a","         1","a","","","","","","","","","","","","","  30.5"," ,a,0121, ","","","","","","","","","","","","","","","","","","","    229.7"," ,a","","","","","",""
"ASN00049013","1905","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        59","a","        29","a","         3","a","","","","","","","","","","","","","  41.1"," ,a,0423, ","","","","","","","","","","","","","","","","","","","    320.8"," ,a","","","","","",""
"ASN00049013","1906","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        55","a","        35","a","         4","a","","","","","","","","","","","","","  49.3"," ,a,0228, ","","","","","","","","","","","","","","","","","","","    426.1"," ,a","","","","","",""
"ASN00049013","1907","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        60","a","        26","a","         0","a","","","","","","","","","","","","","  23.4"," ,a,1226, ","","","","","","","","","","","","","","","","","","","    240.0"," ,a","","","","","",""
"ASN00049013","1908","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        69","a","        28","a","         0","a","","","","","","","","","","","","","  19.1"," ,a,1016, ","","","","","","","","","","","","","","","","","","","    259.4"," ,a","","","","","",""
"ASN00049013","1909","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        76","a","        37","a","         4","a","","","","","","","","","","","","","  36.8"," ,a,0601, ","","","","","","","","","","","","","","","","","","","    387.8"," ,a","","","","","",""
"ASN00049013","1910","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        80","a","        42","a","         3","a","","","","","","","","","","","","","  43.4"," ,a,0306, ","","","","","","","","","","","","","","","","","","","    440.0"," ,a","","","","","",""
"ASN00049013","1911","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        62","a","        33","a","         5","a","","","","","","","","","","","","","  29.2"," ,a,0209, ","","","","","","","","","","","","","","","","","","","    381.4"," ,a","","","","","",""
"ASN00049013","1912","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        50","a","        27","a","         1","a","","","","","","","","","","","","","  34.0"," ,a,0610, ","","","","","","","","","","","","","","","","","","","    253.0"," ,a","","","","","",""
"ASN00049013","1913","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        46","a","        24","a","         1","a","","","","","","","","","","","","","  34.3"," ,a,1028, ","","","","","","","","","","","","","","","","","","","    244.1"," ,a","","","","","",""
"ASN00049013","1914","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        41","a","        19","a","         1","a","","","","","","","","","","","","","  33.0"," ,a,0421, ","","","","","","","","","","","","","","","","","","","    185.2"," ,a","","","","","",""
"ASN00049013","1915","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        58","a","        26","a","         0","a","","","","","","","","","","","","","  21.8"," ,a,0731, ","","","","","","","","","","","","","","","","","","","    252.3"," ,a","","","","","",""
"ASN00049013","1916","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        69","a","        45","a","         2","a","","","","","","","","","","","","","  41.9"," ,a,0923, ","","","","","","","","","","","","","","","","","","","    406.6"," ,a","","","","","",""
"ASN00049013","1917","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        79","a","        48","a","         3","a","","","","","","","","","","","","","  33.0"," ,a,0221, ","","","","","","","","","","","","","","","","","","","    524.5"," ,a","","","","","",""
"ASN00049013","1918","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        75","a","        34","a","         2","a","","","","","","","","","","","","","  35.1"," ,a,0516, ","","","","","","","","","","","","","","","","","","","    352.1"," ,a","","","","","",""
"ASN00049013","1919","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        40","a","        25","a","         0","a","","","","","","","","","","","","","  22.4"," ,a,0616, ","","","","","","","","","","","","","","","","","","","    224.3"," ,a","","","","","",""
"ASN00049013","1920","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        74","a","        43","a","         1","a","","","","","","","","","","","","","  31.8"," ,a,1023, ","","","","","","","","","","","","","","","","","","","    379.8"," ,a","","","","","",""
"ASN00049013","1921","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        72","a","        38","a","         0","a","","","","","","","","","","","","","  21.6"," ,a,0607,+","","","","","","","","","","","","","","","","","","","    349.9"," ,a","","","","","",""
"ASN00049013","1922","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        74","a","        29","a","         1","a","","","","","","","","","","","","","  26.9"," ,a,0426, ","","","","","","","","","","","","","","","","","","","    250.7"," ,a","","","","","",""
"ASN00049013","1923","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        85","a","        43","a","         4","a","","","","","","","","","","","","","  43.2"," ,a,1218, ","","","","","","","","","","","","","","","","","","","    398.9"," ,a","","","","","",""
"ASN00049013","1924","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        78","a","        35","a","         1","a","","","","","","","","","","","","","  30.5"," ,a,1214, ","","","","","","","","","","","","","","","","","","","    368.4"," ,a","","","","","",""
"ASN00049013","1925","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        70","a","        40","a","         0","a","","","","","","","","","","","","","  20.3"," ,a,0113, ","","","","","","","","","","","","","","","","","","","    265.9"," ,a","","","","","",""
"ASN00049013","1926","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        61","a","        31","a","         3","a","","","","","","","","","","","","","  35.6"," ,a,0622, ","","","","","","","","","","","","","","","","","","","    311.8"," ,a","","","","","",""
"ASN00049013","1927","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        60","a","        23","a","         0","a","","","","","","","","","","","","","  13.2"," ,a,1123, ","","","","","","","","","","","","","","","","","","","    180.8"," ,a","","","","","",""
"ASN00049013","1928","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        53","a","        25","a","         1","a","","","","","","","","","","","","","  27.9"," ,a,0930, ","","","","","","","","","","","","","","","","","","","    261.6"," ,a","","","","","",""
"ASN00049013","1929","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        39","a","        21","a","         2","a","","","","","","","","","","","","","  37.3"," ,a,1227, ","","","","","","","","","","","","","","","","","","","    201.8"," ,a","","","","","",""
"ASN00049013","1930","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        59","a","        35","a","         2","a","","","","","","","","","","","","","  32.3"," ,a,1011, ","","","","","","","","","","","","","","","","","","","    326.3"," ,a","","","","","",""
"ASN00049013","1931","-34.5833","142.7333","61.0","EUSTON POST OFFICE, AS","        64","a","        38","a","         1","a","","","","","","","","","","","","","  48.5"," ,a,0415, ","","","","","","","","","","","","","","","","","","","    381.5"," ,a","","","","","",""
