"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00093743","1998","34.68333","-77.03333","6.4","SWANSBORO BOGUE FIELD MCAF, NC US","","","","","","","","","        85"," ","         2"," ","        19"," ","","","","","","","","","","","","","","","",""
"USW00093743","2001","34.68333","-77.03333","6.4","SWANSBORO BOGUE FIELD MCAF, NC US","","","","","","","","","         7"," ","","","         6"," ","","","","","","","","","","","","","","","",""
"USW00093743","2002","34.68333","-77.03333","6.4","SWANSBORO BOGUE FIELD MCAF, NC US","","","","","","","","","         6"," ","","","        10"," ","","","","","","","","","","","","","","","",""
"USW00093743","2003","34.68333","-77.03333","6.4","SWANSBORO BOGUE FIELD MCAF, NC US","","","","","","","","","         5"," ","","","         3"," ","","","","","","","","","","","","","","","",""
"USW00093743","2004","34.68333","-77.03333","6.4","SWANSBORO BOGUE FIELD MCAF, NC US","","","","","","","","","         2"," ","","","        12"," ","","","","","","","","","","","","","","","",""
"USW00093743","2007","34.68333","-77.03333","6.4","SWANSBORO BOGUE FIELD MCAF, NC US","","","","","","","","","         2"," ","","","        36"," ","","","","","","","","","","","","","","","",""
"USW00093743","2008","34.68333","-77.03333","6.4","SWANSBORO BOGUE FIELD MCAF, NC US","","","","","","","","","        99"," ","        12"," ","        55"," ","","","","","","","","","","","","","","","",""
"USW00093743","2009","34.68333","-77.03333","6.4","SWANSBORO BOGUE FIELD MCAF, NC US","       3.3","W","       138","W","        78","W","        15","W","       159"," ","         9"," ","        55"," "," 175.0"," ,W,0907, ","    1614.6","6","    1614.6"," ","   1653.4"," ,W","       220","W","       210","W","      17.4","W","      25.0","W"
"USW00093743","2010","34.68333","-77.03333","6.4","SWANSBORO BOGUE FIELD MCAF, NC US","","","","","","","","","        90"," ","         9"," ","        55"," ","","","","","","","","","","","","","","","",""
"USW00093743","2011","34.68333","-77.03333","6.4","SWANSBORO BOGUE FIELD MCAF, NC US","","","","","","","","","       122"," ","         7"," ","        53"," ","","","","","","","","","","","","","","","",""
"USW00093743","2012","34.68333","-77.03333","6.4","SWANSBORO BOGUE FIELD MCAF, NC US","","","       134","W","        77","W","        10","W","       153"," ","        19"," ","        61"," ","  51.8"," ,W,0530, ","","","","","   1026.9"," ,W","","","","","","","",""
"USW00093743","2013","34.68333","-77.03333","6.4","SWANSBORO BOGUE FIELD MCAF, NC US","       3.3","W","       107","W","        58","W","         6","W","       126"," ","        14"," ","        38"," ","  48.0"," ,W,0207, ","    1517.5","5","    1517.5","W","    726.4"," ,W","       200","W","       200","W","      14.8","W","      21.0","W"
