"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00009151","1968","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","       129","a","        89","a","         2","a","","","","","","","","","","","","","  57.9"," ,a,0613, ","","","","","","","","","    830.5"," ,a","","","","","",""
"ASN00009151","1969","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","        80","a","        50","a","         5","a","","","","","","","","","","","","","  55.9"," ,a,0628, ","","","","","","","","","    588.8"," ,a","","","","","",""
"ASN00009151","1970","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","       122","a","        78","a","         4","a","","","","","","","","","","","","","  44.5"," ,a,0531, ","","","","","","","","","    875.1"," ,a","","","","","",""
"ASN00009151","1971","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","       124","a","        74","a","         2","a","","","","","","","","","","","","","  39.1"," ,a,0328, ","","","","","","","","","    715.7"," ,a","","","","","",""
"ASN00009151","1972","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","       105","a","        60","a","         4","a","","","","","","","","","","","","","  45.0"," ,a,0723, ","","","","","","","","","    568.6"," ,a","","","","","",""
"ASN00009151","1974","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","       108","a","        72","a","         4","a","","","","","","","","","","","","","  40.8"," ,a,0729, ","","","","","","","","","    842.7"," ,a","","","","","",""
"ASN00009151","1975","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","        99","a","        60","a","         2","a","","","","","","","","","","","","","  28.6"," ,a,0624, ","","","","","","","","","    600.8"," ,a","","","","","",""
"ASN00009151","1976","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","        83","a","        54","a","         2","a","","","","","","","","","","","","","  28.4"," ,a,0622, ","","","","","","","","","    589.0"," ,a","","","","","",""
"ASN00009151","1977","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","        77","a","        47","a","         1","a","","","","","","","","","","","","","  39.3"," ,a,0810, ","","","","","","","","","    453.5"," ,a","","","","","",""
"ASN00009151","1978","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","        74","a","        50","a","         5","a","","","","","","","","","","","","","  60.0"," ,a,1001, ","","","","","","","","","    661.8"," ,a","","","","","",""
"ASN00009151","1980","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","       119","a","        67","a","         6","a","","","","","","","","","","","","","  45.4"," ,a,0622, ","","","","","","","","","    823.4"," ,a","","","","","",""
"ASN00009151","1981","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","       115","a","        74","a","         5","a","","","","","","","","","","","","","  56.6"," ,a,0530, ","","","","","","","","","    816.8"," ,a","","","","","",""
"ASN00009151","1982","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","       101","a","        65","a","         5","a","","","","","","","","","","","","","  45.4"," ,a,0122, ","","","","","","","","","    789.4"," ,a","","","","","",""
"ASN00009151","1983","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","       109","a","        65","a","         5","a","","","","","","","","","","","","","  60.0"," ,a,0602, ","","","","","","","","","    773.5"," ,a","","","","","",""
"ASN00009151","1984","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","        54","a","        39","a","         5","a","","","","","","","","","","","","","  50.4"," ,a,0621, ","","","","","","","","","    439.7"," ,a","","","","","",""
"ASN00009151","1986","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","       109","a","        69","a","         7","a","","","","","","","","","","","","","  77.6"," ,a,0625, ","","","","","","","","","    897.9"," ,a","","","","","",""
"ASN00009151","1987","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","        93","a","        56","a","         5","a","","","","","","","","","","","","","  98.0"," ,a,0729, ","","","","","","","","","    752.7"," ,a","","","","","",""
"ASN00009151","1988","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","       109","a","        69","a","         5","a","","","","","","","","","","","","","  62.4"," ,a,0724, ","","","","","","","","","    823.9"," ,a","","","","","",""
"ASN00009151","1989","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","       106","a","        65","a","         4","a","","","","","","","","","","","","","  38.2"," ,a,0819, ","","","","","","","","","    713.1"," ,a","","","","","",""
"ASN00009151","1990","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","       102","a","        71","a","         6","a","","","","","","","","","","","","","  34.0"," ,a,0715, ","","","","","","","","","    754.5"," ,a","","","","","",""
"ASN00009151","1991","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","       110","a","        81","a","         8","a","","","","","","","","","","","","","  46.0"," ,a,0614, ","","","","","","","","","    924.9"," ,a","","","","","",""
"ASN00009151","1992","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","       113","a","        78","a","         2","a","         0","a","         0","a","","","","","","","    2.0","a,0829, ","  87.2"," ,a,0209, ","","","","","","","","","    902.7"," ,a","","","","","     13.70","a"
"ASN00009151","1993","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","        97","a","        58","a","         4","a","         0","a","         0","a","         0","a","       217","a","        41","a","    1.0","a,0717, ","  40.4"," ,a,0529, ","   41.5","a,1217, ","","","","","","","    649.1"," ,a","     18.39","a","     24.03","a","     12.75","a"
"ASN00009151","1994","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","        85","a","        54","a","         4","a","         0","a","         0","a","         0","a","       252","a","        51","a","    1.4","a,0815, ","  65.4"," ,a,0804, ","   42.0","a,1230, ","","","     505.7","7","     505.7","a","    711.4"," ,a","     19.41","a","     25.34","a","     13.49","a"
"ASN00009151","1995","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","       112","a","        67","a","         6","a","","","","","","","","","","","","","  60.2"," ,a,1018, ","","","","","","","","","    771.3"," ,a","","","","","",""
"ASN00009151","1996","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","       120","a","        82","a","         2","a","         0","a","         0","a","         0","a","       236","a","        42","a","    2.5","a,0814, ","  38.2"," ,a,0619, ","   41.5","a,0117, ","","","","","","","    858.7"," ,a","     19.25","a","     25.20","a","     13.30","a"
"ASN00009151","1997","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","        83","a","        54","a","         4","a","         0","a","         1","a","","","","","","","    0.0","a,0715, ","  38.2"," ,a,0906, ","","","0.0","a,0715","","","","","    624.3"," ,a","","","","","     13.34","a"
"ASN00009151","1998","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    658.6"," ,a","","","","","",""
"ASN00009151","1999","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","        97","a","        68","a","         5","a","         0","a","         0","a","         0","a","       240","a","        55","a","    1.8","a,0708, ","  48.0"," ,a,0705, ","   41.5","a,1227, ","","","","","","","    727.1"," ,a","     19.53","a","     25.63","a","     13.43","a"
"ASN00009151","2000","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","       100","a","        58","a","         4","a","","","","","","","","","","","","","  68.4"," ,a,0122, ","","","","","","","","","    722.8"," ,a","","","","","",""
"ASN00009151","2001","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","        77","a","        48","a","         4","a","","","","","","","","","","","","","  82.0"," ,a,0730, ","","","","","","","","","    700.6"," ,a","","","","","",""
"ASN00009151","2002","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","        88","a","        58","a","         3","a","","","","","","","","","","","","","  62.6"," ,a,0417, ","","","","","","","","","    616.7"," ,a","","","","","",""
"ASN00009151","2003","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","       108","a","        70","a","         4","a","","","","","","","","","","","","","  44.0"," ,a,0330, ","","","","","","","","","    771.4"," ,a","","","","","",""
"ASN00009151","2004","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","        93","a","        57","a","         1","a","","","","","","","","","","","","","  26.7"," ,a,0730, ","","","","","","","","","    566.2"," ,a","","","","","",""
"ASN00009151","2005","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","       108","a","        61","a","         7","a","","","","","","","","","","","","","  60.2"," ,a,0519, ","","","","","","","","","    802.5"," ,a","","","","","",""
"ASN00009151","2006","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","        85","a","        53","a","         1","a","","","","","","","","","","","","","  26.4"," ,a,0125, ","","","","","","","","","    445.3"," ,a","","","","","",""
"ASN00009151","2007","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","       108","a","        68","a","         3","a","","","","","","","","","","","","","  40.5"," ,a,0416, ","","","","","","","","","    675.2"," ,a","","","","","",""
"ASN00009151","2008","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","       104","a","        71","a","         3","a","","","","","","","","","","","","","  30.0"," ,a,0405, ","","","","","","","","","    767.6"," ,a","","","","","",""
"ASN00009151","2011","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","        89","a","        65","a","         7","a","","","","","","","","","","","","","  64.0"," ,a,0625, ","","","","","","","","","    787.2"," ,a","","","","","",""
"ASN00009151","2012","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","        82","a","        60","a","         2","a","","","","","","","","","","","","","  60.0"," ,a,0429, ","","","","","","","","","    613.0"," ,a","","","","","",""
"ASN00009151","2015","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","        73","a","        50","a","         2","a","","","","","","","","","","","","","  42.0"," ,a,0517, ","","","","","","","","","    553.7"," ,a","","","","","",""
"ASN00009151","2018","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","        91","a","        60","a","         7","a","","","","","","","","","","","",""," 132.4"," ,a,0116, ","","","","","","","","","    774.0"," ,a","","","","","",""
"ASN00009151","2019","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","        70","a","        46","a","         3","a","","","","","","","","","","","","","  68.0"," ,a,0623, ","","","","","","","","","    550.5"," ,a","","","","","",""
"ASN00009151","2021","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","       102","a","        65","a","         6","a","","","","","","","","","","","","","  44.2"," ,a,1001, ","","","","","","","","","    816.4"," ,a","","","","","",""
"ASN00009151","2022","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","        94","a","        64","a","         5","a","","","","","","","","","","","","","  37.6"," ,a,0807, ","","","","","","","","","    771.0"," ,a","","","","","",""
"ASN00009151","2023","-31.9556","115.7928","20.0","SUBIACO TREATMENT PLANT, AS","        78","a","        48","a","         4","a","","","","","","","","","","","","","  67.0"," ,a,0605, ","","","","","","","","","    597.0"," ,a","","","","","",""
