"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES"
"MXN00032014","1964","23.7833","-102.1667","1934.9","EL ENCINAL, MX","    1261.5","5","    1261.5","m"
"MXN00032014","1968","23.7833","-102.1667","1934.9","EL ENCINAL, MX","    1633.3","3","    1633.3","m"
