"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DYFG","DYFG_ATTRIBUTES"
"JAW00042210","1946","26.2","127.75","9.1","YONABARU RYUKYU ISLANDS, JA","         1"," "
"JAW00042210","1947","26.2","127.75","9.1","YONABARU RYUKYU ISLANDS, JA","        17"," "
