"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00087020","1959","25.5819","-80.4361","3.0","PERRINE 4 W, FL US","","","","","       179","0","       106","0","        26","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 127.0"," ,0,0619, ","","","","","","","","","","","","","","","","","","","","","   2134.2"," ,0","        0"," ,0","","","","","",""
"USC00087020","1960","25.5819","-80.4361","3.0","PERRINE 4 W, FL US","","","","","       131","0","        94","0","        20","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 124.5"," ,0,0923, ","","","","","","","","","","","","","","","","","","","","","   2030.5"," ,0","        0"," ,0","","","","","",""
"USC00087020","1961","25.5819","-80.4361","3.0","PERRINE 4 W, FL US","","","","","        76","0","        54","0","        13","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 109.2"," ,0,0113, ","","","","","","","","","","","","","","","","","","","","","   1076.1"," ,0","        0"," ,0","","","","","",""
"USC00087020","1963","25.5819","-80.4361","3.0","PERRINE 4 W, FL US","","","","","        74","0","        71","0","        12","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  48.3"," ,0,0605, ","","","","","","","","","","","","","","","","","","","","","   1056.6"," ,0","        0"," ,0","","","","","",""
"USC00087020","1964","25.5819","-80.4361","3.0","PERRINE 4 W, FL US","","","","","        76","0","        70","0","        15","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 122.9"," ,0,0609, ","","","","","","","","","","","","","","","","","","","","","   1213.1"," ,0","        0"," ,0","","","","","",""
"USC00087020","1965","25.5819","-80.4361","3.0","PERRINE 4 W, FL US","","","","","        82","0","        70","0","        14","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 247.7"," ,0,1101, ","","","","","","","","","","","","","","","","","","","","","   1581.3"," ,0","        0"," ,0","","","","","",""
"USC00087020","1967","25.5819","-80.4361","3.0","PERRINE 4 W, FL US","","","","","        87","0","        79","0","        17","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  88.9"," ,0,1006, ","","","","","","","","","","","","","","","","","","","","","   1613.2"," ,0","        0"," ,0","","","","","",""
"USC00087020","1969","25.5819","-80.4361","3.0","PERRINE 4 W, FL US","","","","","        94","0","        81","0","        29","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  75.9"," ,0,0925, ","","","","","","","","","","","","","","","","","","","","","   1941.4"," ,0","        0"," ,0","","","","","",""
"USC00087020","1970","25.5819","-80.4361","3.0","PERRINE 4 W, FL US","","","","","        80","0","        62","0","        18","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  59.2"," ,0,0611, ","","","","","","","","","","","","","","","","","","","","","   1218.0"," ,0","        0"," ,0","","","","","",""
"USC00087020","1971","25.5819","-80.4361","3.0","PERRINE 4 W, FL US","","","","","        92","0","        77","0","        19","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 153.2"," ,0,0913, ","","","","","","","","","","","","","","","","","","","","","   1465.3"," ,0","        0"," ,0","","","","","",""
