"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00419717","1965","28.6314","-98.2775","63.4","WHITSETT, TX US","        34","0","        30","0","        10","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  49.0"," ,0,0204, ","","","","","","","","","","","","","    578.5"," ,0","        0"," ,0","","","",""
"USC00419717","1966","28.6314","-98.2775","63.4","WHITSETT, TX US","        31","0","        28","0","         8","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  72.4"," ,0,0807, ","","","","","","","","","","","","","    561.2"," ,0","        0"," ,0","","","",""
"USC00419717","1967","28.6314","-98.2775","63.4","WHITSETT, TX US","        33","0","        33","0","        10","0","        0","","         1","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","   102"," ,0,0110, "," 398.5"," ,0,0922, ","","","","","","","","","","","","","   1149.0"," ,0","      102"," ,0","","","",""
"USC00419717","1968","28.6314","-98.2775","63.4","WHITSETT, TX US","        44","0","        44","0","         9","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+"," 123.4"," ,0,0905, ","","","","","","","","","","","","","    834.4"," ,0","        0"," ,0","","","",""
"USC00419717","1969","28.6314","-98.2775","63.4","WHITSETT, TX US","        37","0","        34","0","        10","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  53.3"," ,0,0923, ","","","","","","","","","","","","","    671.3"," ,0","        0"," ,0","","","",""
"USC00419717","1970","28.6314","-98.2775","63.4","WHITSETT, TX US","        40","0","        40","0","        10","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  66.8"," ,0,0515, ","","","","","","","","","","","","","    723.9"," ,0","        0"," ,0","","","",""
"USC00419717","1971","28.6314","-98.2775","63.4","WHITSETT, TX US","        40","0","        39","0","        10","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  72.4"," ,0,0912, ","","","","","","","","","","","","","    793.8"," ,0","        0"," ,0","","","",""
"USC00419717","1972","28.6314","-98.2775","63.4","WHITSETT, TX US","        25","0","        24","0","         7","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  36.6"," ,0,0506, ","","","","","","","","","","","","","    389.0"," ,0","        0"," ,0","","","",""
"USC00419717","1974","28.6314","-98.2775","63.4","WHITSETT, TX US","        32","0","        30","0","         5","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  68.6"," ,0,0808, ","","","","","","","","","","","","","    553.9"," ,0","        0"," ,0","","","",""
"USC00419717","1975","28.6314","-98.2775","63.4","WHITSETT, TX US","        23","0","        22","0","         8","0","        0","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  35.6"," ,0,0514, ","","","","","","","","","","","","","    413.7"," ,0","        0"," ,0","","","",""
