"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00055717","1905","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","        60","6","        38","6","         1","6","","","","","","","","","","","","","","","","","  36.3"," ,6,0211, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    268.3"," ,6","","","","","","","","","",""
"USC00055717","1909","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","    112.5","","     112.5","6","        89","6","        35","6","         0","6","","","        19","6","       200","6","        33","6","       136","6","        11","6","  -25.6","6,1227,+","","","  21.1"," ,6,0905, ","   33.9","6,0701,+","","","-3.3","6,0922","-3.3","6,0922","-7.2","6,1008","-7.2","6,1008","-9.4","6,1101","-0.6","6,0530","-2.2","6,0517","-8.3","6,0501","-8.3","6,0501","-10.6","6,0408","    4133.6","6","    4133.6","6","    284.9"," ,6","","","      7.38","6","     15.41","6","     -0.65","6","",""
"USC00055717","1910","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    3738.8","8","    3738.8","6","","","","","","","","","","","",""
"USC00055717","1911","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","    194.6","","     194.6","6","        78","6","        32","6","         1","6","         8","6","         9","6","       167","6","        18","6","       163","6","         8","6","  -27.2","6,0103, ","    76"," ,6,1224,+","  37.8"," ,6,1005, ","   33.3","6,0818,+","","","-1.7","6,1003","-3.3","6,1016","-5.0","6,1020","-8.9","6,1021","-8.9","6,1021","-0.6","6,0527","-2.2","6,0520","-7.2","6,0415","-7.2","6,0415","-9.4","6,0326","","","","","    300.7"," ,6","      493"," ,6","      9.53","6","     17.83","6","      1.23","6","",""
"USC00055717","1912","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","    196.4","","     196.4","6","        77","6","        32","6","         0","6","        10","6","        13","6","       184","6","        17","6","       146","6","        14","6","  -21.7","6,0104,+","   140"," ,6,0321, ","  19.1"," ,6,0914, ","   33.3","6,0809,+","","","0.0","6,0916","-2.2","6,0921","-5.6","6,1101","-7.2","6,1116","-8.9","6,1125","0.0","6,0514","-2.2","6,0505","-6.1","6,0422","-6.7","6,0324","-10.6","6,0229","    3657.3","3","    3657.3","6","    277.8"," ,6","      722"," ,6","      8.58","6","     16.99","6","      0.18","6","",""
"USC00055717","1913","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","    226.8","","     226.8","6","        73","6","        29","6","         0","6","        19","6","        17","6","       176","6","        26","6","       154","6","        19","6","  -31.7","6,0107, ","   165"," ,6,1204, ","  14.0"," ,6,0922, ","   35.0","6,0713,+","","","-1.1","6,0924","-4.4","6,1007","-4.4","6,1007","-9.4","6,1026","-9.4","6,1026","0.0","6,0520","-3.3","6,0503","-6.1","6,0424","-7.2","6,0410","-8.9","6,0327","    3751.6","6","    3751.6","6","    205.0"," ,6","     1257"," ,6","      8.57","6","     16.78","6","      0.35","6","",""
"USC00055717","1914","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","    214.5","","     214.5","6","","","","","","","","","        11","6","       168","6","        24","6","       149","6","        19","6","  -21.1","6,0112, ","","","","","   35.0","6,0816, ","","","-1.1","6,0914","-2.8","6,1005","-5.0","6,1109","-11.1","6,1115","-11.1","6,1115","0.0","6,0502","-2.2","6,0419","-7.2","6,0323","-7.2","6,0323","-11.1","6,0322","    3611.6","6","    3611.6","6","","","","","      9.11","6","     17.42","6","      0.80","6","",""
"USC00055717","1915","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","    234.3","","     234.3","6","        71","6","        30","6","         0","6","        15","6","        11","6","       171","6","        26","6","       158","6","        27","6","  -23.9","6,0124, ","   107"," ,6,0115, ","  23.4"," ,6,0925, ","   35.6","6,0718, ","","","0.0","6,0914","-2.2","6,1006","-6.7","6,1111","-6.7","6,1111","-10.0","6,1112","-2.2","6,0507","-2.2","6,0507","-5.6","6,0503","-8.9","6,0321","-8.9","6,0321","    3683.3","3","    3683.3","6","    227.8"," ,6","      889"," ,6","      8.97","6","     17.44","6","      0.50","6","",""
"USC00055717","1916","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","    239.5","","     239.5","6","        80","6","        42","6","         0","6","","","        10","6","       172","6","        25","6","       162","6","        30","6","  -22.8","6,0201, ","","","  18.5"," ,6,0430, ","   35.0","6,0701, ","","","0.0","6,0929","-3.3","6,1019","-5.6","6,1020","-12.2","6,1108","-12.2","6,1108","-2.2","6,0516","-2.2","6,0516","-5.6","6,0420","-13.3","6,0303","-13.3","6,0303","    3290.3","3","    3290.3","6","    333.8"," ,6","","","      9.33","6","     17.52","6","      1.15","6","",""
"USC00055717","1917","38.48333","-107.88333","1763.6","MONTROSE 1, CO US","    290.8","","     290.8","6","        55","6","        26","6","         0","6","","","        11","6","       177","6","        22","6","       150","6","        40","6","  -21.1","6,0201, ","","","  22.9"," ,6,0505, ","   35.6","6,0722,+","","","-0.6","6,0927","-8.3","6,1018","-8.3","6,1018","-8.3","6,1018","-10.0","6,1019","-0.6","6,0510","-4.4","6,0506","-4.4","6,0506","-7.8","6,0404","-11.7","6,0401","    4131.6","6","    4131.6","6","    197.3"," ,6","","","      8.57","6","     17.03","6","      0.12","6","",""
