"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00043489","1965","32.88333","-114.86667","147.8","GOLD ROCK RANCH, CA US","   2115.2","","    2115.2","0","        17","0","         9","0","         0","0","        0","","         0","0","         0","0","         0","0","         0","0","       296","0","       174","0","","","    0.6","0,0210, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  16.0"," ,0,0403, ","   45.6","0,0704, ","","","","","","","","","     635.6","6","     635.6","0","     74.5"," ,0","        0"," ,0","     22.55","0","     29.99","0","     15.10","0"
"USC00043489","1966","32.88333","-114.86667","147.8","GOLD ROCK RANCH, CA US","   2394.6","","    2394.6","0","        13","0","        10","0","         0","0","        0","","         0","0","         0","0","         0","0","         0","0","       302","0","       181","0","","","    0.6","0,0303,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  17.8"," ,0,0914, ","   44.4","0,0718,+","","","","","","","","","     592.6","6","     592.6","0","     87.7"," ,0","        0"," ,0","     23.30","0","     30.40","0","     16.19","0"
"USC00043489","1967","32.88333","-114.86667","147.8","GOLD ROCK RANCH, CA US","   2187.2","","    2187.2","0","        16","0","         8","0","         2","0","        0","","         0","0","         0","0","         1","0","         0","0","       315","0","       168","0","","","   -1.7","0,1223, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  39.9"," ,0,0902, ","   45.0","0,0829,+","-1.7","0,1223","","","","","","","     423.4","4","     423.4","0","    125.8"," ,0","        0"," ,0","     22.98","0","     30.52","0","     15.44","0"
"USC00043489","1968","32.88333","-114.86667","147.8","GOLD ROCK RANCH, CA US","   2210.6","","    2210.6","0","         6","0","         4","0","         0","0","        0","","         0","0","         0","0","         4","0","         0","0","       314","0","       176","0","","","   -2.2","0,1221, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  11.9"," ,0,0727, ","   46.7","0,0621, ","-1.1","0,1219","-2.2","0,1221","","","","","     465.8","8","     465.8","0","     41.4"," ,0","        0"," ,0","     23.16","0","     30.96","0","     15.35","0"
"USC00043489","1969","32.88333","-114.86667","147.8","GOLD ROCK RANCH, CA US","   2351.1","","    2351.1","0","        20","0","         9","0","         0","0","        0","","         0","0","         0","0","         0","0","         0","0","       306","0","       165","0","","","    1.7","0,0223,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  16.5"," ,0,1203, ","   47.2","0,0822,+","","","","","","","","","     538.9","9","     538.9","0","     89.6"," ,0","        0"," ,0","     23.41","0","     30.56","0","     16.26","0"
"USC00043489","1971","32.88333","-114.86667","147.8","GOLD ROCK RANCH, CA US","   2059.2","","    2059.2","0","         9","0","         7","0","         1","0","        0","","         0","0","         0","0","         7","0","         0","0","       298","0","       156","0","","","   -2.8","0,0106, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  67.3"," ,0,0821, ","   47.8","0,0912, ","0.0","0,1208","","","-2.8","0,0106","-2.8","0,0106","     510.2","2","     510.2","0","    111.4"," ,0","        0"," ,0","     22.17","0","     30.06","0","     14.28","0"
"USC00043489","1973","32.88333","-114.86667","147.8","GOLD ROCK RANCH, CA US","   2295.9","","    2295.9","0","         9","0","         6","0","         0","0","        0","","         0","0","         0","0","         0","0","         0","0","       301","0","       176","0","","","    0.6","0,0107, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  16.0"," ,0,0312, ","   46.7","0,0627, ","","","","","","","","","     636.7","7","     636.7","0","     52.1"," ,0","        0"," ,0","     23.04","0","     30.72","0","     15.35","0"
"USC00043489","1974","32.88333","-114.86667","147.8","GOLD ROCK RANCH, CA US","   2409.1","","    2409.1","0","         7","0","         7","0","         0","0","        0","","         0","0","         0","0","         2","0","         0","0","       311","0","       182","0","","","   -1.7","0,1230, ","     0"," ,0,1231,+","     0"," ,0,1231,+","   9.9"," ,0,0107, ","   47.8","0,0627, ","-0.6","0,1229","","","","","","","     477.1","1","     477.1","0","     35.5"," ,0","        0"," ,0","     23.55","0","     31.14","0","     15.96","0"
"USC00043489","1975","32.88333","-114.86667","147.8","GOLD ROCK RANCH, CA US","   2107.1","","    2107.1","0","         7","0","         4","0","         0","0","        0","","         0","0","         0","0","         2","0","         0","0","       308","0","       151","0","","","   -1.1","0,0101, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  13.2"," ,0,0409, ","   46.7","0,0804, ","","","","","-0.6","0,0102","","","     635.7","7","     635.7","0","     29.7"," ,0","        0"," ,0","     22.40","0","     30.36","0","     14.44","0"
"USC00043489","1976","32.88333","-114.86667","147.8","GOLD ROCK RANCH, CA US","","","","","        15","0","        11","0","         2","0","        0","","         0","0","","","","","","","","","","","         1"," ","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  38.6"," ,0,0723, ","","","","","","","","","","","","","","","    188.6"," ,0","        0"," ,0","","","","","",""
"USC00043489","1977","32.88333","-114.86667","147.8","GOLD ROCK RANCH, CA US","   2357.6","","    2357.6","0","        10","0","         5","0","         1","0","        0","","         0","0","         0","0","         0","0","         0","0","       321","0","       172","0","","","    2.2","0,0304,+","     0"," ,0,1231,+","     0"," ,0,1231,+","  59.9"," ,0,0815, ","   45.0","0,0805,+","","","","","","","","","     453.1","1","     453.1","0","    107.6"," ,0","        0"," ,0","     23.75","0","     31.22","0","     16.27","0"
"USC00043489","1978","32.88333","-114.86667","147.8","GOLD ROCK RANCH, CA US","","","","","        18","0","        14","0","         2","0","        0","","         0","0","","","","","         0","0","       290","0","       164","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  40.4"," ,0,1021, ","   46.7","0,0718, ","","","","","","","","","","","","","    157.5"," ,0","        0"," ,0","","","     30.66","0","",""
"USC00043489","1979","32.88333","-114.86667","147.8","GOLD ROCK RANCH, CA US","   2332.1","","    2332.1","0","        16","0","        10","0","         1","0","        0","","         0","0","         0","0","         1","0","         0","0","       300","0","       180","0","","","    0.0","0,0129, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  38.9"," ,0,0812, ","   47.2","0,0627, ","","","","","0.0","0,0129","","","     640.1","1","     640.1","0","    132.0"," ,0","        0"," ,0","     23.26","0","     30.57","0","     15.94","0"
"USC00043489","1980","32.88333","-114.86667","147.8","GOLD ROCK RANCH, CA US","   2378.3","","    2378.3","0","        19","0","        13","0","         0","0","        0","","         0","0","         0","0","         1","0","         0","0","       328","0","       165","0","","","    0.0","0,0119, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  21.8"," ,0,0219, ","   47.2","0,0727, ","","","","","0.0","0,0119","","","     347.5","5","     347.5","0","    119.5"," ,0","        0"," ,0","     24.09","0","     31.19","0","     16.99","0"
"USC00043489","1981","32.88333","-114.86667","147.8","GOLD ROCK RANCH, CA US","   2575.5","","    2575.5","0","         9","0","         7","0","         1","0","        0","","         0","0","         0","0","         0","0","         0","0","       338","0","       172","0","","","    3.3","0,0131, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  27.9"," ,0,0815, ","   47.8","0,0827, ","","","","","","","","","     250.5","5","     250.5","0","     81.5"," ,0","        0"," ,0","     24.72","0","     31.97","0","     17.47","0"
"USC00043489","1982","32.88333","-114.86667","147.8","GOLD ROCK RANCH, CA US","   2038.0","","    2038.0","0","        20","0","        12","0","         2","0","","","         0","0","         0","0","         0","0","         0","0","       287","0","       158","0","","","    1.7","0,1230, ","","","     0"," ,0,1231,+","  38.1"," ,0,1211, ","   45.0","0,0902,+","","","","","","","","","     368.6","6","     368.6","0","    128.8"," ,0","        0"," ,0","     22.89","0","     29.94","0","     15.84","0"
"USC00043489","1983","32.88333","-114.86667","147.8","GOLD ROCK RANCH, CA US","   2229.9","","    2229.9","0","        17","0","        14","0","         2","0","        0","","         0","0","         0","0","         0","0","         0","0","       306","0","       151","0","","","    1.7","0,1201, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  35.6"," ,0,0817, ","   46.7","0,0712,+","","","","","","","","","     470.9","9","     470.9","0","    182.0"," ,0","        0"," ,0","     23.42","0","     30.28","0","     16.56","0"
"USC00043489","1984","32.88333","-114.86667","147.8","GOLD ROCK RANCH, CA US","   2303.9","","    2303.9","0","        18","0","        12","0","         0","0","        0","","         0","0","         0","0","         0","0","         0","0","       300","0","       161","0","","","    2.2","0,1215, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  17.8"," ,0,1208, ","   46.7","0,0830, ","","","","","","","","","     361.3","3","     361.3","0","     86.4"," ,0","        0"," ,0","     23.63","0","     30.56","0","     16.70","0"
"USC00043489","1985","32.88333","-114.86667","147.8","GOLD ROCK RANCH, CA US","","","","","        15","0","         8","0","         1","0","        0","","         0","0","","","","","         0","0","       290","0","       166","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  40.6"," ,0,0718, ","   48.3","0,0824, ","","","","","","","","","","","","","    110.6"," ,0","        0"," ,0","","","     30.41","0","",""
"USC00043489","1986","32.88333","-114.86667","147.8","GOLD ROCK RANCH, CA US","","","","","        14","0","         8","0","         1","0","","","         0","0","","","","","         0","0","       331","0","       168","0","","","","","","","     0"," ,0,1231,+","  31.0"," ,0,0923, ","   46.7","0,0731, ","","","","","","","","","","","","","     78.7"," ,0","        0"," ,0","","","     31.21","0","",""
"USC00043489","1987","32.88333","-114.86667","147.8","GOLD ROCK RANCH, CA US","","","","","        11","0","         4","0","         0","0","        0","","         0","0","","","","","         0","0","       299","0","       176","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  20.3"," ,0,1031, ","   46.1","0,0831, ","","","","","","","","","","","","","     53.1"," ,0","        0"," ,0","","","     30.82","0","",""
"USC00043489","1988","32.88333","-114.86667","147.8","GOLD ROCK RANCH, CA US","","","","","        16","0","         9","0","         0","0","        0","","         0","0","","","","","         0","0","       299","0","       185","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","   8.9"," ,0,1019, ","   45.0","0,0725, ","","","","","","","","","","","","","     51.4"," ,0","        0"," ,0","","","     31.28","0","",""
"USC00043489","1989","32.88333","-114.86667","147.8","GOLD ROCK RANCH, CA US","","","","","         6","0","         5","0","         1","0","        0","","         0","0","         0","0","         0","0","","","","","","","","","    1.1","0,0207, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  33.0"," ,0,0727, ","","","","","","","","","","","","","","","     57.9"," ,0","        0"," ,0","","","","","     16.70","0"
"USC00043489","1990","32.88333","-114.86667","147.8","GOLD ROCK RANCH, CA US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","     0","T,0,0117, ","    10"," ,0,0117, ","","","","","","","","","","","","","","","","","","","       10"," ,0","","","","","",""
"USC00043489","1992","32.88333","-114.86667","147.8","GOLD ROCK RANCH, CA US","   2416.5","","    2416.5","0","        25","0","        17","0","         0","0","        0","","         0","0","         0","0","         0","0","         0","0","       287","0","       186","0","","","    1.1","0,1215, ","     0"," ,0,1231,+","     0"," ,0,1231,+","  24.4"," ,0,0327, ","   47.2","0,0816,+","","","","","","","","","","","","","    192.0"," ,0","        0"," ,0","     23.75","0","     31.03","0","     16.48","0"
"USC00043489","1993","32.88333","-114.86667","147.8","GOLD ROCK RANCH, CA US","","","","","        24","0","        15","0","         0","0","        0","","         0","0","","","","","         0","0","       286","0","       181","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  24.4"," ,0,0107, ","   47.8","0,0801, ","","","","","","","","","","","","","    165.4"," ,0","        0"," ,0","","","     31.02","0","",""
