"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00009161","1972","-32.0022","115.8861","18.0","BENTLEY CURTIN, AS","","","","","","","         0","a","         0","a","         0","a","       213","a","        52","a","    1.8","a,0715,+","","","   40.1","a,0222, ","","","    582.9"," ,a","     18.82","a","     24.97","a","     12.67","a"
"ASN00009161","1973","-32.0022","115.8861","18.0","BENTLEY CURTIN, AS","","","","","","","         0","a","         1","a","         0","a","       178","a","        34","a","    0.0","a,0626, ","","","   40.1","a,0115, ","0.0","a,0626","    926.7"," ,a","     17.94","a","     23.62","a","     12.26","a"
"ASN00009161","1974","-32.0022","115.8861","18.0","BENTLEY CURTIN, AS","","","","","","","","","","","         0","a","       195","a","        43","a","","","","","   41.1","a,0125, ","","","    891.5"," ,a","","","     24.23","a","",""
"ASN00009161","1975","-32.0022","115.8861","18.0","BENTLEY CURTIN, AS","","","","","","","         0","a","         0","a","","","","","","","    1.2","a,0804, ","","","","","","","    664.5"," ,a","","","","","     12.12","a"
"ASN00009161","1976","-32.0022","115.8861","18.0","BENTLEY CURTIN, AS","","","","","","","","","","","         0","a","       226","a","        50","a","","","","","   40.2","a,1227, ","","","    675.7"," ,a","","","     25.15","a","",""
"ASN00009161","1977","-32.0022","115.8861","18.0","BENTLEY CURTIN, AS","        76","a","        53","a","         2","a","","","","","","","","","","","","","  41.3"," ,a,0810, ","","","","","    569.4"," ,a","","","","","",""
"ASN00009161","1978","-32.0022","115.8861","18.0","BENTLEY CURTIN, AS","","","","","","","","","","","","","","","","","","","","","","","","","    878.6"," ,a","","","","","",""
"ASN00009161","1979","-32.0022","115.8861","18.0","BENTLEY CURTIN, AS","","","","","","","","","","","","","","","","","","","","","","","","","    603.9"," ,a","","","","","",""
"ASN00009161","1980","-32.0022","115.8861","18.0","BENTLEY CURTIN, AS","","","","","","","","","","","","","","","","","","","","","","","","","    788.0"," ,a","","","","","",""
"ASN00009161","1981","-32.0022","115.8861","18.0","BENTLEY CURTIN, AS","","","","","","","","","","","","","","","","","","","","","","","","","    804.1"," ,a","","","","","",""
"ASN00009161","1982","-32.0022","115.8861","18.0","BENTLEY CURTIN, AS","","","","","","","","","","","","","","","","","","","","","","","","","    729.8"," ,a","","","","","",""
"ASN00009161","1983","-32.0022","115.8861","18.0","BENTLEY CURTIN, AS","","","","","","","","","","","","","","","","","","","","","","","","","    811.8"," ,a","","","","","",""
"ASN00009161","1984","-32.0022","115.8861","18.0","BENTLEY CURTIN, AS","","","","","","","","","","","","","","","","","","","","","","","","","    825.4"," ,a","","","","","",""
